"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
60,0.00897174568549064,0.00580675980875622
60.1,0.00899893510835437,0.00570247232176546
60.2,0.00909855741096388,0.00557681255431774
60.3,0.00926509426217903,0.00541766022970236
60.4,0.00922384775022844,0.00526783624273208
60.5,0.00779682782514324,0.00769911341004548
60.6,0.222736451027351,0.0519657000681168
60.7,0.305138757042593,0.0172782010801099
60.8,0.033621978362614,0.00711246270407295
60.9,0.013946766223085,0.00652962839855198
61,0.00973935217056743,0.00633771128088612
61.1,0.00820874421296813,0.00623866337132917
61.2,0.00745802317591682,0.00619363955010765
61.3,0.00701785475474592,0.00621042111347458
61.4,0.00676861760189496,0.00634785287044348
61.5,0.00679375058650744,0.00680844501744882
61.6,0.00747525747164735,0.00817437277517197
61.7,0.0091233256907356,0.00995545309227353
61.8,0.0103701462901813,0.00878877046301108
61.9,0.0103039396780094,0.00760008435900139
62,0.00982373562736105,0.00703708681044712
62.1,0.00943093894209468,0.00674471418370826
62.2,0.00919365030475638,0.00657409239523565
62.3,0.00910239694140114,0.00646671726011661
62.4,0.00915935991545225,0.00639694524669487
62.5,0.00940115945803122,0.00635307035837307
62.6,0.00992920610683345,0.00633100186543023
62.7,0.0109979816253475,0.00633353990354246
62.8,0.0133267695460251,0.00637643160056456
62.9,0.0195835491294257,0.00652074793989377
63,0.0470295060750023,0.00713235304120496
63.1,0.631993639147698,0.0177283901796527
63.2,0.0745869597855183,0.00674249272521077
63.3,0.0208707269083921,0.00603815860236012
63.4,0.0122855161222143,0.00595282640643591
63.5,0.00947269120646221,0.00592772838631606
63.6,0.00820776916637589,0.00591484905981676
63.7,0.00752333693224161,0.00590642269863373
63.8,0.00710560672819194,0.00590239324339425
63.9,0.00683175970184002,0.00590651762518002
64,0.00665188175347831,0.00592826554214176
64.1,0.00655551854239145,0.00599248979198053
64.2,0.00657326958715199,0.00622335999858548
64.3,0.00682902354830228,0.0067272801538798
64.4,0.00773234807241197,0.00766052693795449
64.5,0.0112742410685596,0.0131813766454808
64.6,0.0361768689718907,0.101612365380045
64.7,0.120681147086596,0.0430496197435031
64.8,0.0279108413689029,0.0146697050209103
64.9,0.0148695763160556,0.010189982794262
65,0.011117546202226,0.0086600742345283
65.1,0.00948875621111289,0.0079468150621218
65.2,0.00861692257629465,0.00756314273810266
65.3,0.00809556162346636,0.0073494949772025
65.4,0.00777190099063441,0.00724497758660092
65.5,0.00758314503991608,0.00722872990007439
65.6,0.0075074599467464,0.00730245905787585
65.7,0.00754809365731468,0.0074870691779424
65.8,0.00773062513206435,0.00782703377990701
65.9,0.0082080415460275,0.00840623486654946
66,0.00875578846175951,0.00934915692413441
66.1,0.00982135773791271,0.0108906778514007
66.2,0.0115002556675051,0.0133493282994511
66.3,0.0140383430082459,0.0170259337724705
66.4,0.0176214935697526,0.0216665440204193
66.5,0.0220975071276969,0.025666884424022
66.6,0.0266538321922042,0.026949301841115
66.7,0.0301087443966317,0.0255163885981318
66.8,0.0321935138116266,0.0230022051788026
66.9,0.0346474329193375,0.0206175826881811
67,0.0435421538051241,0.0188908095430074
67.1,0.102856700231754,0.0189056384406022
67.2,0.760710802668764,0.0290947810833279
67.3,0.0725637343765586,0.0146058245882791
67.4,0.0336200386930957,0.0133925183099146
67.5,0.0242874984966688,0.0127400850633369
67.6,0.0203497822153216,0.0122558603108786
67.7,0.0181680801059362,0.0118722041992215
67.8,0.0167604324512743,0.0115614698231208
67.9,0.0157650304508949,0.0113072626931445
68,0.0150191016682094,0.0110984033058569
68.1,0.0144384393711966,0.0109268487505383
68.2,0.0139748125663549,0.0107866990643454
68.3,0.0135984336103532,0.0106736316208509
68.4,0.0132898550107908,0.0105845602436681
68.5,0.0130358690779668,0.0105174429977469
68.6,0.0128272807465346,0.01047121484844
68.7,0.0126576330450257,0.010445859463346
68.8,0.0125224569851358,0.0104426871899197
68.9,0.0124188391532537,0.0104649952457831
69,0.0123452162968017,0.0105195615653123
69.1,0.0123013967208514,0.0106202278317322
69.2,0.0122889657704636,0.0107975704491757
69.3,0.0123127845394201,0.01113012432708
69.4,0.0123873002081141,0.0118770573401001
69.5,0.0125792307340823,0.0143899278539993
69.6,0.013999827314614,0.0423434710625943
69.7,0.0138806468761277,0.0356758358634355
69.8,0.0130971705393413,0.0141629256824485
69.9,0.013329030212999,0.0123699848615312
70,0.0137518136477053,0.0121327536348402
