"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
50,0.00150507874811512,0.00155861510612798
50.1,0.00151776154282257,0.00157011860915257
50.2,0.00153102416498074,0.00158215696749353
50.3,0.00154488650174422,0.00159474843256779
50.4,0.00155937151635122,0.00160791373925639
50.5,0.00157450506370338,0.00162167599333451
50.6,0.00159031582720226,0.00163606064785471
50.7,0.00160683534390904,0.00165109554521725
50.8,0.00162409809843789,0.00166681101132404
50.9,0.00164214167388366,0.00168323999367859
51,0.00166100695400073,0.00170041823992673
51.1,0.00168073837421667,0.00171838451569795
51.2,0.00170138422296062,0.00173718086378227
51.3,0.00172299699625544,0.00175685290817085
51.4,0.00174563381389914,0.00177745021075226
51.5,0.00176935690791313,0.00179902669188925
51.6,0.00179423420238356,0.00182164113384364
51.7,0.00182034001700493,0.00184535780070361
51.8,0.00184775595193798,0.00187024723556373
51.9,0.00187657207003256,0.00189638735949715
52,0.00190688863007071,0.00192386514774467
52.1,0.00193881899406667,0.00195277956286888
52.2,0.00197249544239908,0.00198324764373514
52.3,0.00200808355595039,0.00201541994941101
52.4,0.00204582798503972,0.00204953034472566
52.5,0.00208625573927856,0.00208611807706716
52.6,0.00213175669045595,0.00212775404414101
52.7,0.00224895465446262,0.00224699331879619
52.8,0.00223668675220923,0.00222424796281528
52.9,0.00227082669844825,0.00225180138973557
53,0.00232199808791733,0.00229711192810467
53.1,0.00237804661863106,0.00234692807086989
53.2,0.00243827435373056,0.00240041245077638
53.3,0.00250283857904043,0.00245764113034441
53.4,0.00257209674374803,0.00251889274552386
53.5,0.00264650641668895,0.00258453808753467
53.6,0.00272660824713145,0.00265501889555519
53.7,0.00281302936890626,0.00273084809834001
53.8,0.00290649475945581,0.00281261786885845
53.9,0.00300784371031115,0.00290101223179429
54,0.00311805112579289,0.00299682366814114
54.1,0.00323825433632352,0.0031009741307878
54.2,0.00336978670341104,0.00321454142006283
54.3,0.00351421986225031,0.00333879234389611
54.4,0.00367341713139824,0.00347522463803551
54.5,0.00384960153218106,0.00362562035128211
54.6,0.00404544312171695,0.00379211440812288
54.7,0.0042641721142852,0.00397728348135273
54.8,0.00450972679843931,0.00418426235013392
54.9,0.00478694890782805,0.00441689788543853
55,0.00510184445103146,0.0046799551877289
55.1,0.00546193591180666,0.00497939694563632
55.2,0.0058767435826379,0.00532276701124224
55.3,0.00635845178346728,0.00571972445050339
55.4,0.00692284333677751,0.00618279814111922
55.5,0.00759062859213977,0.00672846966418128
55.6,0.0083893626150463,0.00737875263853938
55.7,0.00935625050082434,0.00816353458517816
55.8,0.0105423089714022,0.00912410746491576
55.9,0.0120186160415151,0.0103185748496013
56,0.0138857818683231,0.0118302469575839
56.1,0.0162883407960086,0.0137807934836851
56.2,0.0194364134544134,0.0163508503609073
56.3,0.0236371928969359,0.0198117194051846
56.4,0.0293366054616665,0.0245713928706089
56.5,0.0371608588844017,0.0312314217924926
56.6,0.0479132394979043,0.0406237331709386
56.7,0.0623968876145631,0.0537177199358964
56.8,0.0808037479048733,0.071136965515709
56.9,0.101462232886087,0.0919684311928526
57,0.119618777548317,0.112242388804988
57.1,0.12849425198153,0.125188647018376
57.2,0.123727409882934,0.125170138891673
57.3,0.107173571355615,0.112286863142569
57.4,0.0853232164514514,0.0921587047722722
57.5,0.064389341329632,0.0713085829873014
57.6,0.0474550539710969,0.0535914525474001
57.7,0.0349219217530143,0.0400197928841957
57.8,0.0260070008789042,0.0301219773774849
57.9,0.0197316344061463,0.0230263103635904
58,0.0152891594673119,0.0179362170092651
58.1,0.0121007225118527,0.0142485795995343
58.2,0.00977273499238707,0.0115388829977013
58.3,0.00804208376176641,0.009516300993481
58.4,0.0067326961113422,0.0079826461888407
58.5,0.00572555297668276,0.0068020923511013
58.6,0.00493902761071496,0.00588050055579858
58.7,0.00431621026173767,0.00515170918683339
58.8,0.00381673994797094,0.00456851087298982
58.9,0.00341149821932751,0.00409669429453652
59,0.00307911871448374,0.00371107340159993
59.1,0.00280365644533709,0.00339280744884463
59.2,0.00257300542147487,0.00312756483330345
59.3,0.00237780477212657,0.00290424306223114
59.4,0.00221066753917065,0.00271405830615912
59.5,0.00206562568130597,0.00254988322800287
59.6,0.00193772516624424,0.00240575829055167
59.7,0.00182274229663648,0.0022765531744583
59.8,0.00171707146677558,0.00215790188213705
59.9,0.00161828815335341,0.00204753192751095
60,0.00153577946418459,0.0019698964097602
