"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
50,0.00244257864346087,0.00251073856262396
50.1,0.00244873275987811,0.00251757774800887
50.2,0.00245650554116783,0.00252543430948515
50.3,0.00246564341025435,0.00253421040931301
50.4,0.00247598984208752,0.00254385137960234
50.5,0.00248744964047798,0.00255433028390339
50.6,0.00249996817790898,0.00256563897842521
50.7,0.00251351889530982,0.00257778276849985
50.8,0.00252809556615241,0.00259077714523548
50.9,0.00254370741861309,0.00260464577565189
51,0.00256037603722992,0.00261941927890186
51.1,0.00257813341415569,0.00263513451543806
51.2,0.00259702077464474,0.00265183422669701
51.3,0.00261708794997473,0.00266956692636877
51.4,0.00263839316555725,0.00268838698507967
51.5,0.00266100317420459,0.00270835487481669
51.6,0.00268499371628417,0.00272953755826311
51.7,0.00271045034255402,0.00275200902444994
51.8,0.00273746971060795,0.00277585098872501
51.9,0.00276616160277077,0.00280115380253754
52,0.00279665219325886,0.00282801766770491
52.1,0.00282908973771634,0.00285655435925025
52.2,0.00286365548965628,0.00288688992991393
52.3,0.00290058725521314,0.00291916961849048
52.4,0.00294023788096687,0.00295356857855544
52.5,0.00298324841669362,0.00299032119947062
52.6,0.00303120101382393,0.00302982685928566
52.7,0.00309022926808156,0.00307322043453739
52.8,0.00321502093337112,0.00312919818553892
52.9,0.0043907174223442,0.00334392440256259
53,0.00328413171060327,0.0032192226423281
53.1,0.00330716808794362,0.00326787523983119
53.2,0.00336478391064832,0.00332486288784706
53.3,0.00343269750566566,0.00338694887689894
53.4,0.00350776912690665,0.00345404528755644
53.5,0.00358961599877294,0.00352651049533215
53.6,0.00367855984080689,0.003604859345685
53.7,0.00377521523542479,0.00368971383076067
53.8,0.00388038554456482,0.00378179996474282
53.9,0.00399504127656281,0.00388195882283349
54,0.00412032824741471,0.00399116482406781
54.1,0.00425759087913757,0.00411054996699756
54.2,0.00440840668112419,0.00424143448187342
54.3,0.004574631768552,0.0043853652126683
54.4,0.00475845911717165,0.00454416372144362
54.5,0.00496249259486858,0.00471998686980257
54.6,0.00518984118395693,0.0049154036126251
54.7,0.00544423950656814,0.00513349307100641
54.8,0.00573020303289262,0.00537797079857594
54.9,0.00605322948315268,0.00565335275533141
55,0.0064200623288847,0.00596517020171794
55.1,0.00683903852845757,0.00632025403514869
55.2,0.00732055153468603,0.00672711478806365
55.3,0.00787767339756795,0.0071964557490849
55.4,0.00852699819794822,0.00774187320191988
55.5,0.00928979552502363,0.00838082219148695
55.6,0.010193600466834,0.00913596227972302
55.7,0.0112744193340396,0.0100370506140589
55.8,0.0125798008582714,0.0111236255910199
55.9,0.0141731080562845,0.0124488286576032
56,0.0161394047515295,0.0140848404739675
56.1,0.0185933684480063,0.0161305238395284
56.2,0.0216893471133459,0.018721834329598
56.3,0.0256325552183522,0.0220449835492162
56.4,0.0306872166182917,0.0263501916896269
56.5,0.0371697350392473,0.0319578158427843
56.6,0.0453991193247658,0.0392344883891181
56.7,0.0555527364927978,0.0484910054801077
56.8,0.0673646770040071,0.0597279307181814
56.9,0.0796849835951758,0.0721950112615537
57,0.0901986920153159,0.0839664820575906
57.1,0.0959259413962673,0.0921257294157005
57.2,0.0947526440317689,0.0940509483992336
57.3,0.0869153102007453,0.0890985084793166
57.4,0.0748775684135621,0.079036474991759
57.5,0.0617122593383265,0.0667744585984653
57.6,0.0496248824207236,0.054767023707683
57.7,0.0395791963194048,0.0443368828161904
57.8,0.0316699328890173,0.0358591652951518
57.9,0.0255984800357022,0.0291982698585465
58,0.0209732587634797,0.0240376292983026
58.1,0.0174401775655014,0.0200477808483653
58.2,0.0147185839235231,0.0169485694903744
58.3,0.0125984330824409,0.0145209046910211
58.4,0.0109262662759755,0.0125997921525275
58.5,0.00959075146112209,0.0110628720672843
58.6,0.00851093676296721,0.00981971003174498
58.7,0.00762752269888756,0.00880324307540936
58.8,0.00689662119908441,0.00796337639999745
58.9,0.00628535939829444,0.00726232579702191
59,0.00576879119271767,0.00667126644777249
59.1,0.00532771741576266,0.00616792317386361
59.2,0.00494713217245213,0.00573482651211732
59.3,0.00461509923335479,0.00535803448353944
59.4,0.00432192258071429,0.00502617645614312
59.5,0.0040595157929566,0.00472971547725276
59.6,0.00382090178324124,0.00446035363438424
59.7,0.00359979240621433,0.00421052995694471
59.8,0.00339021235700643,0.00397301322203669
59.9,0.00318615625810037,0.00374088238354975
60,0.00298135296310675,0.00351156256525809
