"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.0308084360407158,0.0551546143859075
70.1,0.033537503613265,0.0639646621252346
70.2,0.0370132240729074,0.075322346135153
70.3,0.0412338762635238,0.0896413406037475
70.4,0.0458423907702077,0.106542611789055
70.5,0.0496734445629283,0.123414361360518
70.6,0.0504829060868339,0.133926851398671
70.7,0.0461626671813318,0.130407987481595
70.8,0.0373975368041034,0.111948414285052
70.9,0.0275625852062418,0.0867579851656094
71,0.019383735737348,0.063444446263357
71.1,0.0135567665618641,0.0454479069859365
71.2,0.00968029578264884,0.032607054790857
71.3,0.00715878576056928,0.0236826273534367
71.4,0.0055199371379886,0.0174891781321318
71.5,0.0044466973267594,0.0131521112144785
71.6,0.0037380939139533,0.0100781153969469
71.7,0.00326920286858168,0.00787543561932902
71.8,0.00296352232685082,0.00628709568376562
71.9,0.00277665389940585,0.00514547529443043
72,0.00268911455542842,0.0043444508746262
72.1,0.00270969469947457,0.00382541723082697
72.2,0.00290309019771173,0.00357880531244437
72.3,0.00542521257659989,0.0156974208880235
72.4,0.00573765340009069,0.00432333705574184
72.5,0.0233313784921642,0.00664373207409785
72.6,0.111015136797151,0.0225928319729017
72.7,0.0185710633920151,0.110326166750746
72.8,0.00664202286834947,0.0544892887043317
72.9,0.00368359765156989,0.0115887089695407
73,0.00298836524073409,0.00545479514401581
73.1,0.00270151932173823,0.00362173722617942
73.2,0.00259771664542396,0.00291632426778543
73.3,0.00265071267659345,0.00267547860104012
73.4,0.00290608712144147,0.00267034020548218
73.5,0.00357771469788504,0.00291006277535932
73.6,0.00519351788872047,0.00348587971569658
73.7,0.0093580267903447,0.00481673010942407
73.8,0.0218862840230919,0.00860605400969705
73.9,0.0674141195443574,0.0231172716673432
74,0.165827229576568,0.0620311771312586
74.1,0.116435554881164,0.0566670006500908
74.2,0.0670522444568746,0.0459801643695168
74.3,0.0482120186344508,0.0476162857779019
74.4,0.0416099099918789,0.059132264152066
74.5,0.0412802207476654,0.0834835561520169
74.6,0.0451313446637146,0.127132202453624
74.7,0.0488422797598649,0.184402555533242
74.8,0.0424017547941951,0.201455914187311
74.9,0.0281398957709296,0.154164385223271
75,0.0177793796795878,0.101901761932097
75.1,0.012367546320654,0.0681321231115525
75.2,0.00963088310415583,0.0481341960078318
75.3,0.00818054611631169,0.035972101032556
75.4,0.00737216200294322,0.0282035623509963
75.5,0.00690855206440821,0.0229995338712615
75.6,0.00664575919359534,0.0193685173057915
75.7,0.00651020223528631,0.0167490297531355
75.8,0.00646271722888159,0.0148081239420024
75.9,0.00648219511951809,0.0133398396786639
76,0.00655778695332543,0.0122119867853182
76.1,0.00668510073179862,0.0113370695710225
76.2,0.00686443169414896,0.010655805038259
76.3,0.00710025117908475,0.0101276239835828
76.4,0.00740217556048384,0.00972593479111572
76.5,0.007793387208195,0.00944411138325962
76.6,0.00874584251277022,0.00983355004603148
76.7,0.0088949182023218,0.0091513027539365
76.8,0.00959055699464439,0.00903579455260539
76.9,0.0105560992355462,0.00906264442489202
77,0.0118389631532569,0.00919262581140912
77.1,0.0135808650129575,0.00944706061127676
77.2,0.0160221455228298,0.00987498393506292
77.3,0.01958268263935,0.0105737554111087
77.4,0.0250383812623814,0.0117429257751486
77.5,0.0339232037078792,0.0138194406088263
77.6,0.0495040447510952,0.0178422107747241
77.7,0.0791925011118428,0.026493750131662
77.8,0.139200158605681,0.0468284538481829
77.9,0.24578229463141,0.0913173326132489
78,0.317063451044187,0.140405325632197
78.1,0.252083596604931,0.13851551055356
78.2,0.172885804565048,0.11875171032157
78.3,0.127987229008462,0.108479325612692
78.4,0.106472236614573,0.108910768263265
78.5,0.0986534866644235,0.118821590075536
78.6,0.0999357119135844,0.138403412535784
78.7,0.107517662656827,0.167568042014113
78.8,0.116189230491759,0.199900477281639
78.9,0.114619489784066,0.21396367630707
79,0.0945479079861511,0.188482452651475
79.1,0.0662420730715515,0.138922198375926
79.2,0.0432972221114807,0.0941467813660087
79.3,0.0284658727542959,0.0632690394566782
79.4,0.0194676440827664,0.0436166850542036
79.5,0.0139805541446694,0.0311548274533506
79.6,0.0105377916923758,0.0230675113012698
79.7,0.00830357325080922,0.0176578500864253
79.8,0.00680614775017008,0.0139288585009296
79.9,0.0057735771942371,0.0112870926828971
80,0.00504426418658921,0.00937015568866351
