"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
60,0.00280589478092452,0.00300958010151564
60.1,0.00413926586807312,0.0198610082420241
60.2,0.0144224040406534,0.022857261242607
60.3,0.00483601272775447,0.00470378637413527
60.4,0.00350316616545543,0.00351579987650852
60.5,0.00321655448144997,0.00324802058638896
60.6,0.00309226918695937,0.00317774650400193
60.7,0.0030161498369401,0.0031849177137383
60.8,0.00303382131970054,0.00836668161150222
60.9,0.00297969298892042,0.00323197367338313
61,0.00308794460028994,0.0032591640288997
61.1,0.00359959304807977,0.00386939844500978
61.2,0.00691498399205592,0.00802641663560033
61.3,0.185520481422548,0.217392539383601
61.4,0.0136168603086358,0.0154579466436593
61.5,0.0061510387408843,0.00674671462521048
61.6,0.00470273319844028,0.00505400820212498
61.7,0.00422619547630265,0.00449184848104689
61.8,0.00416881059433216,0.00440246838661118
61.9,0.00470653108355834,0.00495190468130124
62,0.00838388963198555,0.00896641987239277
62.1,0.296857773874947,0.38139769820201
62.2,0.0118661717304757,0.00853567851707182
62.3,0.00553697882172999,0.00471433547712152
62.4,0.025003840642134,0.0858195540323509
62.5,0.0138484592748991,0.0103651787060646
62.6,0.00584749137466956,0.00555227136987946
62.7,0.00469468059167333,0.00461259715207762
62.8,0.00425809010951683,0.00422680389847607
62.9,0.00404141393328095,0.00402386418396927
63,0.00398987503387449,0.00392521005013757
63.1,0.00440744940649207,0.00397376702067831
63.2,0.00377316386307269,0.00377313005969326
63.3,0.00371804268056286,0.00373553530627546
63.4,0.00369318200101343,0.00371634642926577
63.5,0.00368285164141435,0.00370914488626006
63.6,0.00368322537219257,0.00371159172648861
63.7,0.00369294641457818,0.00372249262218283
63.8,0.00371387286205038,0.00374138446210337
63.9,0.00483387705588578,0.00380586658841864
64,0.00376606892507136,0.00380031349308663
64.1,0.00380341074935375,0.00384180458754835
64.2,0.00385064329827267,0.00389159126983152
64.3,0.00390683040320605,0.00395045861978893
64.4,0.00397272910822044,0.00401947243076206
64.5,0.00404954082023745,0.00410003809833692
64.6,0.00413887431544779,0.00419399274855892
64.7,0.00424283485649191,0.00430373804183659
64.8,0.00436417803858702,0.00443243468290433
64.9,0.00450654235397763,0.00458429180694619
65,0.00467479999752163,0.0047650066694801
65.1,0.0048755969505474,0.00498245081630577
65.2,0.00511820922670159,0.00524777630133832
65.3,0.00541595047960475,0.00557726977350437
65.4,0.00578858951364258,0.00599560781267461
65.5,0.00626672852232213,0.00654190218116113
65.6,0.00690026827386803,0.00728172597243559
65.7,0.00777618575604611,0.00833319927123488
65.8,0.00906013172677667,0.00993028584056099
65.9,0.0111093181947427,0.0126015541672193
66,0.0148532929760693,0.0177983098242948
66.1,0.0236236440118979,0.0310168226789345
66.2,0.0607013870776539,0.0917863552080045
66.3,0.667983532676084,0.986644165857596
66.4,0.670891176163075,0.513469859925772
66.5,0.128311406967359,0.081241930107551
66.6,0.0176141648817393,0.0123712044924219
66.7,0.00575807828075048,0.0047169893711404
66.8,0.0029306890317119,0.00278561885293427
66.9,0.00206585721716956,0.00217002035716629
67,0.00182399820102042,0.0019956192943904
67.1,0.00183526191385464,0.0020072383405968
67.2,0.00200033870897232,0.00212880994221354
67.3,0.00255051909235671,0.00256818225783906
67.4,0.321151231882322,0.0147154441147097
67.5,0.00330523293362806,0.00318055879196766
67.6,0.00301312634760076,0.00313443587886975
67.7,0.00320341711908834,0.00333716391505501
67.8,0.003511304434761,0.00364886643261886
67.9,0.00390267267198552,0.00403986907889586
68,0.00438096024929913,0.0045229058883467
68.1,0.00496821218025612,0.00512662313835222
68.2,0.00570670144712226,0.00589630729201995
68.3,0.00665456227838201,0.00690456593763755
68.4,0.00797891951683771,0.0083514003144185
68.5,0.00959583865894242,0.010140769494052
68.6,0.0119455573399513,0.0128688060327341
68.7,0.0154383358710342,0.0170915774094454
68.8,0.0209280214659077,0.0240932737689932
68.9,0.0303382231396668,0.0369306547086746
69,0.0487484053321472,0.0641501857197118
69.1,0.0935045334873118,0.135541893935927
69.2,0.241656661753474,0.368391897747833
69.3,0.607997834375021,0.750582359530633
69.4,0.738789845318401,0.607544308375895
69.5,0.426126370831724,0.288325961158163
69.6,0.188384617264551,0.124864376717882
69.7,0.0972852979016583,0.0666123309240217
69.8,0.0588838288895779,0.042061475205092
69.9,0.0398945810610505,0.0296961089083143
70,0.0292689879634697,0.0226290844524965
