"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.0170880320345622,0.0233594294718195
70.1,0.015556964321036,0.0197265954781137
70.2,0.0147084330552594,0.0184267497198253
70.3,0.0145522805151377,0.0193644674428481
70.4,0.0152058648504366,0.0231173220508418
70.5,0.0169859921870262,0.0315938112104007
70.6,0.020644052976181,0.0501223488380151
70.7,0.0280637479139295,0.0940648815444569
70.8,0.0459551245020974,0.19779832332936
70.9,0.0846134049494748,0.262964275316152
71,0.188522821099286,0.156116316045966
71.1,0.298210140380579,0.0863471483404975
71.2,0.154367679090113,0.0561758392865077
71.3,0.0708485751502025,0.0329808078019956
71.4,0.0405833690325198,0.0240277216988685
71.5,0.0272026613617363,0.0189062746495711
71.6,0.0202408608009595,0.0156642057807265
71.7,0.0161678824939455,0.0134730234072336
71.8,0.013571577416019,0.0119173296130393
71.9,0.0118052998797992,0.0107683462441545
72,0.0105406734164502,0.00989133340661474
72.1,0.00959705443878189,0.00920271251055538
72.2,0.00886866406982345,0.00864844452425184
72.3,0.00829053379781874,0.00819239145428596
72.4,0.00782151764399208,0.00780971240977657
72.5,0.00743569997066285,0.00748294855651099
72.6,0.00711916770995791,0.00719961340827835
72.7,0.00687449887311797,0.00695065178736831
72.8,0.00676025008585235,0.00672935152115606
72.9,0.00737543640728422,0.00652986759132168
73,0.191416096589662,0.00689320029022933
73.1,0.00689371037928677,0.00625072302533425
73.2,0.00603633020872418,0.00641631908663431
73.3,0.00578026756188033,0.00642667506802419
73.4,0.00558175245047843,0.00582894678026269
73.5,0.0054416528644764,0.00568956842295953
73.6,0.00532900902050315,0.00558656475806885
73.7,0.0052372781602138,0.00550229176996175
73.8,0.00516431164018261,0.00543446913279333
73.9,0.00510968813221435,0.0053834783068677
74,0.00507389115604173,0.00535063314490558
74.1,0.0050579886612141,0.00533779353630337
74.2,0.00506348943295998,0.0053472534474901
74.3,0.00509227004693136,0.00538170099334034
74.4,0.00514653029255097,0.00544419602214863
74.5,0.00522875703238412,0.0055381442040725
74.6,0.00534168469802165,0.00566725526427159
74.7,0.00548824375661228,0.00583547511342775
74.8,0.00567148964897468,0.00604688209832427
74.9,0.00589450528811131,0.006305538350038
75,0.00616027103976602,0.00661528952835477
75.1,0.0064714979055136,0.00697951140556163
75.2,0.00683042316320304,0.00740081097071787
75.3,0.00723857384857252,0.00788070412468533
75.4,0.00769651304323593,0.00841931197205448
75.5,0.0082035976066126,0.0090151424501218
75.6,0.00875779386595388,0.00966505161390929
75.7,0.00935561919523686,0.0103645073612566
75.8,0.00999230129169015,0.0111083097704653
75.9,0.0106622737228701,0.0118919720494619
76,0.0113601633183246,0.0127140854941012
76.1,0.0120824992456257,0.0135803277294865
76.2,0.0128305632227127,0.0145107745264463
76.3,0.0136153277172334,0.0155554818478003
76.4,0.0144670256276054,0.0168367599930919
76.5,0.0154578723682273,0.0187157588759804
76.6,0.0167863653241054,0.0231305449545092
76.7,0.0246664830971641,0.398822054216521
76.8,0.0213553090369085,0.0281551741677868
76.9,0.0297011068788271,0.0391868990649669
77,0.0681459971809666,0.0974732995680411
77.1,0.647931843570547,0.887283412126692
77.2,0.336449385853976,0.354128671283845
77.3,0.558159216228805,0.51879830073433
77.4,0.0414209104896054,0.0424088001884999
77.5,0.0196015578560279,0.0208488906478907
77.6,0.0151930956488847,0.0160421125256164
77.7,0.0135806163514767,0.0141367064288469
77.8,0.0139142188431343,0.0134040740203255
77.9,0.0122913920582124,0.0124953425708959
78,0.0118039985524386,0.0119903114179053
78.1,0.0114491156298543,0.0115977116294402
78.2,0.0111413070371789,0.0112633561892163
78.3,0.0108601493526818,0.010965578853291
78.4,0.0105968120026478,0.0106930089072819
78.5,0.0103469135288762,0.0104392297727449
78.6,0.0101081824735155,0.0102004825022194
78.7,0.0098794413947394,0.0099745238804172
78.8,0.00966011085175178,0.00976001939376625
78.9,0.00944995327881626,0.00955620873001983
79,0.00924893787968617,0.00936271987834103
79.1,0.00905717037881526,0.00917947002530439
79.2,0.00887485934154608,0.00900662256548224
79.3,0.008702304331206,0.0088445877213621
79.4,0.00853989828869672,0.00869406880178936
79.5,0.00838814065323934,0.00855617527386454
79.6,0.00824766065896521,0.00843266265535958
79.7,0.0081192532582689,0.00832646005045379
79.8,0.00800393522740772,0.008242955633604
79.9,0.00790304194010438,0.00819364185973537
80,0.00781843149433126,0.0082089358748404
