Freq [GHz],AbsorbanceTM [],AbsorbanceTE []
70,0.002437722,0.003153578
70.05,0.002428507,0.003124707
70.1,0.002419768,0.003096954
70.15,0.002411486,0.003070308
70.2,0.002403641,0.003044753
70.25,0.002396216,0.00302027
70.3,0.002389196,0.002996833
70.35,0.002382568,0.002974409
70.4,0.002376319,0.002952956
70.45,0.00237044,0.002932423
70.5,0.002364922,0.002912751
70.55,0.002359759,0.002893869
70.6,0.002354947,0.002875696
70.65,0.002350485,0.002858144
70.7,0.002346373,0.002841116
70.75,0.002342615,0.00282451
70.8,0.002339219,0.002808218
70.85,0.002336196,0.002792135
70.9,0.002333561,0.002776158
70.95,0.002331338,0.002760194
71,0.002329552,0.002744164
71.05,0.002328241,0.002728011
71.1,0.002327449,0.002711707
71.15,0.002327233,0.002695261
71.2,0.002327663,0.002678729
71.25,0.002328829,0.002662223
71.3,0.002330841,0.002645919
71.35,0.002333837,0.002630071
71.4,0.002337991,0.002615015
71.45,0.002343523,0.002601185
71.5,0.002350713,0.002589116
71.55,0.002359919,0.002579462
71.6,0.002371605,0.002573003
71.65,0.002386378,0.00257067
71.7,0.002405045,0.002573569
71.75,0.002428691,0.002583031
71.8,0.002458799,0.00260068
71.85,0.002497444,0.002628562
71.9,0.002547587,0.002669334
71.95,0.002613572,0.002726593
72,0.002701974,0.002805419
72.05,0.002823125,0.002913311
72.1,0.002994039,0.003061866
72.15,0.003244409,0.003269937
72.2,0.003630307,0.003570117
72.25,0.004270622,0.004023855
72.3,0.005476444,0.004768348
72.35,0.008710554,0.006345457
72.4,0.224355081,0.087792962
72.45,0.037432918,0.015712973
72.5,0.13493697,0.031157556
72.55,0.09817379,0.099350202
72.6,0.028982239,0.123690489
72.65,0.012714761,0.03918701
72.7,0.007729671,0.017400776
72.75,0.005615191,0.010323311
72.8,0.004524364,0.007256711
72.85,0.003890786,0.005660481
72.9,0.003494194,0.004721771
72.95,0.003234989,0.004120881
73,0.00306359,0.003713277
73.05,0.002954102,0.003427483
73.1,0.002893321,0.003226697
73.15,0.002875878,0.003092724
73.2,0.002902257,0.003018859
73.25,0.002978435,0.003006904
73.3,0.003116817,0.003066448
73.35,0.003338638,0.003215809
73.4,0.003678562,0.00348464
73.45,0.004193051,0.003918771
73.5,0.004975702,0.004588474
73.55,0.006186024,0.005602363
73.6,0.008104742,0.007130675
73.65,0.011240803,0.009443829
73.7,0.016527134,0.01297294
73.75,0.025580577,0.018388451
73.8,0.040433516,0.026629269
73.85,0.060054445,0.038574687
73.9,0.073203746,0.053567469
73.95,0.069088224,0.066796429
74,0.055778792,0.071282089
74.05,0.043261398,0.067736799
74.1,0.033742684,0.062073045
74.15,0.025622046,0.053846998
74.2,0.015565086,0.044468573
74.25,0.010618731,0.036490737
74.3,0.011903905,0.030369753
74.35,0.012305369,0.025767222
74.4,0.012067937,0.022287796
74.45,0.011645924,0.01962759
74.5,0.011204454,0.017572664
74.55,0.010797074,0.015975023
