"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM [] - Subsize='5mm'"
70,0.0107508231724435,0.0107457789208443
70.1,0.0104951011260005,0.0104861702860288
70.2,0.0103669960120363,0.0103556157678819
70.3,0.0103418752887655,0.0103290724768264
70.4,0.0104065906752699,0.0103930350592893
70.5,0.0105613342591412,0.0105473612698683
70.6,0.0108252718780999,0.0108108503446522
70.7,0.0112514455912233,0.0112360181468192
70.8,0.011968755143284,0.0119507024643487
70.9,0.0133228372846905,0.0132974788592725
71,0.0165235210782048,0.0164726203571225
71.1,0.0292464317203212,0.029019017371762
71.2,0.647960999099818,0.621163966601103
71.3,0.0134480703724774,0.0135638060551421
71.4,0.00671220695594721,0.00671231345639367
71.5,0.00629482545655047,0.00629110418256995
71.6,0.00635403883334307,0.00635097962574038
71.7,0.00644556220853787,0.00644330817408334
71.8,0.00651239284096927,0.00651074892872405
71.9,0.00655183352909017,0.0065506226130182
72,0.00656977367799372,0.00656886472958562
72.1,0.00657246140380963,0.00657176127965931
72.2,0.00656504152057524,0.00656448542448451
72.3,0.00655148514841886,0.00655102946695008
72.4,0.00653478313924249,0.00653440023581076
72.5,0.00651715264175923,0.00651682694090872
72.6,0.00650020848230071,0.00649993339260657
72.7,0.00648509823547083,0.00648487364737838
72.8,0.00647260889030343,0.00647243910193296
72.9,0.00646325287024485,0.00646314486040089
73,0.00645733930709425,0.00645730131064803
73.1,0.00645503473101439,0.00645507509056009
73.2,0.00645641605813907,0.00645654233481097
73.3,0.00646151789718941,0.00646173622731172
73.4,0.00647037565326281,0.00647069033842473
73.5,0.00648306559779321,0.00648347891547851
73.6,0.00649974293160926,0.00650025515261254
73.7,0.00652067886054519,0.00652128845839117
73.8,0.00654629781204885,0.00654700184902057
73.9,0.00657721614568352,0.00657801081999754
74,0.00661428406894549,0.00661516540832408
74.1,0.00665863299693081,0.00665959768556701
74.2,0.00671173135143632,0.006712777680418
74.3,0.00677545287520265,0.00677658181121521
74.4,0.00685216309009906,0.00685337946447317
74.5,0.00694483177804472,0.00694614560860218
74.6,0.00705718266347055,0.00705861063694135
74.7,0.00719389637977841,0.0071954635447985
74.8,0.00736089017860364,0.00736263193210818
74.9,0.00756570909489351,0.00756767359370181
75,0.00781808066627132,0.00782033186950826
75.1,0.00813071249625852,0.00813333415695938
75.2,0.00852045491206788,0.008523556009424
75.3,0.00901001927299805,0.00901374164222102
75.4,0.00963055096513876,0.00963508028238302
75.5,0.0104255255715652,0.0104311074239762
75.6,0.0114566882689343,0.0114636517431466
75.7,0.0128130789031577,0.0128218705579106
75.8,0.014624402308577,0.0146356318329306
75.9,0.0170792996711859,0.0170937887819166
76,0.0204444396348963,0.0204632278304845
76.1,0.0250621516505858,0.0250862902822359
76.2,0.0312484528034023,0.0312781079575526
76.3,0.0388980296135022,0.0389300339478624
76.4,0.0466178541641531,0.0466422339603481
76.5,0.0512184935249594,0.051221165081255
76.6,0.04993150065005,0.0499090721180502
76.7,0.0437794986833225,0.0437443406850245
76.8,0.0361654430605345,0.0361308049305753
76.9,0.0294110649867784,0.0293826618578785
77,0.024165547992809,0.0241440148958635
77.1,0.020284092688876,0.0202683611152268
77.2,0.0174405714707917,0.0174293741654673
77.3,0.0153427042191238,0.0153349888392207
77.4,0.0137725596003442,0.013767525392787
77.5,0.0125767297745735,0.0125737734699257
77.6,0.0116487002704554,0.0116473568534687
77.7,0.0109141867315763,0.0109140838575026
77.8,0.0103207484363934,0.0103215748644788
77.9,0.0098308101235961,0.0098322948603492
78,0.00941704722572945,0.00941894622253536
78.1,0.00905933530337988,0.00906142339774563
78.2,0.00874272114084818,0.00874478768569864
78.3,0.00845606212496175,0.00845790929188273
78.4,0.00819110646674837,0.00819254957001236
78.5,0.00794186765858784,0.00794273708102999
78.6,0.0077041978830501,0.00770434233551143
78.7,0.00747549770608247,0.00747478864890616
78.8,0.00725452025804452,0.00725285737499504
78.9,0.00704124158917985,0.00703855924334962
79,0.00683677769127045,0.00683305231645992
79.1,0.0066433344897916,0.00663859288424751
79.2,0.00646418098647805,0.00645850948161752
79.3,0.00630363833938397,0.00629719281595498
79.4,0.00616707943536288,0.00616009615447033
79.5,0.00606093471274483,0.00605374191989028
79.6,0.00599270081546655,0.00598573106266254
79.7,0.00597094922362607,0.00596475233775373
79.8,0.00600533239301881,0.00600058899828759
79.9,0.00610658520562868,0.00610412068421318
80,0.00628651972631644,0.00628731847432917
