"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.0146153631464073,0.0152451163476187
70.05,0.0149461070403026,0.0156511464600934
70.1,0.0154159882133508,0.0161828271562036
70.15,0.0160284839204152,0.0168499763364455
70.2,0.016796045696415,0.0176724190487386
70.25,0.0177439230868384,0.0186844592770795
70.3,0.0189167971184533,0.0199427121955923
70.35,0.0203909098350555,0.0215405344821001
70.4,0.0222977158958623,0.02363635103314
70.45,0.0248738743159317,0.0265139163433769
70.5,0.0285785018270468,0.0307245897995048
70.55,0.0344092797287991,0.0374735579215353
70.6,0.0449396883496334,0.0498963456612906
70.65,0.0689159819026107,0.0787580079011018
70.7,0.15552930618583,0.185238113766793
70.75,0.851445267282046,0.947988369197581
70.8,0.0986550921725943,0.119601165052844
70.85,0.0187014028313235,0.0241095777526061
70.9,0.0115971960260012,0.0124975234653486
70.95,0.0496170369545457,0.0310926826253688
71,0.017216321717169,0.0146803141876248
71.05,0.0197771286899134,0.0168914206780657
71.1,0.0291264815858066,0.0240276378543658
71.15,0.0533135004165161,0.0422459742626968
71.2,0.152166171579852,0.117043521372631
71.25,0.795795254471852,0.833396688973905
71.3,0.171004320998843,0.151342893855321
71.35,0.0515624746252068,0.0430761461226564
71.4,0.0274656269235796,0.0235450488980318
71.45,0.0194754774682715,0.0173956071445197
71.5,0.0161607765324419,0.0149737426397927
71.55,0.0146567548371522,0.0139586396055001
71.6,0.0139883495887086,0.0135775395263815
71.65,0.0137526331719353,0.0135156683590134
71.7,0.0137585991617634,0.0136255001253017
71.75,0.0139055229753795,0.0138301446769991
71.8,0.0141353302163888,0.0140859573151015
71.85,0.0144118143033413,0.014366371784952
71.9,0.0147108251177482,0.0146543171869306
71.95,0.015015388709648,0.0149384538717338
72,0.0153132303294214,0.0152112470445878
72.05,0.0155955593267643,0.0154679866814176
72.1,0.0158565683409774,0.0157063259401719
72.15,0.0160933716634494,0.0159261214344779
72.2,0.0163062401414231,0.016129460635113
72.25,0.0164990576588995,0.0163208132430266
72.3,0.0166799601238823,0.0165072705022183
72.35,0.016862137233307,0.0166988510412707
72.4,0.0170647873065215,0.0169088597273261
72.45,0.0173142195786983,0.0171542900664052
72.5,0.0176450979966024,0.0174562623654935
72.55,0.0176893479086669,0.0172768117116248
72.6,0.0189886997389089,0.0170791210629301
72.65,0.0863033323381324,0.0620116482261557
72.7,0.0237138654354504,0.0228097683029286
72.75,0.0213927828321687,0.0210481851415987
72.8,0.0207799274804499,0.020555304498273
72.85,0.0205414546664083,0.0203566457487252
72.9,0.0204297611233719,0.0202593720495134
72.95,0.020366565731635,0.0201999366982413
73,0.0203193583698089,0.0201511130532772
73.05,0.0202721250114318,0.0200991494866444
73.1,0.0202160030016439,0.0200362786820876
73.15,0.020145673839277,0.0199577643929801
73.2,0.020057772626304,0.0198605764072034
73.25,0.0199501143883205,0.0197427362749955
73.3,0.0198212886260376,0.019602969686037
73.35,0.0196704344309128,0.0194405109863202
73.4,0.0194971104252367,0.0192549883546375
73.45,0.0193012174647023,0.0190463541699988
73.5,0.0190829522289155,0.0188148419147426
73.55,0.0188427797705911,0.0185609393055902
73.6,0.0185814182730895,0.0182853717074567
73.65,0.0182998321105362,0.0179890922691988
73.7,0.017999230960476,0.0176732765739837
73.75,0.0176810737627912,0.0173393203925464
73.8,0.0173470770653892,0.0169888396117102
73.85,0.0169992279453015,0.016623671718841
73.9,0.0166398024017407,0.0162458784343509
73.95,0.0162713910631819,0.0158577492527255
74,0.0158969354903146,0.0154618058223609
74.05,0.0155197807299187,0.0150608073183612
74.1,0.0151437538943804,0.0146577573219382
74.15,0.0147732859969563,0.014255913358904
74.2,0.0144136083409795,0.0138588014631804
74.25,0.0140710825205196,0.0134702405317296
74.3,0.013753780771526,0.0130943862178104
74.35,0.0134725607312208,0.0127358150034965
74.4,0.0132431807555266,0.012399694568121
74.45,0.0130907846290212,0.012092151312747
74.5,0.013060347445586,0.0118211288696115
74.55,0.0132442094367462,0.0115986251406377
74.6,0.0138681725584039,0.0114475190520653
74.65,0.0156385896872732,0.0114281305431891
74.7,0.0218933203101859,0.0117952848811402
74.75,0.0739327992953476,0.0154082084990066
74.8,0.139083275195936,0.0178006741960055
74.85,0.0231509711619042,0.0110475943464058
74.9,0.0148152719917626,0.0107017030226421
74.95,0.0127642345315818,0.0107175876277226
75,0.0120537101545697,0.0108354898615486
75.05,0.0112947789738644,0.0109685912968668
75.1,0.0110995414823577,0.011177630236741
75.15,0.0112997913966761,0.0114528245494833
75.2,0.011743452563015,0.0117842514019393
75.25,0.0123043547179946,0.0121632202694896
75.3,0.0128893736451577,0.0125840217199892
75.35,0.013442425276758,0.0130459466932223
75.4,0.013945102748617,0.0135553628211733
75.45,0.0144140129624245,0.0141275129311853
75.5,0.0148951041030905,0.0147875929281979
75.55,0.0154554924471352,0.0155706127716618
75.6,0.0161735087680109,0.0165195941739867
75.65,0.0171278866794423,0.0176818529803997
75.7,0.0183871753913374,0.019103462045591
75.75,0.0200005232965206,0.0208224449226115
75.8,0.0219908894414217,0.0228617001202284
75.85,0.0243514659691517,0.025222945586716
75.9,0.0270456557266721,0.0278829625413235
75.95,0.0300104230174153,0.0307930503449602
76,0.033162338514158,0.033881953928512
76.05,0.0364052878235873,0.0370617833708329
76.1,0.0396386812349752,0.0402358433305579
76.15,0.0427650977791754,0.043307001346287
76.2,0.0456965655568842,0.0461852959015469
76.25,0.0483590325085522,0.0487938376939254
76.3,0.0506949263958361,0.0510725384819636
76.35,0.0526639740677906,0.0529796588934167
76.4,0.0542426183982966,0.0544914988999546
76.45,0.0554224389385723,0.0556007281609179
76.5,0.056207971745342,0.0563138864633231
76.55,0.0566142645979252,0.0566485218876813
76.6,0.05666442311714,0.0566303243061579
76.65,0.0563873212166355,0.056290492323771
76.7,0.0558155778080355,0.0556634661626827
76.75,0.0549838459292595,0.054785077666381
76.8,0.0539274210187525,0.0536911130137113
76.85,0.0526811498727731,0.0524162504222591
76.9,0.0512786078214199,0.0509933187776517
76.95,0.0497515056754642,0.0494528184085102
77,0.0481292873034116,0.0478226476799605
77.05,0.0464388811626156,0.0461279853663935
77.1,0.0447045732038212,0.0443912866237358
77.15,0.0429479732750659,0.0426323584024026
77.2,0.0411880518359675,0.0408684875347822
77.25,0.0394412281136721,0.0391146011350552
77.3,0.0377214946147475,0.0373834442497055
77.35,0.0360405661163762,0.0356857639468728
77.4,0.0344080439093541,0.0340304923420699
77.45,0.0328315882145532,0.0324249235758471
77.5,0.0313170934137496,0.0308748816328765
77.55,0.0298688620925489,0.0293848772514024
