"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM [] - Subsize='5mm'"
70,0.0524880235442806,0.0531124636768686
70.1,0.0732738040010529,0.0744076952092497
70.2,0.12269630879677,0.125331694080873
70.3,0.281159691934321,0.288567942505406
70.4,0.439649679959689,0.428644873225746
70.5,0.107019431724995,0.103977445031131
70.6,0.0317348837298035,0.031320438029058
70.7,0.0152225383305213,0.0151536940137453
70.8,0.0114637854192764,0.0114380321851015
70.9,0.0125548744270599,0.012502199376996
71,0.0186410728522134,0.0184884823753068
71.1,0.0398921955426323,0.0392961292229606
71.2,0.172586498524586,0.167610798130947
71.3,0.303149040009637,0.312208291748104
71.4,0.0575419520472082,0.0585147942822082
71.5,0.0246134716097803,0.0248160739929066
71.6,0.0154131276567347,0.0154777819953529
71.7,0.0116756710092538,0.0117024278342107
71.8,0.00982131090078753,0.00983668767886292
71.9,0.00878217922593683,0.00879532084723811
72,0.00815188724996152,0.00816605770440415
72.1,0.00774915475668281,0.00776492552344821
72.2,0.0074834539513583,0.00749979487293206
72.3,0.00730548825391741,0.00732021843528563
72.4,0.00718641179257506,0.00719643546689397
72.5,0.00710821877305312,0.00710969063179723
72.6,0.00705895675276236,0.007047431364826
72.7,0.00703020524065179,0.00700079232827888
72.8,0.00701569314878914,0.00696322706140207
72.9,0.00701052196802965,0.00692974763706167
73,0.00701072658182378,0.00689650124585217
73.1,0.00701303174864609,0.00686054012551884
73.2,0.00701472563454197,0.00681970526934683
73.3,0.00701360514059857,0.00677257804041809
73.4,0.00700796609194021,0.00671847229362077
73.5,0.00699662180333305,0.00665745009869378
73.6,0.00697893969201901,0.00659035027099186
73.7,0.00695488932479038,0.00651882251156932
73.8,0.00692509754177972,0.00644536200681556
73.9,0.00689090760455446,0.0063733403381927
74,0.00685443991304424,0.00630702872974775
74.1,0.00681865179609054,0.00625160906930755
74.2,0.00678739314338783,0.00621316670787841
74.3,0.00676545303285769,0.00619865660228514
74.4,0.0067585897289294,0.00621583068873821
74.5,0.0067735320885447,0.00627310921547197
74.6,0.00681793406674291,0.00637937199197758
74.7,0.00690025530794003,0.0065436373692509
74.8,0.00702952979834082,0.00677458831510525
74.9,0.00721497234545465,0.00707989885490223
75,0.00746536246814311,0.00746531574856402
75.1,0.00778814398942151,0.00793346871537826
75.2,0.00818819821667072,0.00848243101964985
75.3,0.00866630614396813,0.00910414544362292
75.4,0.00921742806670123,0.00978297590767774
75.5,0.00982910159082928,0.0104948246791776
75.6,0.0104804584697421,0.0112074040342567
75.7,0.0111424935843772,0.0118822468066574
75.8,0.0117801386098487,0.0124787403942115
75.9,0.0123562738643954,0.0129598222196099
76,0.0128370926111409,0.0132981588059353
76.1,0.0131975104429655,0.0134810720091381
76.2,0.0134250371240283,0.0135126189282269
76.3,0.0135209712998495,0.0134121580156599
76.4,0.0134987583289796,0.0132099948395112
76.5,0.0133803254493202,0.0129416117799616
76.6,0.0131916851779313,0.0126421361233047
76.7,0.0129589680366535,0.0123421946560375
76.8,0.012705554026893,0.0120655615590347
76.9,0.0124504517690154,0.0118284138756095
77,0.0122077293314974,0.0116397196064266
77.1,0.0119866662661795,0.0115022538835428
77.2,0.0117923090428241,0.0114138486614199
77.3,0.0116261913312229,0.0113686267751316
77.4,0.0114870696011712,0.0113580947913205
77.5,0.0113715963166684,0.0113720529056883
77.6,0.0112749011272931,0.0113993276253372
77.7,0.0111910782412489,0.0114283546676534
77.8,0.0111135917128284,0.0114476457284546
77.9,0.0110356152572522,0.0114461710713971
78,0.0109503234353593,0.0114136849500284
78.1,0.0108511491624054,0.0113410152379811
78.2,0.0107320199078216,0.0112203334817886
78.3,0.0105875823882466,0.0110454173241257
78.4,0.0104134233041976,0.0108119138894373
78.5,0.0102062918170165,0.0105176101473459
78.6,0.00996432796887115,0.0101627142718687
78.7,0.00968730004262397,0.00975015040760918
78.8,0.00937685285478307,0.00928586786889574
78.9,0.00903676808178577,0.00877916448365723
79,0.00867323686464494,0.00824302243514574
79.1,0.00829514404721809,0.0076944534495974
79.2,0.00791436241659549,0.00715484844504111
79.3,0.00754605417812848,0.00665032473534288
79.4,0.00720897556363764,0.00621206152955445
79.5,0.00692577890712065,0.00587661176861276
79.6,0.00672330469776516,0.00568617531110338
79.7,0.00663285403416469,0.0056888151856328
79.8,0.00669042956564037,0.00593859518164974
79.9,0.0069369304707646,0.00649561365060025
80,0.00741828436908454,0.00742590530098552
