"Freq [GHz]","AbsorbanceTM []"
70,0.406073253610902
70.1,0.330006277610141
70.2,0.227176771773882
70.3,0.153599327866669
70.4,0.107792998182823
70.5,0.0792825588716765
70.6,0.0608884133675996
70.7,0.0485214321467352
70.8,0.0398853665980712
70.9,0.0336542857248371
71,0.0290330232205589
71.1,0.0255262539110499
71.2,0.0228144183441679
71.3,0.0206847794998497
71.4,0.0189917313802417
71.5,0.017633157324722
71.6,0.0165358979097029
71.7,0.0156465588324044
71.8,0.0149255442872223
71.9,0.0143430930747162
72,0.0138765900767626
72.1,0.013508709026879
72.2,0.0132261089441582
72.3,0.0130185068724429
72.4,0.0128780114052962
72.5,0.0127986404595952
72.6,0.0127759718545428
72.7,0.0128068917429216
72.8,0.0128894170120256
72.9,0.0130225753824567
73,0.0132063323230187
73.1,0.0134415578670052
73.2,0.0137300294983442
73.3,0.0140744698574575
73.4,0.0144786203872485
73.5,0.0149473544606141
73.6,0.01548683626188
73.7,0.0161047350514268
73.8,0.0168105088571744
73.9,0.0176157777584167
74,0.0185348158265612
74.1,0.0195852043547965
74.2,0.0207887108529653
74.3,0.0221724959190159
74.4,0.0237708207424279
74.5,0.0256275756218561
74.6,0.0278003015248711
74.7,0.030367356015346
74.8,0.0334431675718465
74.9,0.0372206059708461
75,0.0421446034371359
75.1,0.0502716219196466
75.2,0.159729942589845
75.3,0.0654828388176215
75.4,0.0688501717305515
75.5,0.07983842666459
75.6,0.0944412221812571
75.7,0.11315783900939
75.8,0.136882085228271
75.9,0.166300810554604
76,0.200996945504548
76.1,0.237884769560407
76.2,0.26970921438332
76.3,0.286378407974511
76.4,0.281265584507299
76.5,0.257089440647177
76.6,0.223376244917397
76.7,0.189171886619042
76.8,0.159410850621704
76.9,0.135574780646218
77,0.117421115257774
77.1,0.104163575459811
77.2,0.0950217614035647
77.3,0.0894219108118515
77.4,0.087058861782654
77.5,0.0879273310022349
77.6,0.0923767323526367
77.7,0.101227392539834
77.8,0.115990626635293
77.9,0.13924100614218
78,0.175123693313529
78.1,0.229517016371773
78.2,0.307368124129169
78.3,0.399964956875783
78.4,0.462429468350901
78.5,0.440251716821599
78.6,0.353410684722577
78.7,0.261937408745948
78.8,0.192245101132953
78.9,0.144127733748904
79,0.111362554380142
79.1,0.088678606466644
79.2,0.0725646175719602
79.3,0.060806655238607
79.4,0.0520106448506781
79.5,0.0452835949315317
79.6,0.0400401542043932
79.7,0.0358873425776557
79.8,0.0325552955538494
79.9,0.0298548880264808
80,0.0276512358454623
