"Freq [GHz]","AbsorbanceTE []","AbsorbanceTM [] - Subsize='5mm'"
70,0.0107674198885347,0.0107741532256628
70.1,0.0105124194769133,0.0105123027398648
70.2,0.0103865260699604,0.0103813810067839
70.3,0.0103647689397992,0.0103558417512051
70.4,0.0104338605934645,0.0104218912564282
70.5,0.0105940838254264,0.0105793186885944
70.6,0.0108650286153024,0.0108471352418313
70.7,0.0113007768384512,0.0112785425614399
70.8,0.012032698228756,0.0120031225627382
70.9,0.0134131474370672,0.0133683227409449
71,0.0166764657775115,0.0165886193521164
71.1,0.029667789428192,0.0293394507262859
71.2,0.659740851259633,0.634348041755739
71.3,0.0135690460740684,0.0135816092070843
71.4,0.00671561994275849,0.00670500940074881
71.5,0.00628510138231708,0.00628103801317048
71.6,0.0063428161790211,0.00634142630994727
71.7,0.00643486358656165,0.00643449941654772
71.8,0.00650247876913912,0.00650244740690598
71.9,0.0065425845986522,0.00654256657522134
72,0.00656101136646792,0.00656084854829608
72.1,0.0065640297507441,0.00656364111064489
72.2,0.00655682469549823,0.00655616938906578
72.3,0.00654340646567309,0.00654246605476327
72.4,0.00652679893383024,0.00652556800950488
72.5,0.00650924522127894,0.0065077259837355
72.6,0.00649237948049164,0.00649057831371369
72.7,0.00647736273671728,0.00647528786199969
72.8,0.00646499037596426,0.00646265013557534
72.9,0.00645577893854377,0.00645318047846
73,0.00645003809527134,0.00644718632014751
73.1,0.00644793197043314,0.00644482869427798
73.2,0.00644953270184367,0.00644617594137864
73.3,0.00645486826876573,0.0064512516360935
73.4,0.00646396607377897,0.00646007822709338
73.5,0.00647689345381997,0.00647271756232437
73.6,0.00649379615206502,0.00648930932537251
73.7,0.00651493577347562,0.00651010839685506
73.8,0.00654072735487332,0.00653552225921694
73.9,0.00657177840386036,0.00656614978236347
74,0.00660893111849048,0.00660282307884297
74.1,0.00665331002551406,0.0066466546344599
74.2,0.0067063780305352,0.00669909266290092
74.3,0.0067700049510645,0.00676198869214628
74.4,0.00684655415293489,0.00683768291246312
74.5,0.00693899515456209,0.0069291150193016
74.6,0.0070510533542425,0.00703997151390523
74.7,0.00718741292404546,0.0071748852201412
74.8,0.00735399626576849,0.00733970998544309
74.9,0.00755835463914523,0.00754190452761982
75,0.0078102218946754,0.00779107636612808
75.1,0.00812231033491173,0.00809976332561946
75.2,0.00851147053832813,0.0084845720598048
75.3,0.00900040507584532,0.00896785982720782
75.4,0.00962023430453196,0.00958025206329283
75.5,0.0104143818720813,0.0103644551815308
75.6,0.0114445002504973,0.011381074469904
75.7,0.0127994843703028,0.0127174772234566
75.8,0.014608858189145,0.0145010019877304
75.9,0.017061180575154,0.016917278021896
76,0.020423681117107,0.0202303362627491
76.1,0.0250416866044983,0.0247845965544921
76.2,0.0312415453429037,0.0309163152657183
76.3,0.0389446225401088,0.0385868291543591
76.4,0.0467995438744387,0.0465277737522335
76.5,0.0516142745953616,0.0515969418964904
76.6,0.0504992223808114,0.0507704172615246
76.7,0.0443642174316949,0.0447654374863703
76.8,0.036652203778166,0.0370259543388841
76.9,0.0297740296618485,0.0300634692452039
77,0.0244235040688947,0.0246324551704872
77.1,0.0204640132790119,0.0206122802732234
77.2,0.0175649971302728,0.0176709303580285
77.3,0.0154280298555497,0.0155050398972122
77.4,0.0138302454844028,0.0138874288531926
77.5,0.0126147689860607,0.0126581606033385
77.6,0.0116727452493944,0.011706341176833
77.7,0.0109283181151058,0.0109547790593489
77.8,0.010327980468938,0.0103490905019353
77.9,0.00983342016387112,0.00985038201379851
78,0.00941679131380546,0.00943041739442552
78.1,0.00905759023280572,0.00906842797005036
78.2,0.0087405787578444,0.00874899443789301
78.3,0.00845439215284982,0.00846062837814698
78.4,0.008190598250433,0.00819481443607128
78.5,0.00794305753574653,0.0079453594028146
78.6,0.00770748656983833,0.00770794844646738
78.7,0.00748116061213977,0.00747984301490501
78.8,0.00726271269814105,0.00725967682150119
78.9,0.00705200024211328,0.00704732044211864
79,0.00685001925051321,0.00684379425647186
79.1,0.00665885218058382,0.00665121553479908
79.2,0.00648163944404767,0.00647276951177556
79.3,0.00632256722286706,0.00631269700525361
79.4,0.00618686607298824,0.00617629297763089
79.5,0.00608081602328381,0.00606991168915916
79.6,0.00601175472075,0.00600097494929097
79.7,0.005988085751371,0.00597798055869492
79.8,0.00601928466460966,0.00601050843802886
79.9,0.00611590050691391,0.00610922221990717
80,0.00628955086896454,0.00628586428128697
