"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.0087894986799183,0.00852253030282835
70.05,0.00915161605502135,0.00887367452743781
70.1,0.00954183260149843,0.00925071403801003
70.15,0.00996260949839811,0.00965605027431593
70.2,0.0104166866138427,0.0100923526478234
70.25,0.0109071107242733,0.0105625872100774
70.3,0.0114372649309812,0.0110700471623696
70.35,0.0120108983893298,0.0116183846175828
70.4,0.0126321549246232,0.0122116425969856
70.45,0.0133055983320293,0.0128542856208426
70.5,0.0140362310555087,0.0135512263515564
70.55,0.0148295013986884,0.0143078444704621
70.6,0.0156912922876553,0.0151299921739463
70.65,0.0166278817040969,0.016023978189934
70.7,0.0176458610303046,0.0169965188283283
70.75,0.0187519924990979,0.0180546400575822
70.8,0.0199529805854417,0.0192055087189298
70.85,0.0212551245787334,0.0204561636313199
70.9,0.0226638112117455,0.0218131086356469
70.95,0.0241827983832565,0.0232817202776445
71,0.0258132363589207,0.0248654145718107
71.05,0.027552376205341,0.0265645136469328
71.1,0.0293919344463384,0.0283747602979535
71.15,0.0313161293111689,0.0302854564764219
71.2,0.0332994911507866,0.0322772643355426
71.25,0.0353046893496868,0.0343198212682104
71.3,0.0372808101175395,0.0363694943182065
71.35,0.0391627350055446,0.0383678265777975
71.4,0.0408724320238444,0.0402414608961952
71.45,0.0423229481498584,0.0419044562252203
71.5,0.0434255292582838,0.043263773683753
71.55,0.0440995072990978,0.0442281398558377
71.6,0.0442835072250326,0.0447194656248351
71.65,0.0439455444358018,0.0446847670770477
71.7,0.0430892794421444,0.044105665444822
71.75,0.0417544590616595,0.0430026588550375
71.8,0.0400112465830359,0.0414326866585613
71.85,0.0379500012073583,0.0394805736311398
71.9,0.035669244298659,0.0372467757730147
71.95,0.0332646008310619,0.0348346140182068
72,0.0308206229625517,0.0323397001736746
72.05,0.0284061757573391,0.029843012140311
72.1,0.0260730467088379,0.0274077654672804
72.15,0.0238568924714534,0.0250793413918211
72.2,0.0217795311357522,0.0228871886361924
