"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.00496492521627867,0.00269164130257327
70.05,0.00494839496716359,0.00274685685727527
70.1,0.00493987047608646,0.00280741868202561
70.15,0.00494088618337374,0.00287445301246747
70.2,0.00495368885485226,0.00294956229814103
70.25,0.00498159832656642,0.00303507065206421
70.3,0.00502961266742286,0.00313443676581671
70.35,0.00510546438959558,0.00325297723902995
70.4,0.00522155372164945,0.00339919609260309
70.45,0.00539869652818126,0.00358737377126261
70.5,0.00567391952767149,0.00384297712617798
70.55,0.00611816196406667,0.00421500383906803
70.6,0.00688127478351153,0.00480751909187327
70.65,0.00832499854481672,0.00587333359409081
70.7,0.0115085209014207,0.00815796447447137
70.75,0.020625753757485,0.0146372232797849
70.8,0.0627014142393869,0.0446899097480294
70.85,0.163279119033309,0.118597402884212
70.9,0.0396287990612033,0.0299020495270992
70.95,0.0163619945061614,0.0129675447323481
71,0.0101666308416709,0.00847079829032649
71.05,0.00772121850717344,0.00673831194000241
71.1,0.00651727343662256,0.0059322191703961
71.15,0.00583683336917629,0.00552276742629576
71.2,0.0054145207694215,0.00531299703825028
71.25,0.00513423839255045,0.00521636245264112
71.3,0.00493876353213263,0.0051901084262419
71.35,0.00479727244317418,0.00521122179317746
71.4,0.00469198172233298,0.00526649207547847
71.45,0.00461205666443676,0.00534795606513483
71.5,0.00455059847567363,0.00545063129657386
71.55,0.00450305310289811,0.00557130913598081
71.6,0.00446632408495362,0.00570787309756293
71.65,0.00443825495248795,0.00585889214363966
71.7,0.00441731539937351,0.00602336416993987
71.75,0.00440240467298414,0.00620054392492975
71.8,0.00439272493035492,0.00638981896922319
71.85,0.00438769774739589,0.00659061260857419
71.9,0.00438690804567488,0.00680230112963198
71.95,0.00439006592942037,0.00702413754284359
72,0.00439698054194992,0.00725517712067103
72.05,0.00440754221551654,0.00749420225096753
72.1,0.00442171052262719,0.00773964604926636
72.15,0.00443950667982729,0.00798951611809895
72.2,0.00446100930785343,0.00824132200430017
72.25,0.00448635292544697,0.00849201235027286
72.3,0.00451572882057971,0.00873793037758275
72.35,0.00454938814527417,0.00897479889469455
72.4,0.0045876472488855,0.0091977479496812
72.45,0.0046308954211457,0.00940139876275037
72.5,0.00467960537686329,0.00958001570201139
72.55,0.00473434699932673,0.00972773288451756
72.6,0.00479580508374733,0.00983885298263842
72.65,0.00486480211466256,0.00990820339364307
72.7,0.00494232749938583,0.00993152079517001
72.75,0.00502957521376057,0.00990582235986559
72.8,0.00512799256051832,0.00982971447513759
72.85,0.00523934379584368,0.00970359128637654
72.9,0.00536579389651104,0.00952968743051619
72.95,0.00551001994948253,0.00931197055000532
73,0.00567536090832266,0.0090558850245217
73.05,0.00586602134202552,0.00876798244800414
73.1,0.0060873522047461,0.00845549075792462
73.15,0.00634624303461351,0.00812587920647356
73.2,0.00665167770888231,0.00778647075765559
73.25,0.00701553380584141,0.00744414036064733
73.3,0.00745375004907711,0.00710512193013935
73.35,0.00798805734802865,0.00677493392308715
73.4,0.00864858212090702,0.00645842766692784
73.45,0.00947780701761347,0.0061599686666326
73.5,0.0105366324964814,0.00588378673653733
73.55,0.0119135976141261,0.00563459507348407
73.6,0.013738460311112,0.00541873524766001
73.65,0.0162003250068249,0.00524652041621343
73.7,0.0195649379750338,0.00513769483974647
73.75,0.0241658152354075,0.0051363198346932
73.8,0.0302900911057543,0.00536067787618932
73.85,0.0378006373041867,0.00623143581651564
73.9,0.0454726505283611,0.0103202156347009
73.95,0.0509273193215607,0.1265389519953
74,0.052498130128068,0.0183472766311399
74.05,0.0511096282132912,0.00582073410384243
74.1,0.0491620423201979,0.00415360702541012
74.15,0.0487340114787567,0.00359952944050801
74.2,0.0517590818806504,0.003329754355755
74.25,0.0635628174367886,0.00317035563945567
74.3,0.143915667716224,0.00306951807732059
74.35,0.136228127735633,0.00301141856693976
74.4,0.0634470395150436,0.00299811266346495
74.45,0.0760950688583438,0.0030533211480237
74.5,0.0972505004550503,0.00325872954399786
74.55,0.120086409718364,0.00390879859744075
74.6,0.132552122939245,0.00467258390885927
74.65,0.124458284234191,0.00281249558117869
74.7,0.102060146121458,0.00233857645817237
74.75,0.0784723973389084,0.00225204778702615
74.8,0.0598932516316427,0.00223717382527588
74.85,0.0467296044551753,0.00224961343040408
74.9,0.0377434614913931,0.00229250032345019
74.95,0.031782739959608,0.00240367650883944
75,0.0281883901996679,0.00274809375147222
75.05,0.0270415934529676,0.00460654854600628
75.1,0.0306131182564349,0.0300645105722729
75.15,0.061076062485411,0.0047313846894671
75.2,0.322926207948813,0.00291455869648161
75.25,0.0167333773276425,0.00252845852313532
75.3,0.00961688897983848,0.00238846117105151
