"Freq [GHz]","AbsorbanceTM []"
80,0.00643410769080821
80.1,0.00728319959077905
80.2,0.00857479243992154
80.3,0.0107272433644954
80.4,0.0148352111956951
80.5,0.0246153615570498
80.6,0.0598080529632454
80.7,0.287117623578338
80.8,0.0898767013988417
80.9,0.0199081240004625
81,0.00884088451151344
81.1,0.00566840951604786
81.2,0.00510216995135893
81.3,0.00442745556076785
81.4,0.00516611371042186
81.5,0.00894427031577127
81.6,0.0806347435486999
81.7,0.0241301022408265
81.8,0.00591256010157315
81.9,0.0041338241076333
82,0.00397669423934521
82.1,0.00318788307983064
82.2,0.00310883920357552
82.3,0.00308837084108204
82.4,0.0030961135956119
82.5,0.00311943369445766
82.6,0.00315211128266046
82.7,0.00319081115112452
82.8,0.00323364526048431
82.9,0.00327951032883211
83,0.00332775586943368
83.1,0.00337800701747637
83.2,0.00343006534361179
83.3,0.00348385142483021
83.4,0.00353937103078561
83.5,0.00359669542387253
83.6,0.00365595065883983
83.7,0.00371731315044432
83.8,0.00378101019562149
83.9,0.00384732512015107
84,0.00391660759890844
84.1,0.00398929075972176
84.2,0.00406591832618131
84.3,0.00414718804375458
84.4,0.00423402369949266
84.5,0.0043277015545482
84.6,0.00443009036521558
84.7,0.00454415735447977
84.8,0.00467519830975438
84.9,0.0048345039059664
85,0.00505441672057105
85.1,0.00550448902838163
85.2,0.762604676327432
85.3,0.00489640383461365
85.4,0.00532110135164299
85.5,0.00572335637667709
85.6,0.0062690583335181
85.7,0.00727328881336742
85.8,0.0105425896608375
85.9,0.310194575553292
86,0.00368770844325705
86.1,0.00427981105075803
86.2,0.0048333273250688
86.3,0.00526928597275456
86.4,0.00565578680969969
86.5,0.00603022596368874
86.6,0.00641594295121384
86.7,0.00683129608481159
86.8,0.00729438395445414
86.9,0.00782648258772334
87,0.00845585898775236
87.1,0.00922353564553757
87.2,0.0101936828682898
87.3,0.0114747248007799
87.4,0.0132674275168622
87.5,0.0159908863903996
87.6,0.0206818392923849
87.7,0.0306763939465636
87.8,0.0629261758284024
87.9,0.23394015840672
88,0.0319182910318419
88.1,0.00835800344138249
88.2,0.00764378558662948
88.3,0.0110823325048798
88.4,0.01731051915556
88.5,0.029568291733986
88.6,0.0604131375431437
88.7,0.158242779171683
88.8,0.190307018007667
88.9,0.0499507898919285
89,0.0168793478088914
89.1,0.00813106214670289
89.2,0.00535975297974089
89.3,0.00476674310696001
89.4,0.00535979073522186
89.5,0.00711567291738724
89.6,0.0106306051135294
89.7,0.0178277620583167
89.8,0.0347454870175872
89.9,0.0829213940979852
90,0.19952704839893
