"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
50,0.0101193278361988,0.0426297764465194
50.1,0.0107180467472995,0.0408690910303883
50.2,0.0113994083351154,0.0390793389515456
50.3,0.0121805575272674,0.0372856035245791
50.4,0.0130833371886926,0.0355094450688166
50.5,0.0141359024816216,0.0337687820862943
50.6,0.015375006594369,0.0320779863410173
50.7,0.0168492855422478,0.0304481303721789
50.8,0.0186240514930552,0.0288873307188983
50.9,0.0207883949062384,0.0274011393801999
51,0.0234658591940851,0.0259929469854291
51.1,0.0268306720786189,0.0246643718557382
51.2,0.0311325582584007,0.0234156184153756
51.3,0.036734345460547,0.0222457956833483
51.4,0.0441666480100855,0.0211531915134484
51.5,0.0541974288535242,0.0201355002979718
51.6,0.0678813730811674,0.0191899994046427
51.7,0.0864327603340884,0.0183136592612319
51.8,0.110420940791623,0.0175031540924081
51.9,0.137291918163299,0.0167547638984662
52,0.157662477608563,0.0160644267412786
52.1,0.158301780273116,0.0154286217000016
52.2,0.137374720391385,0.0148454795277453
52.3,0.107702339284317,0.0143138482996565
52.4,0.0808670151517157,0.0138318011285905
52.5,0.0605054555500982,0.0133968235673786
52.6,0.0459932049340466,0.01300645799022
52.7,0.0357777252486169,0.0126585515528504
52.8,0.0285242011071615,0.012351274132991
52.9,0.0232877482730611,0.0120830959335416
53,0.0194368970563863,0.0118528073884926
53.1,0.0165571398372347,0.0116598321188305
53.2,0.0144428115537714,0.0115122144657158
53.3,0.0127412911389865,0.0113900988247397
53.4,0.0113246039164205,0.0112959442167166
53.5,0.0102564733034346,0.0112370603316984
53.6,0.00940659002134969,0.0112178636232374
53.7,0.00872102350709136,0.0112339131964531
53.8,0.0081638075480206,0.011285461260073
53.9,0.00770838617744363,0.0113731774887559
54,0.00733469131899112,0.0114980062703225
54.1,0.00702733119515553,0.0116611495082407
54.2,0.00677435716153718,0.0118640676506887
54.3,0.00656639500885492,0.012108484547204
54.4,0.00639602058715061,0.0123963923297379
54.5,0.00625730415018566,0.0127300542996842
54.6,0.00614547350171801,0.0131120039197548
54.7,0.00605666208792033,0.0135450376268774
54.8,0.00598771863769509,0.014032198538705
54.9,0.00593606193297702,0.0145767472718507
55,0.00589956903669508,0.0151821150290783
55.1,0.00587648857856393,0.0158518328491927
55.2,0.00586537298704926,0.0165894294856838
55.3,0.00586502517379472,0.017398288869021
55.4,0.00587445633009243,0.0182814566962525
55.5,0.00589285232838987,0.01924138468978
55.6,0.00591954682486373,0.0202796009898145
55.7,0.0059539996010548,0.0213962967568181
55.8,0.00599577900817028,0.0225898234210483
55.9,0.00604454761969853,0.0238561034556141
56,0.00610005038467976,0.0251879715076146
56.1,0.00616210472379441,0.02657448335493
56.2,0.00623059214249722,0.02800025762308
56.3,0.00630545106641045,0.0294449475864577
56.4,0.00638667074422328,0.030882972424854
56.5,0.00647428621972834,0.0322836594625235
56.6,0.0065683745405094,0.0336119476293359
56.7,0.00666905252519412,0.0348297628953249
56.8,0.00677647651794011,0.0358980887174883
56.9,0.00689084457532163,0.0367796215982916
57,0.00701240142302784,0.0374417466407118
57.1,0.00714144629088642,0.0378594334685026
57.2,0.00727834343531353,0.0380175905031942
57.3,0.00742353488773684,0.037912463599415
57.4,0.00757755483693889,0.0375518264342908
57.5,0.00774104514065677,0.0369539442073765
57.6,0.00791477177438082,0.0361455285049814
57.7,0.00809964249936146,0.0351590690684604
57.8,0.00829672656299096,0.0340299868444722
57.9,0.0085072777465014,0.0327940037570849
58,0.00873276251260324,0.0314850037705675
58.1,0.00897489541210472,0.0301335154447677
58.2,0.00923568436753808,0.028765819132138
58.3,0.0095174890849069,0.0274035947090903
58.4,0.00982309679986715,0.0260639823255668
58.5,0.0101558210183738,0.0247599209933708
58.6,0.01051963112233,0.0235006450519273
58.7,0.0109193240508336,0.0222922444836781
58.8,0.0113607543549777,0.021138222809221
58.9,0.0118511467779684,0.0200400107008525
59,0.0123995278733972,0.0189974123007283
59.1,0.013017333104924,0.0180089741914292
59.2,0.0137192788596783,0.0170722746436094
59.3,0.0145246450757495,0.0161841339586182
59.4,0.0154592133294628,0.0153407459313959
59.5,0.0165582862287647,0.0145377253934158
59.6,0.0178715569543131,0.0137700556092524
59.7,0.0194712718493639,0.0130318968511047
59.8,0.0214664894490763,0.0123161706281647
59.9,0.0240289504170542,0.0116137277079753
60,0.027440500533588,0.0109116373565051
