"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.00292534764195496,0.00320103056318255
70.1,0.00297658011102098,0.0033106351853468
70.2,0.00304175700946863,0.00345931558099544
70.3,0.00312261546419568,0.00366124777185006
70.4,0.00322155836198978,0.00393950970946633
70.5,0.00334197137815395,0.00433359201183681
70.6,0.00348883431018099,0.00491562686620317
70.7,0.00367003741293415,0.00582912556851523
70.8,0.00389966517329288,0.00739440903381627
70.9,0.00420797882922586,0.0104527614879295
71,0.00468172935887901,0.0178416629170919
71.1,0.00572512958520344,0.0445005005720355
71.2,0.0128032932878256,0.315816221172934
71.3,0.00969548925321595,0.230201668259277
71.4,0.00623341570646296,0.0405150801180301
71.5,0.00647911170446025,0.0181707534098334
71.6,0.00719077914043498,0.0118097312732866
71.7,0.00819202055117685,0.00935596389515525
71.8,0.00952912564436703,0.00836146774150337
71.9,0.0113305273669817,0.00809835077151511
72,0.0138203704939068,0.00832279100516931
72.1,0.0173858951876615,0.00898922553449566
72.2,0.0227266917033492,0.0101915508178932
72.3,0.0311868630801762,0.0122142925191076
72.4,0.0455291560144616,0.0157451393528698
72.5,0.071729834757539,0.0225128561872288
72.6,0.121929426547845,0.0370287171545912
72.7,0.206057934747942,0.0682937104354663
72.8,0.264586003879106,0.112719187721298
72.9,0.226312972146066,0.142788238162502
73,0.17742792189058,0.174393018046835
73.1,0.153110277919579,0.220032381302287
73.2,0.116834258652079,0.211598386197319
73.3,0.0649984448964926,0.126241402949341
73.4,0.0342696585614846,0.0637386846512817
73.5,0.0201228266034768,0.0338492591448178
73.6,0.0131444369427123,0.0195727295474734
73.7,0.00927112194399493,0.0121674752419079
73.8,0.00689608971764188,0.00799509738489212
73.9,0.00532619160792336,0.00547641063482307
74,0.00422995929102021,0.00386936241964342
74.1,0.00343528099257306,0.00279776994827752
74.2,0.00285046940699452,0.00205891701570859
74.3,0.00243990947180506,0.00154208811828294
74.4,0.00228249352907706,0.00121827141760911
74.5,0.00435923930256898,0.00205676512120501
74.6,0.00235608997724901,0.00213963499051173
74.7,0.00100877299877633,0.000740675772949229
74.8,0.000792071389476123,0.000504743930773266
74.9,0.00070738213217425,0.000424113952223748
75,0.00109855269078174,0.000620486894702621
75.1,0.012381584136081,0.00422407977283334
75.2,0.0503055406155761,0.0497211670214661
75.3,0.00237112282977237,0.00262893199565872
75.4,0.00125798878908157,0.0014426947846734
75.5,0.00119936994863612,0.00183430622283498
75.6,0.00606577456519375,0.155135692249168
75.7,0.00257415353784907,0.0027457359992934
75.8,0.00500822985380012,0.00158571661767937
75.9,0.0114294621314832,0.00172866759241008
76,0.0330555621496126,0.00280468094784836
76.1,0.161333666132363,0.00969596206754419
76.2,0.83097075154184,0.0533401133801895
76.3,0.149014380771572,0.0143440142683586
76.4,0.0572410312771079,0.00923055536446882
76.5,0.0332841727656004,0.00893217824665971
76.6,0.0238515998691184,0.0102601055681257
76.7,0.0195861535148575,0.0129460658850301
76.8,0.0179605866641608,0.017467668696149
76.9,0.0183359164381202,0.0250423399908477
77,0.0210729505726484,0.038340772710564
77.1,0.0278363484347361,0.0635775872397009
77.2,0.0433034251386977,0.116538425967775
77.3,0.0793542090743019,0.236632247925403
77.4,0.143295645856409,0.448811735256813
77.5,0.145988007410949,0.46063377903583
77.6,0.0881398988974875,0.272045000001205
77.7,0.0526726571639723,0.156058141619356
77.8,0.035282261710465,0.0992544227858209
77.9,0.0260924598165422,0.0693188396489186
78,0.0207483144161378,0.051959896872311
78.1,0.0173894507829794,0.041066657168362
78.2,0.0151514149360615,0.0337993542157117
78.3,0.0135954244844776,0.0287171562606438
78.4,0.0124812193266914,0.0250315158347957
78.5,0.0116687883626706,0.0222829203619459
78.6,0.011072328238426,0.0201893874559486
78.7,0.0106371177778577,0.0185703415057704
78.8,0.0103271936725066,0.0173060198836665
78.9,0.0101184474376254,0.016314699764632
79,0.00999459776649647,0.0155393595308131
79.1,0.00994476505079434,0.0149395763702005
79.2,0.0099619809934357,0.0144864545679434
79.3,0.0100422700775021,0.0141593766730024
79.4,0.0101840999482672,0.0139438925054343
79.5,0.0103880865145582,0.0138303468169833
79.6,0.0106568919726724,0.0138130092526189
79.7,0.0109952877380666,0.0138895675678501
79.8,0.011410379410114,0.0140609070975707
79.9,0.0119120135917239,0.0143311431036461
80,0.0125134119017996,0.0147079086968241
