"Freq [GHz]","AbsorbanceTM []"
80,0.00390826831870728
80.1,0.00421736795626748
80.2,0.00492166450647946
80.3,0.00693260717017286
80.4,0.0165831040740241
80.5,0.324321016721492
80.6,0.0330422609072372
80.7,0.0106667619657487
80.8,0.00692647027156856
80.9,0.00567483446725425
81,0.00513385194464677
81.1,0.00488327672227018
81.2,0.00479720452733556
81.3,0.00484716457057188
81.4,0.00481645068433179
81.5,0.00492621028436524
81.6,0.00509705547067729
81.7,0.00560347542049833
81.8,0.0056370101828831
81.9,0.00602519640762544
82,0.00652535803083654
82.1,0.00716188701605214
82.2,0.00796725593645708
82.3,0.00897592852273299
82.4,0.010212931058907
82.5,0.0116687534073192
82.6,0.0132560925380499
82.7,0.0147623395200087
82.8,0.015853455744422
82.9,0.0162004751509663
83,0.0156839523671455
83.1,0.0144726071034552
83.2,0.0128820083201394
83.3,0.0111797658136832
83.4,0.00952251896896361
83.5,0.00844147490065161
83.6,0.109326209495412
83.7,0.0142819087255281
83.8,0.00983166523866641
83.9,0.00828260216345389
84,0.007371581235877
84.1,0.0067371742351312
84.2,0.00633053853147159
84.3,0.00689693908229927
84.4,0.0408395737805618
84.5,0.00993543653510609
84.6,0.00706341194487536
84.7,0.00631370715523005
84.8,0.00600262416320507
84.9,0.00620285134488729
85,0.129074365122119
85.1,0.00568684269651509
85.2,0.00520327892721584
85.3,0.00505060688588799
85.4,0.00496012831741033
85.5,0.004898949505317
85.6,0.00485982605090585
85.7,0.00484260356389865
85.8,0.00485190314106188
85.9,0.00489928185251742
86,0.00501285699748699
86.1,0.00545108883289369
86.2,0.00562128862789057
86.3,0.00672778463211843
86.4,0.0103929919080442
86.5,0.0371090613061129
86.6,0.13349139415555
86.7,0.0160947211024171
86.8,0.00834055327469851
86.9,0.00641294406598292
87,0.00566881963252497
87.1,0.0053599057406265
87.2,0.00554382816656951
87.3,0.0179207376249462
87.4,0.00543174681281366
87.5,0.00574197939224985
87.6,0.00760612961248175
87.7,0.0224894277811288
87.8,0.152857935129304
87.9,0.0190838070532532
88,0.00833006793807123
88.1,0.00666102253040735
88.2,0.00599563889385368
88.3,0.00567768165315985
88.4,0.00555215829796341
88.5,0.00590389373456535
88.6,0.00726664593832949
88.7,0.00521612623760026
88.8,0.0051334057797976
88.9,0.00511669065511344
89,0.00512195061329357
89.1,0.00514336385814451
89.2,0.00518138831303394
89.3,0.00524011258940404
89.4,0.00532896959610718
89.5,0.00546924985904218
89.6,0.00571637234819466
89.7,0.00626285285588568
89.8,0.00835583234005344
89.9,0.0931806620301332
90,0.00512910191402649
