"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.0111944749313126,0.0109061752183229
70.1,0.0116130867289334,0.0114762218944855
70.2,0.0122291947793047,0.0121955400616488
70.3,0.0130183428837242,0.0130668030350736
70.4,0.013988755833932,0.0141080141533582
70.5,0.0151647963847215,0.0153468661342658
70.6,0.0165834386696586,0.0168200053846208
70.7,0.0182946190951203,0.0185736801723989
70.8,0.0203630786218445,0.0206646117621252
70.9,0.022870492992163,0.0231600873411247
71,0.0259161162256412,0.0261355389402026
71.1,0.0296118831682176,0.0296661147677834
71.2,0.0340627667090085,0.033805418940612
71.3,0.0393141680691861,0.0385395996689729
71.4,0.0452400734344242,0.0437021056147416
71.5,0.0513646387769628,0.0488503061713531
71.6,0.0567093680192132,0.0531726729445395
71.7,0.059922300396657,0.0556033031026043
71.8,0.0598847845310387,0.0552787243873827
71.9,0.0564367064462804,0.0520856906911336
72,0.0504861122396161,0.0467600540754143
72.1,0.0434024362040678,0.0404300055370286
72.2,0.0363433131379687,0.0340772087725477
72.3,0.0299824679223023,0.028296621558358
72.4,0.0245742602100512,0.0233311267928287
72.5,0.0201217350586156,0.019202866602637
72.6,0.0165148272095513,0.015828583150131
72.7,0.0136112820191024,0.0130905151254629
72.8,0.01127466104119,0.0108715124745391
72.9,0.00938819559119242,0.00906899022593444
73,0.0078572093700271,0.0075983578415304
73.1,0.0066069820559217,0.00639195617666577
73.2,0.00557929582493177,0.00539648361931333
73.3,0.00472901607740406,0.00457022828496756
73.4,0.00402117182178374,0.00388060802921975
73.5,0.00342862369901897,0.00330215389585553
73.6,0.00293026777095173,0.00281492469826472
73.7,0.0025096886168593,0.00240329238345027
73.8,0.00215418885258212,0.00205503370028226
73.9,0.00185417381955433,0.00176068117901762
74,0.00160302092375564,0.00151312856319274
74.1,0.00139820654367706,0.00130761713035288
74.2,0.00124893458342634,0.00114293903202878
74.3,0.00127075808150168,0.00103348887884303
74.4,0.003590558668505,0.000751083521589813
74.5,0.000848721361435101,0.000785789874715781
74.6,0.000786747461289372,0.00078214410790689
74.7,0.000805550022174972,0.000839941633683505
74.8,0.000923274260279272,0.00101768767466537
74.9,0.00124172290209579,0.00146218168318102
75,0.00211114416258251,0.00268636971581004
75.1,0.00538968700113518,0.00755639213624337
75.2,0.0446675555169591,0.0689830184151465
75.3,0.535798861293235,0.458718801846134
75.4,0.0292332095137433,0.0178948549258486
75.5,0.00753170058384589,0.00510942432301797
75.6,0.113939080374237,0.0522171565604955
75.7,0.11504686610746,0.00274999069125104
75.8,0.00273231793843332,0.00226109821937381
75.9,0.00246163822671863,0.00221050713781157
76,0.00250581700870545,0.00232545206984125
76.1,0.00270968315025588,0.00255638566204786
76.2,0.00304192702678208,0.00289094028215287
76.3,0.00350148774657222,0.00333193839634194
76.4,0.00410255070376964,0.00389170069317635
76.5,0.00487145994847138,0.00459086883071369
76.6,0.00584759654581291,0.00545931156651369
76.7,0.00708665455059765,0.00653865108109175
76.8,0.00866618723502566,0.00788666834549334
76.9,0.0106936800717062,0.00958427528652006
77,0.0133170445671019,0.0117459099894877
77.1,0.0167354950556297,0.0145334602548367
77.2,0.0212031748869592,0.0181701515781607
77.3,0.0270055088491491,0.0229401375805025
77.4,0.0343695359461424,0.0291379703310136
77.5,0.0432647164826381,0.0369110768934836
77.6,0.0531190550607622,0.0459743454126464
77.7,0.0626578945143059,0.0553467167569021
77.8,0.0701897866455498,0.0634571027921685
77.9,0.0743495850104514,0.0687836852550993
78,0.0747449549380962,0.0705935954004184
78.1,0.0719758733004414,0.0691605735912421
78.2,0.0671446886315408,0.0654006210377929
78.3,0.0613374089730621,0.0603551267828258
78.4,0.0553553149837893,0.0548639109494801
78.5,0.0496784689750461,0.0494734891816154
78.6,0.0445384618799893,0.0444790049670686
78.7,0.0400092585513464,0.0400040774895849
78.8,0.0360785377780608,0.0360713689911294
78.9,0.0326936963635577,0.0326514533571018
79,0.0297880904601618,0.0296924232084957
79.1,0.0272945427454617,0.0271361734065407
79.2,0.0251514808315473,0.0249265416603333
79.3,0.0233051319214744,0.0230128533490849
79.4,0.0217097616484022,0.021351037422756
79.5,0.0203270401248549,0.019903549646946
79.6,0.0191250943115827,0.0186387738912591
79.7,0.0180775181152655,0.017530248336157
79.8,0.017162459977506,0.0165558854654813
79.9,0.0163618310038536,0.0156972601782257
80,0.0156606399202514,0.014938992007468
