"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
50,0.00137881003087648,0.00210362211675019
50.1,0.00141023225689585,0.00215821893886647
50.2,0.00144299652122026,0.00221526171596087
50.3,0.00147719162831272,0.00227491500783805
50.4,0.00151291431620804,0.00233735827947112
50.5,0.00155027015506337,0.00240278760966872
50.6,0.00158937456989927,0.00247141763799452
50.7,0.00163035400734601,0.00254348378865477
50.8,0.00167334727136703,0.00261924481896725
50.9,0.00171850705557397,0.00269898574686678
51,0.001766001707877,0.00278302122576612
51.1,0.00181601726804648,0.00287169944624233
51.2,0.00186875982913615,0.00296540666277667
51.3,0.00192445828296384,0.0030645724632703
51.4,0.00198336752470996,0.00316967592638673
51.5,0.00204577220669333,0.00328125284282754
51.6,0.00211199115381466,0.00339990421899261
51.7,0.00218238257868564,0.00352630633227369
51.8,0.00225735026869167,0.00366122267371749
51.9,0.00233735096002596,0.00380551819778419
52,0.00242290316918492,0.00396017640752411
52.1,0.00251459782468944,0.00412631994477952
52.2,0.00261311113558205,0.00430523553878492
52.3,0.00271922025619564,0.00449840440829863
52.4,0.00283382247142738,0.00470753953437497
52.5,0.00295795884466021,0.00493463164926977
52.6,0.00309284356589279,0.00518200636645294
52.7,0.00323990064046986,0.00545239566677869
52.8,0.00340081010848925,0.00574902803679167
52.9,0.0035775667565956,0.00607574306757641
53,0.00377255535724241,0.0064371384338775
53.1,0.0039886480092528,0.00683876019148921
53.2,0.0042293313585311,0.00728735166366834
53.3,0.00449887470705035,0.00779118252581701
53.4,0.00480255479654823,0.00836048907917852
53.5,0.00514696025701955,0.00900807083790234
53.6,0.00554040973122527,0.00975011017439054
53.7,0.0059935348927469,0.0106073154962205
53.8,0.00652010694389715,0.0116065420443109
53.9,0.00713822967883426,0.012783131499992
54,0.00787209623579932,0.0141843563470648
54.1,0.00875463294802103,0.0158746015335585
54.2,0.00983157497100062,0.0179433473582462
54.3,0.0111679171701932,0.0205177935182916
54.4,0.0128584241118769,0.0237834013832086
54.5,0.0150452982509756,0.0280183702185216
54.6,0.0179488819796551,0.0336534136525342
54.7,0.0219227993945065,0.0413787949526041
54.8,0.0275557767759655,0.0523411174502135
54.9,0.0358611580465693,0.0685071320519781
55,0.0486094266778911,0.0932937650308927
55.1,0.0687324828006859,0.132298715666257
55.2,0.0996225316912162,0.191772623328454
55.3,0.137592861637703,0.263690275714335
55.4,0.155286237964045,0.294130690586441
55.5,0.130779738752462,0.2419555214225
55.6,0.0933037730848196,0.165378144083543
55.7,0.0668832353267347,0.109978299607613
55.8,0.0533046330072695,0.0770431846431494
55.9,0.0511154395140317,0.0593564034338659
56,0.0668515689924217,0.054047695790747
56.1,0.159920597745045,0.074164072513502
56.2,0.57740070306696,0.141732898743718
56.3,0.0774787576607483,0.0172965135661461
56.4,0.0217436013826274,0.00793183215141346
56.5,0.0100495586032446,0.00591244213907782
56.6,0.00595513258429992,0.00492438349000224
56.7,0.00408942092627163,0.00426966573153931
56.8,0.00309216086592712,0.0037958402065017
56.9,0.00251571192414757,0.00345012716469706
57,0.00216687466619914,0.00320253309568952
57.1,0.00195559549507274,0.00303379926711134
57.2,0.00183452960025288,0.0029301426647711
57.3,0.00177678641180268,0.00288138150662109
57.4,0.0017662065275994,0.00287994037235184
57.5,0.00179270097612083,0.00292022518428914
57.6,0.00184984612251371,0.00299819646208943
57.7,0.00193356710883019,0.00311106847659914
57.8,0.0020413836940999,0.00325709683513897
57.9,0.00217196497454175,0.00343543222891185
58,0.0023248639914748,0.00364602627939714
58.1,0.00250036383366137,0.00388958072893364
58.2,0.00269939816148623,0.00416753518034674
58.3,0.00292352637183535,0.00448209195693194
58.4,0.00317495403273127,0.00483627992612834
58.5,0.00345659636445306,0.00523406277412342
58.6,0.00377218848362626,0.00568050178977131
58.7,0.00412645230494346,0.00618198950725812
58.8,0.00452533779859254,0.00674657980848148
58.9,0.00497636753434716,0.00738445436592172
59,0.00548913096609061,0.00810858822571192
59.1,0.00607600374199513,0.00893571544260008
59.2,0.0067532168250094,0.00988776132111713
59.3,0.00754248873361896,0.010994025246911
59.4,0.00847359948354132,0.0122946171202993
59.5,0.00958860856249655,0.0138460788112477
59.6,0.0109490894007359,0.0157310071368195
59.7,0.0126492321148349,0.0180754442892384
59.8,0.014841191068633,0.0210824340563833
59.9,0.0177882617909221,0.0251022037414836
60,0.0219883942994591,0.0307945471968557
