"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
50,0.00192967966350532,0.00275212938279012
50.1,0.0019838233042998,0.00283388284601771
50.2,0.0020405693639669,0.00291961875573898
50.3,0.00210010042887165,0.0030096182900714
50.4,0.00216261609088042,0.00310418900938303
50.5,0.00222833494331875,0.00320366797306815
50.6,0.00229749686144731,0.00330842530272168
50.7,0.00237036561516168,0.00341886826697413
50.8,0.00244723187140905,0.0035354459783411
50.9,0.00252841665470316,0.00365865481007133
51,0.00261427534861569,0.00378904466345586
51.1,0.00270520233797489,0.00392722624299702
51.2,0.00280163641360487,0.00407387953141158
51.3,0.00290406708694735,0.00422976369729133
51.4,0.00301304199675412,0.0043957287225812
51.5,0.00312917563067061,0.0045727291019827
51.6,0.00325315963816253,0.00476184005082381
51.7,0.00338577507918414,0.00496427676519373
51.8,0.00352790703817252,0.00518141741347711
51.9,0.00368056214529788,0.00541483071545945
52,0.00384488969024366,0.00566630919239297
52.1,0.00402220720232771,0.00593790946940653
52.2,0.00421403161787592,0.00623200140268432
52.3,0.00442211748332832,0.00655132832218153
52.4,0.00464850408094464,0.00689908137374629
52.5,0.00489557395273033,0.00727899187659009
52.6,0.0051661261012006,0.00769544688150703
52.7,0.00546346824578403,0.00815363485581921
52.8,0.00579153404087152,0.00865973083570293
52.9,0.00615503330156675,0.00922113377020339
53,0.00655964631917028,0.00984677357949493
53.1,0.00701227770569879,0.0105475123348818
53.2,0.00752139154437659,0.0113366739776599
53.3,0.00809745896859515,0.0122307517479794
53.4,0.00875356327643673,0.0132503645607213
53.5,0.00950622894926223,0.0144215670911828
53.6,0.0103765738028484,0.0157776701121205
53.7,0.0113919352020199,0.0173618090206714
53.8,0.0125882041353599,0.019230628823208
53.9,0.0140132363767342,0.0214596665914615
54,0.0157319357445704,0.0241513665773976
54.1,0.0178339884150011,0.0274472643885806
54.2,0.0204458922145019,0.0315469155897332
54.3,0.023750093026885,0.0367379640149154
54.4,0.0280161018958988,0.0434449433291177
54.5,0.0336520355578265,0.0523099066318535
54.6,0.0412907106572904,0.064326632044841
54.7,0.0519308840243313,0.081059543023151
54.8,0.0671477468445789,0.104966245991096
54.9,0.0892937762920253,0.139691315441263
55,0.121123421059205,0.189423419544072
55.1,0.162601333857598,0.253787150814449
55.2,0.201317498138499,0.312807514335708
55.3,0.209139676393523,0.322267171014438
55.4,0.177676529224934,0.269910357554382
55.5,0.134098229290081,0.198970600783136
55.6,0.0995181902336567,0.142107945276742
55.7,0.0776523248471025,0.104184742705386
55.8,0.066866017059357,0.0810362267156657
55.9,0.0675818524322056,0.0693482633211727
56,0.0903383657090995,0.0708665792466873
56.1,0.211662943506842,0.110630475208653
56.2,0.552287317698791,0.178555359057578
56.3,0.0824480993665959,0.0221725460193078
56.4,0.0237783024553517,0.00876724000135898
56.5,0.0110352223545096,0.00621584651748064
56.6,0.00656572954932821,0.00523019296944605
56.7,0.00450828060912112,0.0044770382946504
56.8,0.00338421894332486,0.00399797629151855
56.9,0.00274013820047414,0.00364840447393744
57,0.00235098832255987,0.00339991965191744
57.1,0.00211999294748799,0.00323620131928515
57.2,0.00199657711399459,0.00314585824570146
57.3,0.00195210336383955,0.00312041923482897
57.4,0.0019694421325902,0.00315354745871743
57.5,0.0020380269111393,0.00324063036079913
57.6,0.00215132759956072,0.00337851827795987
57.7,0.00230548235542427,0.00356534414164267
57.8,0.00249852642449933,0.00380040132523474
57.9,0.00272995065278148,0.00408407057002447
58,0.00300045577972563,0.00441779228172523
58.1,0.00331183332918528,0.00480408366703677
58.2,0.00366693761393755,0.00524660308472902
58.3,0.0040697325675102,0.00575026734831119
58.4,0.00452540960830783,0.00632143203439439
58.5,0.00504058262135054,0.00696815073841539
58.6,0.00562357600491203,0.00770053761823131
58.7,0.00628483379406042,0.00853127000167442
58.8,0.00703749478599769,0.00947628685585566
58.9,0.007898204307623,0.0105557688965394
59,0.00888827443931273,0.0117955347803801
59.1,0.0100353731019825,0.0132290692652005
59.2,0.0113760409307995,0.0149005400656778
59.3,0.0129595475016648,0.0168694126715307
59.4,0.0148539960403328,0.0192177439303876
59.5,0.0171563642543989,0.0220621569533599
59.6,0.02000977597578,0.025574398644218
59.7,0.0236348231218441,0.0300185351672082
59.8,0.0283900496216812,0.0358225820248073
59.9,0.0348978507605432,0.0437270989113101
60,0.0443309827960002,0.0551218239193794
