"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.031212414517678,0.0106572004156278
70.05,0.0238848889114144,0.0108088857298996
70.1,0.0206724976434254,0.0109975356810234
70.15,0.0191425211734885,0.011220693610167
70.2,0.0184138273367136,0.0114771925143982
70.25,0.0181214853491362,0.0117669749996454
70.3,0.018099678825401,0.012090954415243
70.35,0.0182680913092452,0.0124509106698101
70.4,0.0185861752151437,0.0128494157043029
70.45,0.0190330261936091,0.0132897848045163
70.5,0.0195978777627526,0.0137760509360634
70.55,0.0202753428374294,0.0143129601319081
70.6,0.0210629051060788,0.0149059866921171
70.65,0.0219595239429135,0.0155613675845794
70.7,0.0229648037629497,0.0162861559530139
70.75,0.0240784464086862,0.0170882939593238
70.8,0.0252998322120017,0.0179767051045094
70.85,0.0266276369687367,0.0189614052162613
70.9,0.0280594216832166,0.0200536285179341
70.95,0.0295911455869891,0.021265958845187
71,0.0312165593096693,0.0226124431212823
71.05,0.0329264403716517,0.0241086399901697
71.1,0.0347076436165615,0.025771515076751
71.15,0.0365419625202591,0.0276190306947196
71.2,0.0384048428588004,0.0296691939392665
71.25,0.0402640669709496,0.0319382426519423
71.3,0.042078637803866,0.0344376124006718
71.35,0.0437982242685725,0.0371694154787808
71.4,0.0453636431183201,0.0401204453592465
71.45,0.0467088761073182,0.0432551989549504
71.5,0.0477649687113391,0.0465089788870904
71.55,0.0484657758601845,0.0497826423919029
71.6,0.048754957116136,0.052940914076483
71.65,0.0485930576827555,0.0558163528796665
71.7,0.0479632031382605,0.0582208782920947
71.75,0.0468740869380843,0.0599657082823175
71.8,0.0453595418332139,0.0608881308645435
71.85,0.0434748332220246,0.0608800359976557
71.9,0.0412905639126051,0.0599102697212625
71.95,0.0388854835098835,0.0580330003684085
72,0.0363394862349798,0.0553784619514984
72.05,0.0337277628361214,0.0521289089781344
72.1,0.0311166238833332,0.0484877332883447
72.15,0.0285610914759258,0.0446507548466643
72.2,0.0261040550989342,0.040785892117598
72.25,0.0237766277962711,0.0370231087070502
72.3,0.0215992989600302,0.0334531039786313
72.35,0.0195835194497022,0.0301316687640545
72.4,0.0177334335011942,0.0270866687819544
72.45,0.0160475598080539,0.0243254518529041
72.5,0.014520303027954,0.021841432939637
72.55,0.013143238610609,0.0196193566137013
72.6,0.011906156878865,0.0176391945503489
72.65,0.0107978790621985,0.0158788588570099
72.7,0.00980687224923804,0.0143159846456743
72.75,0.00892169583110336,0.0129290281764253
72.8,0.00813131217589247,0.0116978866536811
72.85,0.00742529142125536,0.0106041980319797
72.9,0.00679393604843759,0.00963143585143023
72.95,0.00622834633621672,0.00876487923306613
73,0.00572044347388723,0.00799151197570003
73.05,0.00526296331750742,0.00729988592792097
73.1,0.00484943060285847,0.00667997081103699
73.15,0.00447412087095611,0.00612300390998655
73.2,0.00413201535439223,0.00562134729059294
73.25,0.00381875253508279,0.0051683565128976
73.3,0.00353057892889819,0.004758262518058
73.35,0.00326430080804918,0.00438606700792277
73.4,0.0030172379723955,0.00404745089545611
73.45,0.00278718028320168,0.00373869508347491
73.5,0.00257234745054113,0.0034566128156005
73.55,0.0023713525185759,0.00319849310197795
73.6,0.0021831696676301,0.0029620553145242
73.65,0.00200710747660171,0.00274541618409696
73.7,0.0018427899724367,0.00254707264088005
73.75,0.00169015038778386,0.00236590850108054
73.8,0.00154944844210325,0.00220124315684878
73.85,0.00142133634377584,0.00205296510522956
73.9,0.00130703732005466,0.00192185964337654
73.95,0.00120881792723793,0.00181044374590777
74,0.00113135739601744,0.00172535961638476
74.05,0.00108653513156587,0.00168577004108006
74.1,0.00111673551662861,0.00176472176800768
74.15,0.00152039222389821,0.0024973725890064
74.2,0.328769372847497,0.629144899609086
74.25,0.0010072532142722,0.00179032530662937
74.3,0.000720007030559744,0.00115900297298965
74.35,0.000681125897925794,0.00102854910983508
74.4,0.000680171581313949,0.000966415802804321
74.45,0.000695442752429387,0.000926282564861269
74.5,0.000721468352176347,0.000897731994720319
74.55,0.000755489193304149,0.000877267220100508
74.6,0.000795515196527652,0.000863423845135602
74.65,0.000840502739732685,0.000855830694416859
74.7,0.000891734679942524,0.000855421707284476
74.75,0.000956060030183337,0.000865431335186795
74.8,0.00105302642810956,0.000893499871002734
74.85,0.00123091855079949,0.000955839179402784
74.9,0.00160463202080563,0.00108557934509312
74.95,0.00245171624490137,0.00135010664133828
75,0.00448086700566641,0.00188897359301277
75.05,0.00757896109385692,0.00277967274565127
75.1,0.0162014372865142,0.00576640035229214
75.15,0.136770585140726,0.130737371803394
75.2,0.165540206891985,0.0132261168490396
75.25,0.155885193450571,0.0115344488645576
75.3,0.0390916604751278,0.0246867931828841
75.35,0.0170006916091717,0.0895959179980981
75.4,0.0101168846619786,0.358553500594494
75.45,0.00717210827299164,0.0825341979013194
75.5,0.00564673901088941,0.0291593831029144
75.55,0.00497132043142057,0.0162820043217877
75.6,0.00740757310677653,0.0168615237624404
75.65,0.0294136699810836,0.0575336693626713
75.7,0.0090148768626761,0.00793089206707287
75.75,0.0111570328529003,0.00538080383749151
75.8,0.00423671325391006,0.00442001705653072
75.85,0.0032634106758479,0.00389836703134339
75.9,0.00291495608537928,0.00358537729262631
75.95,0.00277922092915317,0.00339774247070057
76,0.00275386402694378,0.00329613302834197
76.05,0.00279963435394193,0.00325938357507893
