"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
40,9.87215654311147E-05,9.09225544961645E-05
40.1,0.000100001963141194,9.20499519621032E-05
40.2,0.000101301485041727,9.31931008641973E-05
40.3,0.000102620503241502,9.43522870734403E-05
40.4,0.000103959399208819,9.55278032351847E-05
40.5,0.000105318563940027,9.67199488723924E-05
40.6,0.000106698398376737,9.79290306986069E-05
40.7,0.000108099313639642,9.91553627601727E-05
40.8,0.000109521731366691,0.000100399266670825
40.9,0.000110966083984421,0.000101661071772563
41,0.000112432815196462,0.000102941115537769
41.1,0.000113922380161169,0.000104239743606072
41.2,0.000115435245993223,0.000105557310188242
41.3,0.000116971892029194,0.000106894178199757
41.4,0.000118532810363448,0.000108250719665914
41.5,0.000120118506145572,0.000109627315904248
41.6,0.000121729498055334,0.000111024357831946
41.7,0.000123366318738216,0.00011244224628193
41.8,0.000125029515301689,0.000113881392341697
41.9,0.000126719649699569,0.000115342217567815
42,0.000128437299381057,0.000116825154491185
42.1,0.000130183057619138,0.000118330646753817
42.2,0.000131957534284632,0.000119859149716128
42.3,0.0001337613561746,0.000121411130607485
42.4,0.000135595167749525,0.000122987069043679
42.5,0.000137459631749937,0.000124587457461134
42.6,0.000139355429663701,0.000126212801365821
42.7,0.000141283262610425,0.000127863619991064
42.8,0.000143243851876473,0.000129540446605514
42.9,0.000145237939685572,0.000131243829037953
43,0.000147266289956205,0.000132974330187441
43.1,0.000149329689010824,0.000134732528455972
43.2,0.00015142894654474,0.00013651901845213
43.3,0.000153564896260727,0.000138334411322383
43.4,0.000155738396970029,0.000140179335558877
43.5,0.000157950333338874,0.000142054437419437
43.6,0.000160201616947631,0.000143960381661201
43.7,0.00016249318728323,0.000145897852171117
43.8,0.000164826012785224,0.00014786755265972
43.9,0.000167201091901714,0.000149870207323932
44,0.000169619454391867,0.00015190656174735
44.1,0.000172082162239184,0.000153977383390735
44.2,0.000174590311203149,0.000156083462704459
44.3,0.000177145031990733,0.000158225613836938
44.4,0.000179747491594551,0.000160404675470516
44.5,0.000182398894814528,0.000162621511840322
44.6,0.00018510048575493,0.000164877013694498
44.7,0.000187853549312167,0.000167172099206914
44.8,0.000190659412931726,0.000169507715145456
44.9,0.000193519448283053,0.000171884837909642
45,0.000196435073083201,0.000174304474711673
45.1,0.000199407752985659,0.000176767664756161
45.2,0.000202439003622268,0.000179275480559404
45.3,0.000205530392620279,0.000181829029195613
45.4,0.000208683541877974,0.00018442945375452
45.5,0.000211900129855835,0.000187077934790447
45.6,0.000215181893935767,0.000189775691779692
45.7,0.000218530633086522,0.000192523984818949
45.8,0.000221948210438527,0.000195324116213258
45.9,0.000225436556189673,0.000198177432322977
46,0.000228997670476794,0.000201085325308381
46.1,0.000232633626617518,0.000204049235199455
46.2,0.000236346574293167,0.000207070651817576
46.3,0.000240138743101581,0.000210151117025603
46.4,0.000244012446155129,0.000213292226914019
46.5,0.000247970083957383,0.000216495634202452
46.6,0.000252014148471535,0.000219763050752775
46.7,0.000256147227430059,0.000223096250211885
46.8,0.000260372008812904,0.000226497070716536
46.9,0.000264691285723928,0.000229967417951338
47,0.000269107961376358,0.000233509268104282
47.1,0.000273625054457605,0.00023712467117154
47.2,0.000278245704905533,0.000240815754485202
47.3,0.000282973179757784,0.000244584726199037
47.4,0.000287810879536665,0.000248433879161292
47.5,0.00029276234511344,0.00025236559509545
47.6,0.000297831264730375,0.000256382348771234
47.7,0.000303021481553034,0.000260486712535646
47.8,0.0003083370018232,0.00026468136120994
47.9,0.000313782003357299,0.000268969077170444
48,0.000319360844593164,0.000273352755682632
48.1,0.000325078074308927,0.000277835410742999
48.2,0.000330938441849504,0.000282420181062393
48.3,0.000336946908099489,0.000287110336609109
48.4,0.000343108657146818,0.000291909285440317
48.5,0.000349429108704724,0.000296820581027313
48.6,0.000355913931373131,0.000301847930022969
48.7,0.000362569056846063,0.000306995200578197
48.8,0.000369400694967381,0.000312266431100494
48.9,0.00037641534990529,0.00031766583966053
49,0.000383619837589833,0.000323197834164568
49.1,0.000391021304045558,0.000328867022876267
49.2,0.000398627245467575,0.000334678226075025
49.3,0.000406445529260169,0.000340636488084356
49.4,0.00041448441713976,0.000346747090630206
49.5,0.00042275258950164,0.000353015566687653
49.6,0.000431259171946641,0.00035944771568619
49.7,0.000440013763493452,0.00036604961951392
49.8,0.000449026467313152,0.000372827659993247
49.9,0.000458307923636769,0.000379788537480108
50,0.000467869345320948,0.000386939290945021
50.1,0.000477722556112892,0.000394287319477327
50.2,0.000487880032401411,0.00040184040572433
50.3,0.000498354947885193,0.000409606740849
50.4,0.000509161222344567,0.000417594951751199
50.5,0.000520313574362219,0.000425814130332713
50.6,0.000531827578533872,0.000434273865261292
50.7,0.000543719727725822,0.00044298427630185
50.8,0.00055600750073026,0.000451956051626512
50.9,0.000568709435997738,0.000461200488285907
51,0.000581845212084375,0.000470729536265924
51.1,0.000595435735274652,0.000480555846257391
51.2,0.000609503235830755,0.000490692822044836
51.3,0.000624071372771207,0.000501154677276738
51.4,0.000639165349251014,0.000511956497862065
51.5,0.000654812039050157,0.000523114310083117
51.6,0.000671040125353795,0.000534645155082836
51.7,0.000687880254093831,0.000546567170938594
51.8,0.000705365202538721,0.000558899682568614
51.9,0.000723530065921296,0.000571663300916625
52,0.000742412463514808,0.000584880032089341
52.1,0.000762052767296129,0.000598573398070013
52.2,0.000782494355629493,0.000612768570172006
52.3,0.000803783895518273,0.000627492516906303
52.4,0.00082597165708076,0.000642774168295723
52.5,0.000849111864497321,0.0006586445984883
52.6,0.000873263088800758,0.000675137229399936
52.7,0.000898488688061305,0.000692288058065205
52.8,0.000924857302034399,0.000710135911319076
52.9,0.000952443408896331,0.000728722731183407
53,0.000981327953954336,0.000748093895987956
53.1,0.00101159906043125,0.000768298582020877
53.2,0.00104335283606249,0.000789390172322935
53.3,0.00107669429016977,0.000811426719644626
53.4,0.00111173837933609,0.000834471472114351
53.5,0.00114861120313048,0.000858593472112812
53.6,0.00118745137580889,0.000883868240094676
53.7,0.00122841160398979,0.000910378558164227
53.8,0.00127166050809768,0.000938215370677842
53.9,0.00131738473136667,0.00096747882257342
54,0.00136579139101567,0.000998279460798779
54.1,0.00141711093850916,0.00103073963029632
54.2,0.00147160050745365,0.00106499510021174
54.3,0.00152954785212744,0.00110119696861666
54.4,0.00159127599725506,0.00113951390028588
54.5,0.00165714875466161,0.00118013476961121
54.6,0.00172757729794681,0.00122327179479598
54.7,0.0018030280387612,0.00126916427420243
54.8,0.00188403211226751,0.00131808306415893
54.9,0.00197119686286595,0.00137033597299674
55,0.00206521983787089,0.0014262742995268
55.1,0.0021669059421735,0.00148630080694645
55.2,0.00227718860933679,0.00155087951088284
55.3,0.00239715611740432,0.00162054778219423
55.4,0.00252808454873865,0.00169593142177704
55.5,0.00267147940770918,0.00177776359226167
55.6,0.00282912863158447,0.00186690879807716
55.7,0.00300317074845868,0.0019643935476289
55.8,0.00319618339624161,0.00207144595143804
55.9,0.0034112995464467,0.00218954742755884
56,0.00365236190877694,0.00232050101124726
56.1,0.00392413070789388,0.00246652277825277
56.2,0.00423256720794407,0.00263036593684529
56.3,0.0045852265488181,0.00281549188413133
56.4,0.00499181125330428,0.00302631006287479
56.5,0.0054649656720428,0.00326852070133765
56.6,0.00602143986244252,0.0035496149735651
56.7,0.00668383407106266,0.00387962227321592
56.8,0.00748328116125796,0.00427225668794717
56.9,0.00846369172893957,0.00474672956519817
57,0.00968869506136449,0.00533071514856309
57.1,0.0112534179030581,0.00606539782802695
57.2,0.0133053442249281,0.00701446334162226
57.3,0.0160831193372102,0.00828099156582673
57.4,0.0199929534763406,0.0100412402576836
57.5,0.0257691853109469,0.0126173485905412
57.6,0.0348370718743356,0.0166476810006934
57.7,0.0501934381850629,0.0235249638932371
57.8,0.0786161025073038,0.0366163541582071
57.9,0.135098547936367,0.0644896867184414
58,0.234582261904568,0.12266208040643
58.1,0.296368283074754,0.192718340090732
58.2,0.246935368767651,0.240284262386657
58.3,0.194248985536681,0.320944903737802
58.4,0.07170631340525,0.169763912367816
58.5,0.0209772644974284,0.0486828054940226
58.6,0.00941785470160394,0.0178158627474532
58.7,0.00528049975513367,0.0080957936735091
58.8,0.00327131937552505,0.00422282851566613
58.9,0.00215474596527188,0.00243186961126507
59,0.00150818521551987,0.00153484211409982
59.1,0.00114480418129159,0.00107843445553024
59.2,0.000971432946212936,0.000864937047766356
59.3,0.000938442566970954,0.000799921392247382
59.4,0.00102010073699677,0.000836197929492632
59.5,0.00120716973516588,0.000951216240745678
59.6,0.00150396462301172,0.0011374377136727
59.7,0.00192952614900432,0.00139904037114058
59.8,0.00252343232083996,0.00175286689315013
59.9,0.00335980737896413,0.00223436647455311
60,0.00457962793231759,0.002913116283217
