"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.00224229396890585,0.00223766145672699
75.03,0.00237527455255737,0.00237246378201128
75.06,0.00252615644968357,0.00252530133173379
75.09,0.0026956894865473,0.00269691474412281
75.12,0.00288497866602389,0.00288838102859501
75.15,0.00309550162298611,0.0031011234697661
75.18,0.0033291392595477,0.00333693150835479
75.21,0.00358822194881325,0.00359799159327878
75.24,0.00387559497587608,0.00388693060276102
75.27,0.00419470871841598,0.0042068742218887
75.3,0.00454974178983336,0.00456152374705099
75.33,0.00494576954546555,0.0049552563492381
75.36,0.00538899696935025,0.00539325618099062
75.39,0.00588708576977237,0.00588168741369466
75.42,0.00644962374801916,0.00642792637424838
75.45,0.00708881634708636,0.00704088041444273
75.48,0.00782053798500826,0.00773144001317094
75.51,0.00866598972252042,0.0085131463909337
75.54,0.0096544251729046,0.00940322849458519
75.57,0.0108278549745664,0.0104243149811427
75.6,0.0122496311546708,0.0116074699474146
75.63,0.014021160704515,0.0129980353455049
75.66,0.0163170410181622,0.0146679702958276
75.69,0.0194661152357889,0.0167448441046026
75.72,0.0241615312228342,0.0194891485675496
75.75,0.0320945340585105,0.0235359527852119
75.78,0.0483145168997686,0.0308312352000062
75.81,0.0932361475593769,0.0496112806427425
75.84,0.299443605103842,0.13694387789754
75.87,0.920249520964711,0.437577008636632
75.9,0.290699470551526,0.172066735040361
75.93,0.145671737689934,0.107575668701982
75.96,0.110747356299224,0.0952390396148236
75.99,0.103164191819952,0.0974073139356093
76.02,0.10687273666285,0.106667940820454
76.05,0.117564276273754,0.121168954408728
76.08,0.134019200916807,0.140541579999079
76.11,0.155993477759623,0.164815854273452
76.14,0.183413450603922,0.1939163241062
76.17,0.215868032310078,0.227273029515634
76.2,0.252201378675388,0.263501091145863
76.23,0.290275906017165,0.300266820332623
76.26,0.327065855913306,0.33449495277451
76.29,0.359151156782732,0.362941758592789
76.32,0.383456008611062,0.382929431049011
76.35,0.397918349354274,0.392920846877682
76.38,0.401842423121217,0.392732578539767
76.41,0.395886604802708,0.383401281813776
76.44,0.381781115041794,0.366838016233703
76.47,0.361906310613896,0.345405686772156
76.5,0.338857967379545,0.321524789837348
76.53,0.31511597506285,0.297391354052677
76.56,0.292908179284792,0.274864593080124
76.59,0.274340785733577,0.255556165805696
76.62,0.261935382480175,0.241179038240876
76.65,0.260113000593008,0.234416528564057
76.68,0.280004068855463,0.241450308479897
76.71,0.36036168877324,0.281632447276678
76.74,0.676780839087431,0.423272047489297
76.77,0.782730514900136,0.336647442117358
76.8,0.230082378986278,0.0893396438138443
76.83,0.119114913752903,0.0591976383638281
76.86,0.0874560270236984,0.0533313332544577
76.89,0.0732417460818583,0.0504392569819997
76.92,0.0646490694406855,0.0479118783573187
76.95,0.0584583732925961,0.0454200820934285
76.98,0.0535455644995295,0.0429735652564164
77.01,0.0494363962185309,0.0406175594574985
77.04,0.0458964866721498,0.038384373962342
77.07,0.0427930471880053,0.0362905735062033
77.1,0.0400417184282915,0.0343413831606013
77.13,0.0375838440510297,0.0325349438505182
77.16,0.0353758248187803,0.0308653416192726
77.19,0.0333836989326849,0.029324577564302
77.22,0.0315801605352168,0.0279037983060216
77.25,0.0299427986290041,0.0265940454961753
77.28,0.0284529915497299,0.0253867031936031
77.31,0.0270951818556489,0.0242737613155646
77.34,0.0258563937082753,0.0232479732814961
77.37,0.0247259255620389,0.0223029617075061
77.4,0.0236951934689802,0.0214333136468299
77.43,0.0227577344732879,0.020634704809208
77.46,0.0219094205667756,0.0199041020855834
77.49,0.0211490018294686,0.0192401227904059
77.52,0.0204792337960459,0.0186436967382997
77.55,0.0199091494761156,0.0181193341228987
77.58,0.0194587879527856,0.0176776877146336
77.61,0.0191697423208211,0.0173411373077416
77.64,0.0191312442960176,0.0171572932583959
77.67,0.0195547466035203,0.0172366946546343
77.7,0.0210370665169879,0.0178823179977975
77.73,0.0258545198602441,0.0202068406661788
77.76,0.0499014507855511,0.0315915758378024
77.79,0.419228279565946,0.188859709570327
77.82,0.0444902510413738,0.0236042454809562
77.85,0.0204200242113183,0.0142067657444029
77.88,0.0157755604621103,0.0124983923670794
77.91,0.0140346395019715,0.0118311750067079
77.94,0.0131142892840541,0.0114336387935128
77.97,0.0125133292165592,0.0111348359518654
78,0.012065254907298,0.0108827502291095
