"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.00255919951918226,0.00258121920520471
75.03,0.00284783970033375,0.00286392744866137
75.06,0.00321384145637682,0.00321867443741986
75.09,0.00368562271184203,0.00367187425792326
75.12,0.0043038588777371,0.0042609712370989
75.15,0.00512832333510094,0.00504040804278405
75.18,0.00624949695794064,0.00609161350719345
75.21,0.00780907021422839,0.00754035754155158
75.24,0.0100378517929053,0.00958824208675402
75.27,0.0133297140245147,0.012572790027962
75.3,0.0183951401257747,0.0170890395651558
75.33,0.026604138901084,0.0242530818787601
75.36,0.0408177951030025,0.0363202656374902
75.39,0.0675781229370691,0.0582653549289973
75.42,0.123068527479643,0.102114790280679
75.45,0.244740124152886,0.1981208632323
75.48,0.45786026206193,0.401415242494592
75.51,0.704354472665525,0.561829952966945
75.54,0.290328017133429,0.313774941938632
75.57,0.145879598296406,0.173027741709529
75.6,0.090799567853073,0.107084225404791
75.63,0.0630470389406405,0.0729900640239084
75.66,0.0470957772888929,0.0535275676945129
75.69,0.037099252763062,0.0414713502606481
75.72,0.0304331486460844,0.0335102186821981
75.75,0.0257802880011417,0.0279867141831353
75.78,0.0224230030647842,0.024005403247932
75.81,0.0199449451648326,0.0210509855792169
75.84,0.0180928214813182,0.0188112782978356
75.87,0.0167073503157386,0.0170892646967136
75.9,0.0156867495321933,0.0157567467651762
75.93,0.0149666492262367,0.0147287176162562
75.96,0.0145088956534896,0.0139486738313432
75.99,0.0142955862089003,0.013380047638528
76.02,0.0143265844637063,0.0130013019612518
76.05,0.014619840963906,0.0128034433317963
76.08,0.0152146256733243,0.0127894052743633
76.11,0.0161786035851312,0.0129752570810987
76.14,0.0176209249993209,0.0133937152917523
76.17,0.0197157943532807,0.0141012259650369
76.2,0.0227457208519548,0.0151914075378412
76.23,0.0271842494181564,0.0168209915479882
76.26,0.0338634734594715,0.0192625003033198
76.29,0.0443381598922947,0.0230193893900296
76.32,0.0617483020625159,0.029102378138615
76.35,0.0930798648623874,0.0397718484383623
76.38,0.155759382332721,0.0607992048192516
76.41,0.297787037745177,0.108975257408247
76.44,0.62915271567705,0.229003387321039
76.47,0.978107766787703,0.393549560859459
76.5,0.718083020292209,0.367914164540234
76.53,0.456972619536188,0.338395801313268
76.56,0.374091100868788,0.420779993025569
76.59,0.418631225386927,0.677315659910161
76.62,0.487663017212896,0.993327833870121
76.65,0.320760182102931,0.712645439174106
76.68,0.162729143327094,0.35771894540898
76.71,0.0937764955819407,0.194534664717563
76.74,0.0623702134173872,0.120208610420974
76.77,0.0458316273813864,0.0820540730033003
76.8,0.0360013637697894,0.0602320379174879
76.83,0.029608213587323,0.0466533578540627
76.86,0.0251645635601869,0.0376361673907688
76.89,0.0219175208155843,0.0313351785121391
76.92,0.0194516457355852,0.0267494297212638
76.95,0.0175212010948261,0.0232997142245344
76.98,0.0159724075374817,0.0206325492946098
77.01,0.0147044867709285,0.0185224203512718
77.04,0.0136488194148601,0.0168199652736492
77.07,0.0127571606241326,0.015423048303968
77.1,0.0119946564337096,0.0142598787537479
77.13,0.0113355349840309,0.0132787734835543
77.16,0.0107603539685424,0.0124417371334066
77.19,0.0102541881839532,0.0117203162523859
77.22,0.00980540401774355,0.0110928513154198
77.25,0.00940481118251646,0.0105426125805607
77.28,0.00904506324865795,0.0100565089774466
77.31,0.00872022607541589,0.00962417699334273
77.34,0.00842546190192328,0.00923732673572286
77.37,0.00815679460450203,0.00888926529707867
77.4,0.00791093287654632,0.0085745444318388
77.43,0.00768513537861393,0.008288696746789
77.46,0.00747710672540924,0.00802803581399925
77.49,0.00728491641955964,0.00778950305290083
77.52,0.00710693506219973,0.0075705492465411
77.55,0.00694178371161391,0.00736904199300825
77.58,0.00678829334872388,0.00718319278113
77.61,0.00664547218284095,0.00701149905849052
77.64,0.0065124790928337,0.00685269785781495
77.67,0.00638860190681712,0.00670572840849093
77.7,0.00627323952767711,0.00656970178968963
77.73,0.00616588713474564,0.00644387614097575
77.76,0.00606612386433258,0.00632763629186195
77.79,0.00597360249784618,0.00622047692589345
77.82,0.00588804078709604,0.00612198859117796
77.85,0.0058092141201479,0.00603184601473661
77.88,0.00573694929176027,0.00594979829302189
77.91,0.00567111918778074,0.0058756606176712
77.94,0.00561163822850119,0.00580930726288198
77.97,0.00555845844609559,0.0057506656154771
78,0.00551156609297909,0.00569971106946021
