"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.000765956047545369,0.000746946362202183
75.03,0.000908121736408973,0.000891652792249009
75.06,0.00110072703232678,0.00108649957723528
75.09,0.00135890600452304,0.00134652259268409
75.12,0.00170361151915943,0.00169252260160269
75.15,0.00216437061362296,0.00215378763405927
75.18,0.00278363679682647,0.0027723885652271
75.21,0.00362385896885642,0.00361014745995547
75.24,0.00477932615498444,0.00476029765527441
75.27,0.00639671958252297,0.00636768327525583
75.3,0.00871218890318826,0.00866513211173559
75.33,0.0121211694166345,0.0120418002076509
75.36,0.0173159973915694,0.0171775415380397
75.39,0.0255694217140666,0.0253189088845097
75.42,0.0393360019318557,0.0388626591165757
75.45,0.0634872343665642,0.0625503579956945
75.48,0.107149200674328,0.105247301765141
75.51,0.180958026902966,0.177352709208541
75.54,0.268123446986514,0.262583828327233
75.57,0.291527494580935,0.285668461556986
75.6,0.192305084605096,0.191571591289905
75.63,0.120064106581814,0.120470166345055
75.66,0.0818290928045569,0.0822303733573461
75.69,0.0595531774697897,0.0598299688270636
75.72,0.0455874110534623,0.0457634166382216
75.75,0.0363091507135714,0.0364154688283651
75.78,0.0298458460343448,0.0299044944476538
75.81,0.0251646782286631,0.0251897890640578
75.84,0.0216636289340345,0.021664103166512
75.87,0.0189745668918497,0.0189559957992704
75.9,0.0168628516841131,0.0168287198683148
75.93,0.0151734702801439,0.015125886219747
75.96,0.0138007895813155,0.0137409292349508
75.99,0.0126708661584619,0.012599244119063
76.02,0.0117307199337684,0.0116473554742709
76.05,0.0109416188528763,0.0108461361835801
76.08,0.0102747536451874,0.0101664394601002
76.11,0.00970838109295391,0.00958621301305407
76.14,0.00922589495355197,0.00908854883774435
76.17,0.00881449792802036,0.00866033855229686
76.2,0.00846427233707359,0.00829132969687263
76.23,0.00816752127245057,0.00797345319921616
76.26,0.0079182973428461,0.00770033791750435
76.29,0.00771206458028817,0.00746695676508635
76.32,0.0075454573607352,0.00726936720721938
76.35,0.00741611226677796,0.00710452086624791
76.38,0.00732255705044393,0.00697012494873783
76.41,0.00726414670939235,0.00686454366392208
76.44,0.00724104112214685,0.00678673164690624
76.47,0.00725422235052942,0.00673619421459881
76.5,0.0073055531171935,0.00671297146441296
76.53,0.00739788154772469,0.00671764505044481
76.56,0.00753520151432374,0.00675136816166222
76.59,0.00772288343523886,0.00681592097745298
76.62,0.00796799802270454,0.00691379589501429
76.65,0.00827976652315676,0.00704831936672479
76.68,0.00867018749909076,0.00722382060530824
76.71,0.00915491549753533,0.00744586223017252
76.74,0.00975450663782551,0.00772155495502536
76.77,0.0104962098646191,0.00805998896477245
76.8,0.0114165873850079,0.0084728309020331
76.83,0.0125654245636907,0.00897516116413688
76.86,0.0140116961886529,0.00958666827625632
76.89,0.0158529045044701,0.0103333879998181
76.92,0.0182301191714276,0.0112502988317419
76.95,0.0213529981117709,0.0123853119166915
76.98,0.0255429681685556,0.0138056277074867
77.01,0.0313109096408475,0.0156083145246287
77.04,0.0395036337160839,0.0179388821382315
77.07,0.051594881577897,0.0210261160296465
77.1,0.0702964561315587,0.0252528524553735
77.13,0.100908509934227,0.0313137170476786
77.16,0.154350248854682,0.0406003823891335
77.19,0.252955647887,0.0561733410237619
77.22,0.429024103808299,0.0845126147824843
77.25,0.633085466162938,0.131359539410497
77.28,0.616367531507511,0.181216156410801
77.31,0.43464432156528,0.23386879023518
77.34,0.301789068647655,0.326083296163947
77.37,0.235482684079583,0.483195827941376
77.4,0.197260628487611,0.641247671129342
77.43,0.149289977428542,0.598455775369136
77.46,0.101280599591395,0.409326567463807
77.49,0.0700046413539218,0.258614746759836
77.52,0.051561170428269,0.16920762389982
77.55,0.040169859323045,0.117251261200428
77.58,0.0326329010268096,0.0856621575276105
77.61,0.0273418163853099,0.0653873840938632
77.64,0.0234514251543074,0.0517172801917007
77.67,0.0204866127234996,0.0421049258198054
77.7,0.0181626826652653,0.0351032198968246
77.73,0.0162994922313433,0.0298497383043268
77.76,0.0147777922432549,0.0258079513525806
77.79,0.0135156436339279,0.0226312344099624
77.82,0.0124549701467843,0.0200881425974775
77.85,0.0115535214659545,0.0180196161855257
77.88,0.0107798715098281,0.0163135395127021
77.91,0.0101101953303192,0.0148891017996292
77.94,0.00952612872376735,0.0136868914786198
77.97,0.00901330920784604,0.0126624517973294
78,0.00856035845407199,0.0117819862556062
