"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.00479367557621857,0.00539592962734647
75.03,0.00494858746155002,0.0055962872580908
75.06,0.00511764423996575,0.00581568001051092
75.09,0.0053024759558854,0.0060564487421958
75.12,0.00550497830449437,0.00632133175125671
75.15,0.00572736517660788,0.00661354714982254
75.18,0.00597223376557499,0.00693689585126844
75.21,0.0062426457931406,0.00729589127449404
75.24,0.00654222958598738,0.00769592397417374
75.27,0.00687530935744429,0.00814347234880319
75.3,0.00724707031418281,0.00864637473771224
75.33,0.00766377140728913,0.00921418416908537
75.36,0.00813302212345979,0.00985863564737322
75.39,0.00866414634591595,0.0105942685487027
75.42,0.00926866606811161,0.0114392656113561
75.45,0.00996095231633998,0.0124165987012101
75.48,0.0107591127732757,0.0135556158050344
75.51,0.0116862198529223,0.0148942733289018
75.54,0.0127720370644845,0.0164823295237533
75.57,0.0140554888016613,0.0183859982369188
75.6,0.0155882630308427,0.0206948704394228
75.63,0.0174401814371097,0.0235324428781004
75.66,0.0197074001303988,0.0270725373658561
75.69,0.0225252780785575,0.0315656221182957
75.72,0.0260891996380939,0.0373823130250552
75.75,0.0306894597224485,0.0450877188989367
75.78,0.0367720549343764,0.055573195413342
75.81,0.0450494036199833,0.0702988396924995
75.84,0.0567119676932437,0.0917560026537627
75.87,0.0738528118521861,0.124369802346693
75.9,0.100349986989199,0.176219500903991
75.93,0.143656613100239,0.261695759297036
75.96,0.217515964356816,0.400946335201954
75.99,0.339842467172364,0.590209148890749
76.02,0.509127659080101,0.718020563649552
76.05,0.686230040393821,0.659929778893719
76.08,0.748742890244424,0.489717430259991
76.11,0.576155462162799,0.31576241739977
76.14,0.361426281380104,0.19957004152307
76.17,0.224438883901977,0.133537960536953
76.2,0.147259213357372,0.0951345302147117
76.23,0.102579078211214,0.0712724997710246
76.26,0.0751891842771267,0.0555132999954772
76.29,0.0574339936366929,0.0445809856771746
76.32,0.0453584849196359,0.0366944416063271
76.35,0.0368106237011415,0.0308225225787619
76.38,0.0305553944125979,0.0263356021831772
76.41,0.0258489136464343,0.0228317850679408
76.44,0.0222237160463956,0.0200448334700247
76.47,0.0193750328424934,0.0177927456490875
76.5,0.0170977227660879,0.0159477094524779
76.53,0.0152498117720271,0.0144178507027691
76.56,0.0137306210172873,0.0131357678303448
76.59,0.0124672077083483,0.0120511155639748
76.62,0.0114057099442108,0.0111256826241692
76.65,0.0105056758582206,0.0103300493065354
76.68,0.00973626020683827,0.00964127114981583
76.71,0.00907361924211469,0.00904124403504447
76.74,0.00849909212961319,0.0085155310027607
76.77,0.00799790937461964,0.00805250764689169
76.8,0.00755826103148838,0.00764273098317925
76.83,0.0071706147646764,0.00727846746155514
76.86,0.00682721015790633,0.00695333589054736
76.89,0.00652167915392987,0.0066620344007251
76.92,0.00624875796268354,0.00640012959486469
76.95,0.00600406612206994,0.00616389222156255
76.98,0.00578393542321576,0.00595016800835502
77.01,0.00558527625625438,0.00575627531828204
77.04,0.0054054723170216,0.00557992345242497
77.07,0.00524229700733803,0.00541914697569512
77.1,0.00509384657184631,0.00527225257428365
77.13,0.00495848625315465,0.00513777578709762
77.16,0.00483480664876812,0.00501444556921726
77.19,0.00472158812188095,0.00490115510997724
77.22,0.00461777161168631,0.00479693767498168
77.25,0.00452243456246848,0.00470094650830233
77.28,0.00443477097069833,0.00461243803295419
77.31,0.00435407476536809,0.00453075774616263
77.34,0.0042797258995072,0.00445532832576101
77.37,0.0042111786593434,0.00438563956054294
77.4,0.00414795179610894,0.00432123979176946
77.43,0.00408962016231262,0.00426172861149732
77.46,0.00403580759621647,0.00420675061138165
77.49,0.00398618084544111,0.00415599001203226
77.52,0.00394044436015206,0.00410916603426492
77.55,0.00389833581536281,0.00406602889627472
77.58,0.00385962224849079,0.00402635634234638
77.61,0.00382409671661199,0.00398995062310636
77.64,0.00379157539453923,0.00395663586093309
77.67,0.00376189504895341,0.00392625574581917
77.7,0.00373491083261757,0.00389867151382273
77.73,0.00371049435320547,0.00387376016924068
77.76,0.00368853197822694,0.00385141291735136
77.79,0.00366892334287239,0.00383153377890622
77.82,0.00365158003328037,0.00381403836246608
77.85,0.0036364244215642,0.00379885277385816
77.88,0.00362338863277778,0.00378591264534389
77.91,0.0036124136266007,0.00377516226928298
77.94,0.00360344837871518,0.00376655382290403
77.97,0.00359644914965784,0.00376004667335061
78,0.0035913788304377,0.00375560675341557
