"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.00260309908715939,0.00255675162358338
75.03,0.00262033254886851,0.0025731647257895
75.06,0.00263875148150672,0.00259027697311642
75.09,0.00265811509197811,0.00260796667817809
75.12,0.00267823215899354,0.0026261467945714
75.15,0.00269895586393842,0.00264476023924376
75.18,0.00272017900801358,0.00266377564973574
75.21,0.00274182960112535,0.00268318354893216
75.24,0.00276386680875462,0.00270299289171005
75.27,0.00278627724424785,0.00272322796980251
75.3,0.00280907159594501,0.00274392565329595
75.33,0.00283228158155235,0.00276513294940772
75.36,0.00285595722660215,0.00278690486104771
75.39,0.00288016447322581,0.00280930253084377
75.42,0.00290498314158893,0.00283239165845317
75.45,0.00293050530236949,0.00285624118309769
75.48,0.00295683419711024,0.00288092222638947
75.51,0.0029840840380807,0.00290650729603348
75.54,0.00301238154156247,0.00293306975657637
75.57,0.00304187162578828,0.0029606835806083
75.6,0.00307273519965445,0.00298942340275155
75.63,0.00310525002601569,0.00301936490914501
75.66,0.00314004950735958,0.0030505856073707
75.69,0.00317961519491095,0.00308316603457026
75.72,0.00323266153720891,0.00311719147368683
75.75,0.00326214446174322,0.00315275425619632
75.78,0.00329526021900228,0.00318995672891054
75.81,0.00333657621683381,0.00322891494385891
75.84,0.00338180080678718,0.00326976308387761
75.87,0.00343018114947125,0.00331265854739493
75.9,0.00348166056348798,0.00335778747514859
75.93,0.00353636923477818,0.00340537030841859
75.96,0.00359451289018875,0.00345566674723963
75.99,0.00365634350441402,0.00350897929231209
76.02,0.0037221523800548,0.00356565451560742
76.05,0.00379227108606472,0.00362608145107535
76.08,0.00386707603740144,0.00369068713251464
76.11,0.00394699539481491,0.00375993031003663
76.14,0.00403251793897907,0.0038342955098718
76.17,0.00412420397588587,0.00391429043450542
76.2,0.00422269854776303,0.00400044977834479
76.23,0.00432874738808209,0.00409334767308456
76.26,0.00444321622345556,0.00419361944703833
76.29,0.00456711421624767,0.0043019918256153
76.32,0.00470162258553319,0.00441931979304644
76.35,0.00484812975974314,0.00454662841672204
76.38,0.00500827483791422,0.00468515890503263
76.41,0.00518400170691391,0.00483641963361003
76.44,0.00537762694203636,0.00500224444066311
76.47,0.00559192569417721,0.00518486195682677
76.5,0.00583024127179832,0.00538698114016334
76.53,0.00609662624822538,0.00561189974765786
76.56,0.00639602596405298,0.00586364453013377
76.59,0.00673451969915895,0.00614715490702411
76.62,0.00711964126638509,0.00646852631321093
76.65,0.00756081045449419,0.00683533610323972
76.68,0.00806992144418284,0.00725708507054967
76.71,0.00866215705299755,0.00774580326941343
76.74,0.0093571335337137,0.00831689321322227
76.77,0.0101805384899994,0.00899032229107466
76.8,0.0111665200012327,0.00979233923862699
76.83,0.0123612470359974,0.0107579943877741
76.86,0.0138283440840581,0.0119349229007508
76.89,0.0156574132042945,0.0133891667819487
76.92,0.017977811530889,0.0152143891999029
76.95,0.0209817142954024,0.0175469300273153
76.98,0.0249642984168786,0.0205913200771521
77.01,0.0303970832134587,0.0246653814703867
77.04,0.0380692555037752,0.0302839654447663
77.07,0.0493779691660434,0.0383236817682492
77.1,0.0669712872072814,0.0503699433977667
77.13,0.096301860584192,0.0695101135473037
77.16,0.149745757699599,0.102326805411257
77.19,0.258145770742722,0.164436778139358
77.22,0.494864880131171,0.296635031983875
77.25,0.864733101927913,0.592301081080199
77.28,0.765769796057673,0.937448478128024
77.31,0.402966513037079,0.654622404405571
77.34,0.213503025020751,0.324664449997442
77.37,0.126567960369238,0.174764883616285
77.4,0.0825726823958742,0.105928470006498
77.43,0.057869335740921,0.0703607428596871
77.46,0.0427924259193495,0.0499839293881972
77.49,0.0329756244098827,0.0373395138234245
77.52,0.0262517972467554,0.028996452863035
77.55,0.0214573096662154,0.023221388525382
77.58,0.0179257100238699,0.0190690498883246
77.61,0.0152544722716247,0.0159908434435211
77.64,0.0131894985724244,0.0136516921504946
77.67,0.0115643257699747,0.0118380536901331
77.7,0.010266418150221,0.0104088967375955
77.73,0.00921762685433758,0.00926821968464775
77.76,0.00836241730256904,0.00834896470328061
77.79,0.00766053463420335,0.00760324337568252
77.82,0.00708229749733824,0.00699620067388806
77.85,0.00660549857651038,0.00650205100057899
77.88,0.0062133153674675,0.00610145159679898
77.91,0.00589287231682034,0.00577972228338186
77.94,0.00563423251948192,0.00552561408438756
77.97,0.00542967853022447,0.00533044175572361
78,0.00527319139150562,0.00518746243082391
