"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.00476021030868035,0.00481125747733302
75.03,0.0048452738613215,0.00489842809088392
75.06,0.00493321879044462,0.00498857418817533
75.09,0.00502426403042855,0.00508192238228833
75.12,0.00511864744051582,0.00517871886853849
75.15,0.00521662769462339,0.00527923141189957
75.18,0.00531848646213107,0.00538375163582672
75.21,0.00542453091746564,0.00549259765258292
75.24,0.00553509662383456,0.00560611708303527
75.27,0.00565055084552502,0.00572469052338909
75.3,0.00577129635398477,0.00584873552768839
75.33,0.00589777580593598,0.00597871118859927
75.36,0.00603047678702162,0.00611512341509557
75.39,0.00616993763347584,0.00625853102568175
75.42,0.00631675416748034,0.00640955280027733
75.45,0.00647158750958521,0.00656887566318398
75.48,0.00663517316634676,0.00673726420640386
75.51,0.00680833163446337,0.00691557180820457
75.54,0.00699198081518049,0.00710475365759544
75.57,0.00718715060030883,0.007305882067002
75.6,0.00739500007366845,0.00752016454318205
75.63,0.00761683787841139,0.00774896519975576
75.66,0.00785414643417948,0.00799383023696343
75.69,0.008108610860041,0.00825651839755703
75.72,0.00838215367964168,0.00853903754306651
75.75,0.0086769766706537,0.00884368879988362
75.78,0.00899561159353601,0.0091731201235512
75.81,0.00934098202292144,0.00953039165274039
75.84,0.00971647915300378,0.00991905591949038
75.87,0.0101260553108125,0.0103432569088284
75.9,0.0105743400727303,0.010807853210386
75.93,0.0110667854558587,0.0113185722031033
75.96,0.0116098488157342,0.0118822045453865
75.99,0.0122112250725965,0.0125068514768726
76.02,0.0128801440726451,0.013202241970908
76.05,0.0136277548160688,0.0139801432087114
76.08,0.0144676267730219,0.0148548970811955
76.11,0.0154164108385183,0.0158441288673076
76.14,0.0164947206349584,0.0169696940824048
76.17,0.0177283220207716,0.0182589592384135
76.2,0.0191497599252829,0.0197465575913482
76.23,0.0208006154480411,0.0214768312716008
76.26,0.0227346867550854,0.0235072823760722
76.29,0.0250225491434864,0.0259135350588625
76.32,0.027758215843028,0.0287966068449093
76.35,0.0310690695539784,0.0322937881181653
76.38,0.0351310098234479,0.0365952973805411
76.41,0.0401921385080494,0.0419704287514241
76.44,0.0466108245644261,0.0488097506024811
76.47,0.0549187367216947,0.057695284526041
76.5,0.0659286414514106,0.0695210189525737
76.53,0.0809250527506946,0.0857067500387915
76.56,0.102012410362107,0.108589009266101
76.59,0.132765716087662,0.142147985564209
76.62,0.17943596290265,0.193325102253022
76.65,0.252925990855324,0.274001029802344
76.68,0.370077714678738,0.4011094968777
76.71,0.541851475079596,0.578203110833771
76.74,0.709243178352099,0.722510845355086
76.77,0.704386151121446,0.675609120792522
76.8,0.527284920387276,0.490520423005281
76.83,0.349749681512748,0.324949959613088
76.86,0.231335059225324,0.216896488095499
76.89,0.158784754769828,0.150426765637097
76.92,0.113762086386246,0.108764909234648
76.95,0.0847425421932122,0.0816372051455979
76.98,0.0652617160501023,0.0632621670916373
77.01,0.0516901468589985,0.0503630106815629
77.04,0.0419258984460216,0.0410226421449728
77.07,0.0347049903973086,0.0340772941320491
77.1,0.0292388682254421,0.0287948498019281
77.13,0.0250187321908801,0.0246995829929766
77.16,0.0217060582495597,0.0214732951569268
77.19,0.0190688099938253,0.018897261810188
77.22,0.0169427753396186,0.0168164805521344
77.25,0.0152078298398385,0.0151168601999534
77.28,0.0137741234806172,0.0137114918089113
77.31,0.0125745749610064,0.0125340570550471
77.34,0.0115599772709203,0.0115357335787822
77.37,0.0106944762868584,0.0106816721414514
77.4,0.00995143858877356,0.00994660600294428
77.43,0.00931037881583174,0.00931125021970147
77.46,0.00875502808087503,0.00876016665157031
77.49,0.00827219015961111,0.00828066835730379
77.52,0.00785103241004392,0.00786222165751327
77.55,0.0074826011060094,0.00749605046949875
77.58,0.00715946055817562,0.00717483003718333
77.61,0.00687541083244603,0.00689243455922828
77.64,0.00662526212659775,0.0066437272029265
77.67,0.00640465301484361,0.00642438648185173
77.7,0.0062099036332558,0.00623076378929788
77.73,0.00603789690972212,0.0060597670867909
77.76,0.00588598231118653,0.00590876615311087
77.79,0.00575189765059825,0.00577551538949639
77.82,0.0056337053742872,0.00565809082301905
77.85,0.00552974046633525,0.00555483855512118
77.88,0.00543856768971007,0.005464332432634
77.91,0.0053589463509861,0.00538533916018613
77.94,0.00528980114550648,0.0053167894303171
77.97,0.00523019793540203,0.00525775393672223
78,0.00517932354400574,0.0052074233635635
