"angle [deg]","Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
0,75,0.00241958588383251,0.00241426913540765
0,75.03,0.00243531979307876,0.00242980393920111
0,75.06,0.00245172072802702,0.00244599893504338
0,75.09,0.00246886116843981,0.00246292495407463
0,75.12,0.00248681968749886,0.00248065885593207
0,75.15,0.0025056819348217,0.00249928449363834
0,75.18,0.00252554177621533,0.00251889383228343
0,75.21,0.00254650262052492,0.00253958825126921
0,75.24,0.00256867896996227,0.00256148006579293
0,75.27,0.00259219823949086,0.00258469431224073
0,75.3,0.00261720290060108,0.00260937085173041
0,75.33,0.00264385301890213,0.00263566685982652
0,75.36,0.00267232927159544,0.00266375978675037
0,75.39,0.00270283655286163,0.00269385089389618
0,75.42,0.0027356083034864,0.00272616950014382
0,75.45,0.00277091173793553,0.00276097810756049
0,75.48,0.00280905418951405,0.00279857862242527
0,75.51,0.00285039085816685,0.00283931995002118
0,75.54,0.00289533432925015,0.002883607323519
0,75.57,0.00294436634428541,0.00293191383733027
0,75.6,0.00299805245713292,0.00298479480422142
0,75.63,0.0030570604168616,0.00304290575834065
0,75.66,0.00312218340542492,0.00310702520627715
0,75.69,0.0031943696576211,0.00317808361783867
0,75.72,0.00327476055415243,0.00325720069752544
0,75.75,0.00336474008253274,0.00334573376121894
0,75.78,0.00346599972361927,0.00344534117551765
0,75.81,0.00358062452744701,0.00355806647796497
0,75.84,0.00371120868524266,0.00368645127097167
0,75.87,0.00386101275715756,0.0038336887284115
0,75.9,0.00403418066234629,0.00400383533255
0,75.93,0.00423604390145038,0.00420210755023676
0,75.96,0.00447355555081907,0.00443530477615639
0,75.99,0.00475592141403158,0.00471242395201454
0,76.02,0.00509553779375282,0.00504557200997935
0,76.05,0.00550941876674338,0.00545135329164392
0,76.08,0.00602142831501595,0.00595303703689409
0,76.11,0.00666588090580666,0.0065840494413687
0,76.14,0.00749355980545929,0.00739380240141785
0,76.17,0.00858220107798191,0.00845783071465878
0,76.2,0.0100556668148113,0.00989629539603032
0,76.23,0.0121211050016086,0.011909762489922
0,76.26,0.0151462334730007,0.014853405492082
0,76.29,0.0198347868370595,0.0194048662374194
0,76.32,0.0276718770587983,0.0269884478337535
0,76.35,0.0422337752588712,0.0410152693314541
0,76.38,0.0738990854264553,0.0713084508061903
0,76.41,0.162262697666082,0.154948468550966
0,76.44,0.511106322378804,0.483200184198844
0,76.47,0.846530466850711,0.869700245908418
0,76.5,0.252892154607042,0.261783906726202
0,76.53,0.0978121190287053,0.0996743235136399
0,76.56,0.0505800767839966,0.0511003434758337
0,76.59,0.0310267448667945,0.0311902597117467
0,76.62,0.0212185143582853,0.0212641339966181
0,76.65,0.0156425525308701,0.0156442163547443
0,76.68,0.0121841916244797,0.0121687390099906
0,76.71,0.00989786080476296,0.0098760876492664
0,76.74,0.00831096945769072,0.0082874898318589
0,76.77,0.00716655472675398,0.00714338364670664
0,76.8,0.0063153719057274,0.00629336369311351
0,76.83,0.00566601997504623,0.00564549075464582
0,76.86,0.00516003190487901,0.00514104459261611
0,76.89,0.00475862165447916,0.0047411218328679
0,76.92,0.00443525255108423,0.00441913496796553
0,76.95,0.00417128084741036,0.00415642231381674
0,76.98,0.00395330303420316,0.00393957855535021
0,77.01,0.00377148653953807,0.0037587769117513
0,77.04,0.00361848857968672,0.00360668360544958
0,77.07,0.00348873792141535,0.0034777373866014
0,77.1,0.00337794683938475,0.00336766037803216
0,77.13,0.00328277271685773,0.00327311915923245
0,77.16,0.00320057909309512,0.0031914856120564
0,77.19,0.00312926412366366,0.00312066534351629
0,77.22,0.00306713556821026,0.00305897271859434
0,77.25,0.00301281842093404,0.00300503857411727
0,77.28,0.00296518578748628,0.00295774119375924
0,77.31,0.00292330654511996,0.0029161540686734
0,77.34,0.00288640527409656,0.00287950592568798
0,77.37,0.00285383126492178,0.00284714982500467
0,77.4,0.00282503431141801,0.00281853903666673
0,77.43,0.00279954562714479,0.00279320803349481
0,77.46,0.00277696266575178,0.00277075738177746
0,77.49,0.0027569369406526,0.00275084162598349
0,77.52,0.00273916416766196,0.00273315949208863
0,77.55,0.00272337621822305,0.00271744589805512
0,77.58,0.00270933449433197,0.00270346538343902
0,77.61,0.002696824424408,0.00269100665814936
0,77.64,0.00268565084876315,0.00267987803974523
0,77.67,0.00267563411308425,0.0026699035983192
0,77.7,0.00266660672696972,0.00266091986660144
0,77.73,0.00265841047528337,0.00265277300360267
0,77.76,0.00265089389118367,0.00264531632112774
0,77.79,0.00264391001895337,0.0026384081017844
0,77.82,0.00263731440742088,0.00263190964969218
0,77.85,0.00263096328584,0.00262568352621695
0,77.88,0.00262471188284996,0.00261959193174466
0,77.91,0.00261841285508446,0.00261349520050291
0,77.94,0.00261191479828016,0.00260725038166987
0,77.97,0.00260506081674416,0.00260070988307293
0,78,0.00259768713108066,0.00259372015779336
10,75,0.00224802485301123,0.00232811382907172
10,75.03,0.00225710220989817,0.00233554165417671
10,75.06,0.00226531833224108,0.00234247232971763
10,75.09,0.0022730224189943,0.00234909667082095
10,75.12,0.00228042965098296,0.00235553948292044
10,75.15,0.00228767208954184,0.00236188216880973
10,75.18,0.00229482983205886,0.00236817740009343
10,75.21,0.00230195039074088,0.00237445876628684
10,75.24,0.00230906089932315,0.0023807471916103
10,75.27,0.00231617587308475,0.00238705523954952
10,75.3,0.00232330217100341,0.0023933900197739
10,75.33,0.00233044217535328,0.00239975515952906
10,75.36,0.00233759582507942,0.00240615214353923
10,75.39,0.00234476190626987,0.00241258122382249
10,75.42,0.00235193885985119,0.00241904203574861
10,75.45,0.00235912527486637,0.00242553401241508
10,75.48,0.00236632017792504,0.00243205666082291
10,75.51,0.00237352319190454,0.00243860974394661
10,75.54,0.00238073461204613,0.00244519339919813
10,75.57,0.00238795543213355,0.00245180821543989
10,75.6,0.00239518734222355,0.00245845528406397
10,75.63,0.00240243271270257,0.00246513623581024
10,75.66,0.00240969457484985,0.00247185327235122
10,75.69,0.00241697660497286,0.00247860919980469
10,75.72,0.00242428311762655,0.00248540747080528
10,75.75,0.002431619072644,0.00249225224172667
10,75.78,0.00243899009989679,0.00249914845179422
10,75.81,0.00244640254738004,0.00250610193344258
10,75.84,0.00245386355804533,0.00251311956460631
10,75.87,0.00246138118442685,0.00252020947926235
10,75.9,0.00246896455218626,0.00252738135779285
10,75.93,0.00247662409049254,0.00253464683032845
10,75.96,0.00248437185493144,0.00254202004170911
10,75.99,0.00249222198297083,0.00254951845346574
10,76.02,0.00250019134486745,0.00255716400180339
