"angle [deg]","Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
0,75,0.0237630160352399,0.0227002353060908
0,75.03,0.0238023760521606,0.0227451841918139
0,75.06,0.0238386499552501,0.0227890416878753
0,75.09,0.0238726596934747,0.0228328053511497
0,75.12,0.0239054366864357,0.0228777404218491
0,75.15,0.0239382299485965,0.0229253992354838
0,75.18,0.0239725206983284,0.0229776514079135
0,75.21,0.0240100448056609,0.0230367275246695
0,75.24,0.0240528248827107,0.0231052800851123
0,75.27,0.0241032144404585,0.0231864669013834
0,75.3,0.0241639573906618,0.0232840642326174
0,75.33,0.0242382673725329,0.0234026199708259
0,75.36,0.0243299330811654,0.0235476616840035
0,75.39,0.0244434582116949,0.0237259810753453
0,75.42,0.0245842481744954,0.0239460267534124
0,75.45,0.0247588609655534,0.0242184533409576
0,75.48,0.0249753474159506,0.0245569006629864
0,75.51,0.0252437180147946,0.0249791187068823
0,75.54,0.0255765921292063,0.0255086242712387
0,75.57,0.0259901150592611,0.0261771961655559
0,75.6,0.0265052765656756,0.0270287308674846
0,75.63,0.0271498450347885,0.0281253768196981
0,75.66,0.0279612700008229,0.029557625968298
0,75.69,0.028991152262672,0.031461569339947
0,75.72,0.0303123366964,0.034049762446751
0,75.75,0.0320305650042992,0.0376694494372919
0,75.78,0.0343044287737021,0.0429196035735953
0,75.81,0.0373813101458693,0.0509050554270387
0,75.84,0.0416664478650429,0.0638432211514516
0,75.87,0.047867883989022,0.0866941137449579
0,75.9,0.0573430616321655,0.132218777315612
0,75.93,0.0731152529406113,0.239146099344482
0,75.96,0.103586103116997,0.527200132065125
0,75.99,0.165080020271548,0.863276081495025
0,76.02,0.262154098799295,0.464421206280805
0,76.05,0.485186516022009,0.221304968185092
0,76.08,0.793416881259977,0.134409326767561
0,76.11,0.561450765412189,0.0825119990470894
0,76.14,0.270173870477526,0.0543176282590021
0,76.17,0.145294519588782,0.0405344346334655
0,76.2,0.0905867128528264,0.0328121032841203
0,76.23,0.0631966131511642,0.027982888911537
0,76.26,0.0478367925162108,0.0247317047832369
0,76.29,0.0384409255495762,0.0224243878867619
0,76.32,0.0322944910181555,0.0207199622776684
0,76.35,0.0280545884360954,0.0194204339109058
0,76.38,0.0250010642770875,0.0184041557755468
0,76.41,0.0227217589751915,0.0175931335058056
