"angle [deg]","Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
0,75,0.0115373476829504,0.0109457305469702
0,75.03,0.011615714408951,0.0109995822623585
0,75.06,0.0117043336906532,0.0110591705680904
0,75.09,0.0118073374541174,0.0111269335553985
0,75.12,0.0119305920552046,0.0112061575559746
0,75.15,0.0120829016514854,0.011301510343705
0,75.18,0.0122783981894232,0.0114200726954081
0,75.21,0.0125417222893798,0.0115735241481545
0,75.24,0.012920551092385,0.0117833276519614
0,75.27,0.0135205033475569,0.0120949458526074
0,75.3,0.0146231637233117,0.0126252642013459
0,75.33,0.0172164472905036,0.013773060284095
0,75.36,0.0267455658428002,0.0176865844919246
0,75.39,0.082978056836137,0.0395543836897209
0,75.42,0.0371233452919939,0.0214820223482145
0,75.45,0.0208843645025114,0.0155211990669916
0,75.48,0.0180669839531661,0.0147941504082832
0,75.51,0.0178184405467184,0.0151439175398896
0,75.54,0.0186270145122834,0.0160503951936175
0,75.57,0.020293721341105,0.017532598714635
0,75.6,0.0230697168231957,0.0198592017588728
0,75.63,0.0276896342056702,0.0236635221492614
0,75.66,0.0359519513711198,0.0304642417545354
0,75.69,0.0529327603263532,0.0446154603824891
0,75.72,0.0979971352072809,0.0833638929130284
0,75.75,0.298603188123891,0.26863810246422
0,75.78,0.972127690510732,0.959105354175734
0,75.81,0.707055509722996,0.595252412545477
0,75.84,0.154388833397505,0.119318117299647
0,75.87,0.0587992785336994,0.0450107430555664
0,75.9,0.0322339429352565,0.0250645465420003
0,75.93,0.02156722935405,0.0171876354210336
0,75.96,0.0163038603472949,0.0133407147435866
0,75.99,0.0133458638528547,0.0111946449366866
0,76.02,0.0115262872616786,0.00988172560621003
0,76.05,0.0103290529355511,0.0090211481850756
0,76.08,0.00949850279812525,0.00842539836807865
0,76.11,0.00889681068573034,0.00799391457017962
0,76.14,0.00844464342488305,0.00766909546506822
0,76.17,0.00809388634757469,0.00741617325604305
0,76.2,0.00781408605999401,0.00721324822159086
0,76.23,0.00758527085424932,0.00704602935797261
0,76.26,0.00739394410833705,0.00690490866714877
0,76.29,0.00723074766607734,0.00678326006041607
0,76.32,0.00708904692918555,0.0066764123318368
0,76.35,0.00696404580571397,0.00658100863069033
0,76.38,0.00685221719069418,0.00649459552165588
0,76.41,0.00675092724016491,0.0064153527057822
0,76.44,0.00665818195936319,0.00634191130244977
0,76.47,0.00657245288517616,0.00627322925727225
0,76.5,0.00649255503803836,0.00620850440684462
0,76.53,0.00641756009852945,0.00614711285576952
0,76.56,0.00634673374596506,0.00608856467076946
0,76.59,0.00627948984074655,0.00603247161461518
0,76.62,0.00621535652161109,0.00597852337299143
0,76.65,0.00615395084762504,0.00592646985509226
0,76.68,0.00609495964247986,0.00587610788961568
0,76.71,0.00603812489491029,0.00582727114015702
0,76.74,0.00598323253985777,0.00577982240176533
0,76.77,0.00593010377451364,0.0057336476773201
