"angle [deg]","Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
0,75,0.0620309340589287,0.0619739259769033
0,75.03,0.048067189048471,0.0479851769668143
0,75.06,0.0367542376594826,0.0366726753709462
0,75.09,0.0279452003945143,0.0278758504576994
0,75.12,0.0212755899671996,0.0212218463753093
0,75.15,0.0163282627924908,0.0162892625811593
0,75.18,0.0127181628098287,0.0126913260264614
0,75.21,0.0101237911851253,0.0101061684099408
0,75.24,0.00829083009533127,0.00827971881525635
0,75.27,0.00702412212207604,0.0070172892282947
0,75.3,0.00617642520662043,0.00617213900960567
0,75.33,0.00563763763620762,0.00563461928730402
0,75.36,0.0053257656281579,0.00532311458919599
0,75.39,0.00517981959470504,0.00517693804912822
0,75.42,0.00515441235353753,0.00515093845878889
0,75.45,0.00521572523085068,0.00521147801583688
0,75.48,0.00533852324222017,0.00533345886616787
0,75.51,0.00550395491529454,0.00549813285814749
0,75.54,0.00569793121852291,0.00569148871582725
0,75.57,0.00590992918302646,0.00590306233387061
0,75.6,0.00613210632544237,0.00612505654726214
0,75.63,0.00635864266578157,0.00635168743698444
0,75.66,0.00658524980880548,0.00657869688662049
0,75.69,0.00680880309040233,0.00680298760493336
0,75.72,0.00702706476627246,0.0070223487735529
0,75.75,0.00723847487392282,0.0072352491073846
0,75.78,0.0074419926539453,0.00744068035375389
0,75.81,0.00763697594686963,0.00763803877945979
0,75.84,0.00782308927549347,0.00782703549146491
0,75.87,0.00800023372642988,0.00800762885535977
0,75.9,0.00816849350985072,0.00817997406954107
0,75.93,0.00832809538107748,0.00834438630485568
0,75.96,0.00847937807997401,0.00850131486444139
0,75.99,0.00862276967809739,0.00865132666241208
0,76.02,0.00875877128721925,0.00879509804901724
0,76.05,0.00888794602926257,0.00893341470696252
0,76.08,0.00901091253771191,0.0090671800978126
0,76.11,0.00912834259334283,0.0091974338692099
0,76.14,0.00924096282971676,0.00932538291771023
0,76.17,0.00934956082712202,0.00945244972991
0,76.2,0.00945499641858216,0.00958034569917343
0,76.23,0.00955821978108806,0.00971118225752365
0,76.26,0.00966029910225408,0.00984764162220753
0,76.29,0.00976246272841375,0.00999324519828193
0,76.32,0.00986616460840439,0.0101527883858813
0,76.35,0.00997318947001813,0.0103330713302771
0,76.38,0.0100858299422376,0.0105441820028439
0,76.41,0.0102072026633604,0.0108018693514471
0,76.44,0.0103418532815358,0.0111322150299672
0,76.47,0.0104970157792991,0.0115815570255849
0,76.5,0.0106855166969012,0.01223967305826
0,76.53,0.0109333965151457,0.0133010251734763
0,76.56,0.0113036386303494,0.0152557704831553
0,76.59,0.0119902795313023,0.0196458739486993
0,76.62,0.013861386849485,0.0334070733953741
0,76.65,0.0239096741242276,0.112048633100822
0,76.68,0.0288617095587199,0.146718092572547
0,76.71,0.015675155138985,0.0403788381971325
0,76.74,0.0138092074236976,0.0232530200918392
0,76.77,0.0135988026462752,0.0184967994586384
0,76.8,0.0138908807676695,0.0168650946164746
0,76.83,0.0144779332791386,0.016454959445948
0,76.86,0.0153460368258576,0.016729253692659
0,76.89,0.0165644378348984,0.0175507372080332
0,76.92,0.0182832140013723,0.01896964696642
0,76.95,0.0207819282749689,0.0212027839765276
0,76.98,0.0245970644161553,0.0247257531313387
0,77.01,0.0308499637302945,0.030559413611056
0,77.04,0.0422070797038766,0.0411194279064435
0,77.07,0.0663220020587165,0.0632034806515512
0,77.1,0.132391690332734,0.121893296691831
0,77.13,0.400374604845178,0.35103014918956
0,77.16,0.718968278573042,0.771841497494228
0,77.19,0.188798995078809,0.216708169665375
0,77.22,0.0688655369053732,0.0756802153362569
0,77.25,0.0357417652930478,0.0382816124534774
0,77.28,0.0228237091694281,0.0240724931873353
0,77.31,0.0166369983636012,0.0173729417739993
0,77.34,0.0132574716608939,0.0137486411024027
0,77.37,0.0112349244700715,0.0115928685282775
0,77.4,0.00994002907277791,0.0102179085524451
0,77.43,0.00906641155940391,0.00929229428608058
0,77.46,0.00845149056911954,0.00864143905488501
0,77.49,0.00800301075462717,0.00816683799826434
0,77.52,0.0076657435794989,0.00780977908480052
0,77.55,0.00740514911515877,0.0075336674121157
0,77.58,0.00719882697449059,0.00731483093537655
0,77.61,0.00703179807484,0.00713747083828054
0,77.64,0.00689378109722494,0.00699075849975683
0,77.67,0.00677755893848497,0.00686710018887993
0,77.7,0.00667796594956371,0.00676106427894074
0,77.73,0.00659124164869584,0.00666869829557515
0,77.76,0.00651460768318946,0.00658708277725251
0,77.79,0.0064459846129119,0.00651403309448118
0,77.82,0.00638379845329828,0.00644789605470097
0,77.85,0.00632684612546941,0.00638740860172571
0,77.88,0.00627420034154025,0.00633159802057948
0,77.91,0.00622514137040286,0.00627971039701736
0,77.94,0.00617910742601202,0.00623115863008605
0,77.97,0.00613565815315731,0.00618548418387277
0,78,0.0060944474503255,0.00614232862643582
10,75,0.0509851518403247,0.00981762051862245
10,75.03,0.0449352582620468,0.00988237738193098
10,75.06,0.0402600190137694,0.0100257274357085
10,75.09,0.0365872611185595,0.0102577640462316
10,75.12,0.0336609572803871,0.0106085219377906
10,75.15,0.0313012198248118,0.0111456931777113
10,75.18,0.0293794262761264,0.0120222192103649
10,75.21,0.0278025265740898,0.0136234832592399
10,75.24,0.0265032940491577,0.017140234533417
10,75.27,0.0254351060334879,0.0277872096384659
10,75.3,0.0245714194932831,0.0850157448814877
