"angle [deg]","Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
0,75,0.0414983265941949,0.0419238709749671
0,75.03,0.0419859444810109,0.0424008646837482
0,75.06,0.0424745060727766,0.0428775321819689
0,75.09,0.0429625261943274,0.043352352043189
0,75.12,0.0434484024672472,0.0438236897886519
0,75.15,0.0439304167512133,0.0442898003530469
0,75.18,0.0444067378822458,0.0447488318797847
0,75.21,0.0448754259360575,0.0451988310535117
0,75.24,0.0453344382419744,0.0456377501702032
0,75.27,0.0457816373641816,0.0460634561316837
0,75.3,0.0462148012506742,0.0464737415305198
0,75.33,0.0466316357260209,0.0468663379627291
0,75.36,0.0470297894688383,0.0472389316672035
0,75.39,0.0474068715706421,0.0475891815439943
0,75.42,0.0477604717168679,0.0479147395469413
0,75.45,0.0480881829652874,0.048213273381178
0,75.48,0.048387627020774,0.0484824913626976
0,75.51,0.0486564818224268,0.0487201692192749
0,75.54,0.0488925111696286,0.0489241785301147
0,75.57,0.0490935960221922,0.0490925164199426
0,75.6,0.0492577670202758,0.0492233360458905
0,75.63,0.04938323768678,0.049314977346
0,75.66,0.0494684377039217,0.0493659974622147
0,75.69,0.0495120456021096,0.0493752002118866
0,75.72,0.0495130201683476,0.0493416639653548
0,75.75,0.0494706298785585,0.0492647672965352
0,75.78,0.0493844796870354,0.0491442118116006
0,75.81,0.0492545345695522,0.0489800416290213
0,75.84,0.0490811393165846,0.0487726590838886
0,75.87,0.0488650342079047,0.0485228363576726
0,75.9,0.0486073663687974,0.0482317228901771
0,75.93,0.0483096968072221,0.0479008486090349
0,75.96,0.0479740033557531,0.0475321232087871
0,75.99,0.0476026799871913,0.0471278319216472
0,76.02,0.0471985332339102,0.0466906284412734
0,76.05,0.0467647767146473,0.0462235258852641
0,76.08,0.0463050250576549,0.0457298869108921
0,76.11,0.0458232888094476,0.045213414333634
0,76.14,0.04532397224172,0.0446781438455519
0,76.17,0.0448118763312394,0.0441284407020474
0,76.2,0.0442922096135919,0.0435690025602815
0,76.23,0.0437706101399141,0.0430048710390263
0,76.26,0.043253182451244,0.0424414550694705
0,76.29,0.0427465544068377,0.0418845697777945
0,76.32,0.0422579599770503,0.0413404955696155
0,76.35,0.0417953559008772,0.0408160633919515
0,76.38,0.0413675826598636,0.0403187740114062
0,76.41,0.0409845838944554,0.0398569618284549
0,76.44,0.0406577037397012,0.0394400176481674
0,76.47,0.0404000894365352,0.0390786905612075
0,76.5,0.0402272383289541,0.0387854976237374
0,76.53,0.0401577461510089,0.0385752829153029
0,76.56,0.0402143408909386,0.0384659873445371
0,76.59,0.0404253294611836,0.0384797215412739
0,76.62,0.0408266531530396,0.0386442836652775
0,76.65,0.0414648605098734,0.0389953449582908
0,76.68,0.0424014956470973,0.039579661965194
0,76.71,0.0437197276403288,0.0404599098609795
0,76.74,0.045534631406404,0.0417221524348267
0,76.77,0.0480096116942785,0.0434877453061219
0,76.8,0.0513835401973568,0.0459329779253763
0,76.83,0.056017348029219,0.0493228116732531
0,76.86,0.0624776025909471,0.0540715660886005
0,76.89,0.0716940975033735,0.0608580285437196
0,76.92,0.0852742145036179,0.0708574520321188
0,76.95,0.106169872401399,0.0862419243687146
0,76.98,0.140181792211387,0.111338441482747
0,77.01,0.199487307631129,0.155463134709296
0,77.04,0.310330568945196,0.239657267116851
0,77.07,0.519640296756042,0.40590452111797
0,77.1,0.825279013113363,0.674009317657062
0,77.13,0.996007393125877,0.882611844348552
0,77.16,0.972015292344017,0.95197697163299
0,77.19,0.936294505308074,0.998422025541118
0,77.22,0.820099679590395,0.919852204119104
0,77.25,0.571710832591044,0.653577061512483
0,77.28,0.354118022818828,0.404660021683984
0,77.31,0.224264915143235,0.253804566311183
0,77.34,0.151837213637166,0.169629914618591
0,77.37,0.109756021799529,0.121012777959811
0,77.4,0.0837304015579921,0.0912057137027735
0,77.43,0.0666534547788756,0.0718372440342956
0,77.46,0.0548661818869771,0.0585995284524182
0,77.49,0.0463788590773296,0.0491580363371316
0,77.52,0.0400486256172097,0.04217861939921
0,77.55,0.0351857606885856,0.0368608927182799
0,77.58,0.0313556072217744,0.0327036780957501
0,77.61,0.0282737759395877,0.0293812084733768
0,77.64,0.025748043762053,0.0266747299503265
0,77.67,0.0236447530557811,0.0244331098920897
0,77.7,0.0218686360364889,0.0225492917134992
0,77.73,0.0203502892723978,0.0209457476089607
0,77.76,0.019038163446594,0.0195652211652741
0,77.79,0.0178933034341294,0.0183646786296457
0,77.82,0.0168858116864629,0.0173112619545472
0,77.85,0.0159924192354234,0.0163795227697917
0,77.88,0.0151947851293386,0.0155494950373392
0,77.91,0.0144782849929231,0.0148053283852662
0,77.94,0.013831134284272,0.0141343034401266
0,77.97,0.0132437445609861,0.013526111968194
0,78,0.0127082445395498,0.0129723235228948
10,75,0.0224334441887551,0.0397426991122186
10,75.03,0.0224757713122274,0.0390456102780397
10,75.06,0.0225711923577976,0.0385192242584584
10,75.09,0.0227146650951473,0.0381715111540394
10,75.12,0.0229029207942526,0.0380118089367062
10,75.15,0.0231341606945348,0.0380530389069723
10,75.18,0.0234078755275258,0.0383141668976085
10,75.21,0.0237247762113826,0.0388233696377566
10,75.24,0.0240868405017842,0.0396226168687024
10,75.27,0.0244975027789223,0.0407748787238956
10,75.3,0.0249620514148635,0.0423761975158586
10,75.33,0.0254883704905084,0.0445770824831481
10,75.36,0.0260883200812362,0.0476227618636216
10,75.39,0.026780429359317,0.0519343405798083
10,75.42,0.0275956005316916,0.0582867256804497
10,75.45,0.028590652366689,0.0682411460099933
10,75.48,0.0298856302102515,0.0853386184482217
10,75.51,0.0317865588502865,0.118886807317306
10,75.54,0.0352341410876086,0.196022213181981
