Frequency_GHz,Abs0deg,Abs10deg,Abs20deg
75,2.26717634354175e-05,2.19433716718296e-05,2.19433716718296e-05
75.006012024,2.2661074759754e-05,2.18204206252092e-05,2.18204206252092e-05
75.0120240481,2.299537130942e-05,2.20232966293485e-05,2.20232966293485e-05
75.0180360721,2.28748597491268e-05,2.25359732029768e-05,2.25359732029768e-05
75.0240480962,2.25851864302781e-05,2.22585338359961e-05,2.22585338359961e-05
75.0300601202,2.30636811262639e-05,2.19893612991027e-05,2.19893612991027e-05
75.0360721443,2.32045489758807e-05,2.1984827241994e-05,2.1984827241994e-05
75.0420841683,2.30816047271173e-05,2.19905884024409e-05,2.19905884024409e-05
75.0480961924,2.30189547497096e-05,2.27007004282742e-05,2.27007004282742e-05
75.0541082164,2.3133699178098e-05,2.23307828659606e-05,2.23307828659606e-05
75.0601202405,2.33378221243988e-05,2.21372108352425e-05,2.21372108352425e-05
75.0661322645,2.33170554725406e-05,2.24113138711746e-05,2.24113138711746e-05
75.0721442886,2.33055064219536e-05,2.23029569696786e-05,2.23029569696786e-05
75.0781563126,2.35432602986055e-05,2.23007224425044e-05,2.23007224425044e-05
75.0841683367,2.3355543098113e-05,2.23719000234071e-05,2.23719000234071e-05
75.0901803607,2.35081866683688e-05,2.19230288480813e-05,2.19230288480813e-05
75.0961923848,2.37009001801696e-05,2.27467809633914e-05,2.27467809633914e-05
75.1022044088,2.37071620699408e-05,2.26323633241269e-05,2.26323633241269e-05
75.1082164329,2.40179665277455e-05,2.25084390164917e-05,2.25084390164917e-05
75.1142284569,2.37996822573897e-05,2.22429972544338e-05,2.22429972544338e-05
75.120240481,2.344919440006e-05,2.21599896861208e-05,2.21599896861208e-05
75.126252505,2.38360188206947e-05,2.28235623243829e-05,2.28235623243829e-05
75.1322645291,2.42164213237351e-05,2.28089981993139e-05,2.28089981993139e-05
75.1382765531,2.36823424885497e-05,2.2969674789971e-05,2.2969674789971e-05
75.1442885772,2.384980953641e-05,2.26422852992182e-05,2.26422852992182e-05
75.1503006012,2.4166021499205e-05,2.23648133346276e-05,2.23648133346276e-05
75.1563126253,2.429111098358e-05,2.26012545044516e-05,2.26012545044516e-05
75.1623246493,2.42170864998312e-05,2.27738516660116e-05,2.27738516660116e-05
75.1683366733,2.43111929645057e-05,2.27859299723015e-05,2.27859299723015e-05
75.1743486974,2.4396613692301e-05,2.26303653475599e-05,2.26303653475599e-05
75.1803607214,2.4518512577042e-05,2.27685869685819e-05,2.27685869685819e-05
75.1863727455,2.49692730660594e-05,2.29128111794913e-05,2.29128111794913e-05
75.1923847695,2.44763844064138e-05,2.24812269300844e-05,2.24812269300844e-05
75.1983967936,2.50438981428358e-05,2.28805778083232e-05,2.28805778083232e-05
75.2044088176,2.46138457561978e-05,2.29070346834443e-05,2.29070346834443e-05
75.2104208417,2.45888830172658e-05,2.26681946274757e-05,2.26681946274757e-05
75.2164328657,2.51617628588492e-05,2.27213384784014e-05,2.27213384784014e-05
75.2224448898,2.50799286604385e-05,2.2776900660578e-05,2.2776900660578e-05
75.2284569138,2.51898605279308e-05,2.27066504703233e-05,2.27066504703233e-05
75.2344689379,2.51709317985462e-05,2.29409486692537e-05,2.29409486692537e-05
75.2404809619,2.51337197318704e-05,2.28024992810332e-05,2.28024992810332e-05
75.246492986,2.53314469849318e-05,2.29284530355643e-05,2.29284530355643e-05
75.25250501,2.51368327314483e-05,2.2850005329301e-05,2.2850005329301e-05
75.2585170341,2.51562977207082e-05,2.30462548599263e-05,2.30462548599263e-05
75.2645290581,2.53462669539815e-05,2.32167331779931e-05,2.32167331779931e-05
75.2705410822,2.56610907932525e-05,2.28041155738081e-05,2.28041155738081e-05
75.2765531062,2.56831264249828e-05,2.25250834530774e-05,2.25250834530774e-05
75.2825651303,2.56874826921776e-05,2.26725649600413e-05,2.26725649600413e-05
75.2885771543,2.5706963831534e-05,2.30562438925261e-05,2.30562438925261e-05
75.2945891784,2.58607030720672e-05,2.32571718712657e-05,2.32571718712657e-05
75.3006012024,2.60045916486436e-05,2.27241832627434e-05,2.27241832627434e-05
75.3066132265,2.62058379288515e-05,2.31656767629538e-05,2.31656767629538e-05
75.3126252505,2.59730141275283e-05,2.29052096806977e-05,2.29052096806977e-05
75.3186372745,2.60330719550466e-05,2.32632436255523e-05,2.32632436255523e-05
75.3246492986,2.59797946605255e-05,2.33013578580718e-05,2.33013578580718e-05
75.3306613226,2.62506192422211e-05,2.27525764625745e-05,2.27525764625745e-05
75.3366733467,2.63156447838377e-05,2.34024513213744e-05,2.34024513213744e-05
75.3426853707,2.66825057221089e-05,2.33306570114389e-05,2.33306570114389e-05
75.3486973948,2.67560695417136e-05,2.28694350522339e-05,2.28694350522339e-05
75.3547094188,2.67061040744914e-05,2.31385956271208e-05,2.31385956271208e-05
75.3607214429,2.68023337695326e-05,2.34707321959772e-05,2.34707321959772e-05
75.3667334669,2.70981015941754e-05,2.32205540469639e-05,2.32205540469639e-05
75.372745491,2.69328546043386e-05,2.31244906464418e-05,2.31244906464418e-05
75.378757515,2.70704377662526e-05,2.2989299742276e-05,2.2989299742276e-05
75.3847695391,2.73093618003306e-05,2.34218390682062e-05,2.34218390682062e-05
75.3907815631,2.73127094856083e-05,2.35060925566316e-05,2.35060925566316e-05
75.3967935872,2.70813350548441e-05,2.30536758833773e-05,2.30536758833773e-05
75.4028056112,2.73924135225349e-05,2.31141079441544e-05,2.31141079441544e-05
75.4088176353,2.76129916253416e-05,2.33564982337983e-05,2.33564982337983e-05
75.4148296593,2.7463632896612e-05,2.35007819156056e-05,2.35007819156056e-05
75.4208416834,2.79476100424642e-05,2.32537019873466e-05,2.32537019873466e-05
75.4268537074,2.7601868810871e-05,2.34620451257465e-05,2.34620451257465e-05
75.4328657315,2.78039071716597e-05,2.34022164889215e-05,2.34022164889215e-05
75.4388777555,2.77628735311864e-05,2.31799639418459e-05,2.31799639418459e-05
75.4448897796,2.78507631654116e-05,2.34435742809938e-05,2.34435742809938e-05
75.4509018036,2.80228610925112e-05,2.34780635553805e-05,2.34780635553805e-05
75.4569138277,2.80626062445056e-05,2.34246872116444e-05,2.34246872116444e-05
75.4629258517,2.80081132760611e-05,2.34390645516271e-05,2.34390645516271e-05
75.4689378758,2.80985399947498e-05,2.34355567315779e-05,2.34355567315779e-05
75.4749498998,2.8382858984134e-05,2.34619080978005e-05,2.34619080978005e-05
75.4809619238,2.84604641895992e-05,2.34916669272098e-05,2.34916669272098e-05
75.4869739479,2.8279460852085e-05,2.34783585037015e-05,2.34783585037015e-05
75.4929859719,2.84534364561444e-05,2.34184361176261e-05,2.34184361176261e-05
75.498997996,2.85744251669358e-05,2.35347448524766e-05,2.35347448524766e-05
75.50501002,2.88262023442958e-05,2.34931318743643e-05,2.34931318743643e-05
75.5110220441,2.85746933317014e-05,2.3656159444493e-05,2.3656159444493e-05
75.5170340681,2.8621294223527e-05,2.35421087987214e-05,2.35421087987214e-05
75.5230460922,2.87920756928765e-05,2.3304164814295e-05,2.3304164814295e-05
75.5290581162,2.92312178731643e-05,2.36107441736908e-05,2.36107441736908e-05
75.5350701403,2.89372149637949e-05,2.38583730344996e-05,2.38583730344996e-05
75.5410821643,2.89722075678688e-05,2.36573743411522e-05,2.36573743411522e-05
75.5470941884,2.93209782847169e-05,2.36984154583902e-05,2.36984154583902e-05
75.5531062124,2.95156679563196e-05,2.37671977364908e-05,2.37671977364908e-05
75.5591182365,2.91626472375379e-05,2.39891010372115e-05,2.39891010372115e-05
75.5651302605,2.92799393778474e-05,2.37879328826204e-05,2.37879328826204e-05
75.5711422846,2.92979684010583e-05,2.36968563781861e-05,2.36968563781861e-05
75.5771543086,2.97796891522033e-05,2.36716056979203e-05,2.36716056979203e-05
75.5831663327,2.98127602275252e-05,2.36993373171167e-05,2.36993373171167e-05
75.5891783567,2.97514899602329e-05,2.39343724335681e-05,2.39343724335681e-05
75.5951903808,2.98593505846238e-05,2.4153591173938e-05,2.4153591173938e-05
75.6012024048,3.00568225720795e-05,2.387280059753e-05,2.387280059753e-05
75.6072144289,3.01696688888855e-05,2.37855231468332e-05,2.37855231468332e-05
75.6132264529,2.99897645896157e-05,2.37077860446993e-05,2.37077860446993e-05
75.619238477,3.01159330152297e-05,2.38874131334299e-05,2.38874131334299e-05
75.625250501,3.02453499455815e-05,2.40577505410868e-05,2.40577505410868e-05
75.6312625251,3.00735354753849e-05,2.4131227781536e-05,2.4131227781536e-05
75.6372745491,3.02680800984384e-05,2.41113509157884e-05,2.41113509157884e-05
75.6432865731,3.06875298824663e-05,2.38615348686094e-05,2.38615348686094e-05
75.6492985972,3.05460462329001e-05,2.38406777331826e-05,2.38406777331826e-05
75.6553106212,3.04999680415401e-05,2.41736913270904e-05,2.41736913270904e-05
75.6613226453,3.0859009996969e-05,2.398184407297e-05,2.398184407297e-05
75.6673346693,3.09192416507145e-05,2.4225338957098e-05,2.4225338957098e-05
75.6733466934,3.09147744946693e-05,2.42482737038439e-05,2.42482737038439e-05
75.6793587174,3.10721037686592e-05,2.42094669768364e-05,2.42094669768364e-05
75.6853707415,3.11582090039863e-05,2.41511403303542e-05,2.41511403303542e-05
75.6913827655,3.12774907576147e-05,2.41238760571573e-05,2.41238760571573e-05
75.6973947896,3.0958736008468e-05,2.40146183822698e-05,2.40146183822698e-05
75.7034068136,3.14960901248809e-05,2.44434596254648e-05,2.44434596254648e-05
75.7094188377,3.16820726412655e-05,2.43451734049296e-05,2.43451734049296e-05
75.7154308617,3.16193176769907e-05,2.4434010037066e-05,2.4434010037066e-05
75.7214428858,3.16963823531135e-05,2.43066496881756e-05,2.43066496881756e-05
75.7274549098,3.15994178996491e-05,2.41689005166674e-05,2.41689005166674e-05
75.7334669339,3.17027089535434e-05,2.43741293839644e-05,2.43741293839644e-05
75.7394789579,3.18863572717249e-05,2.44463399981315e-05,2.44463399981315e-05
75.745490982,3.21305697384122e-05,2.44215671312458e-05,2.44215671312458e-05
75.751503006,3.20695026760378e-05,2.43411637242601e-05,2.43411637242601e-05
75.7575150301,3.19347233395814e-05,2.44231758252605e-05,2.44231758252605e-05
75.7635270541,3.24900252103505e-05,2.45229495361362e-05,2.45229495361362e-05
75.7695390782,3.242423122622e-05,2.47264688971451e-05,2.47264688971451e-05
75.7755511022,3.25534026166175e-05,2.45869493064505e-05,2.45869493064505e-05
75.7815631263,3.26017218149953e-05,2.45105603492558e-05,2.45105603492558e-05
75.7875751503,3.26854514746752e-05,2.4578063825082e-05,2.4578063825082e-05
75.7935871743,3.27075560632146e-05,2.46456923136089e-05,2.46456923136089e-05
75.7995991984,3.30571268014591e-05,2.48122355821785e-05,2.48122355821785e-05
75.8056112224,3.30434720856637e-05,2.45854564926481e-05,2.45854564926481e-05
75.8116232465,3.31255636597713e-05,2.44265093409216e-05,2.44265093409216e-05
75.8176352705,3.30832344744903e-05,2.47333635592467e-05,2.47333635592467e-05
75.8236472946,3.33441745952458e-05,2.47234481270005e-05,2.47234481270005e-05
75.8296593186,3.34876450933908e-05,2.48023214100892e-05,2.48023214100892e-05
