"angle [deg]","Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
0,75,0.00703612757885619,0.00546217275864924
0,75.03,0.00723012366959785,0.00557932954677109
0,75.06,0.00743888923907077,0.0057047002017595
0,75.09,0.00766386980020417,0.00583898925814275
0,75.12,0.00790675278088393,0.00598301751127528
0,75.15,0.00816951019034418,0.00613774047601623
0,75.18,0.00845445094512309,0.00630427074525053
0,75.21,0.00876428542341878,0.00648390520883368
0,75.24,0.00910220561235442,0.00667815836847818
0,75.27,0.0094719852941495,0.00688880335163
0,75.3,0.00987810619726703,0.00711792271879663
0,75.33,0.0103259180897336,0.00736797182611315
0,75.36,0.0108218436617634,0.00764185841645126
0,75.39,0.0113736431107088,0.00794304337275387
0,75.42,0.0119907591736588,0.00827566932904433
0,75.45,0.0126847718333596,0.00864472632663171
0,75.48,0.013470004433794,0.00905626727328135
0,75.51,0.0143643416935023,0.00951769115203727
0,75.54,0.0153903486896775,0.0100381195792153
0,75.57,0.0165768242752018,0.0106289037858058
0,75.6,0.0179609927204506,0.0113043166112912
0,75.63,0.0195916512734541,0.012082511359338
0,75.66,0.021533780289443,0.0129868727157274
0,75.69,0.0238754444450929,0.0140479555224872
0,75.72,0.0267383780196272,0.0153063252339293
0,75.75,0.0302946695748266,0.0168168171343618
0,75.78,0.0347938803585259,0.0186550932188853
0,75.81,0.0406086783016611,0.0209280443836255
0,75.84,0.0483147154974262,0.0237908755714205
0,75.87,0.0588368423438584,0.0274763243039914
0,75.9,0.0737306089390976,0.0323470569912681
0,75.93,0.0957552649757679,0.0389950288955391
0,75.96,0.130108634120036,0.0484425483341132
0,75.99,0.187206654952529,0.0625788898455467
0,76.02,0.288740695400088,0.0851616322436402
0,76.05,0.475409805758077,0.123961727916402
0,76.08,0.762345365264642,0.192320173266386
0,76.11,0.88797943720985,0.298963697299611
0,76.14,0.647798474607419,0.476354363817105
0,76.17,0.407145678106415,0.806137665816062
0,76.2,0.254465234717923,0.906647509006004
0,76.23,0.152246267560271,0.524467004595584
0,76.26,0.098076466801317,0.267595107178124
0,76.29,0.0685710680805718,0.150849319801924
0,76.32,0.0507622548455346,0.0944018787546699
0,76.35,0.0391688047288242,0.0640344478062866
0,76.38,0.031207457046846,0.0461566534538072
0,76.41,0.025517764646807,0.0348652898283184
0,76.44,0.0213225100211101,0.0273325394786428
0,76.47,0.0181500195687981,0.0220850049360357
0,76.5,0.0157002883781816,0.018299907061686
0,76.53,0.0137751268364678,0.0154908230912258
0,76.56,0.0122394162140229,0.0133562407388745
0,76.59,0.010998541637289,0.0117016875341197
