"angle [deg]","Freq [GHz]","AbsorbanceTE []","AbsorbanceTM []"
0,75,0.0326914347582952,0.0327696150232384
0,75.03,0.0328882686652566,0.0329680109590346
0,75.06,0.033107247627583,0.0331890041697275
0,75.09,0.0333470379855096,0.0334312782635058
0,75.12,0.0336064502332976,0.0336936631645959
0,75.15,0.0338844129576439,0.0339751089886801
0,75.18,0.0341799504471049,0.034274663590098
0,75.21,0.0344921632579122,0.0345914530613033
0,75.24,0.0348202111653479,0.0349246646090186
0,75.27,0.0351632980438815,0.0352735313456557
0,75.3,0.0355206583085323,0.0356373186237635
0,75.33,0.035891544623193,0.0360153116144106
0,75.36,0.0362752166396993,0.0364068038882824
0,75.39,0.0366709305806928,0.036811086807327
0,75.42,0.03707792951935,0.0372274395746163
0,75.45,0.0374954342450283,0.0376551198258955
0,75.48,0.0379226346333864,0.0380933546757076
0,75.51,0.0383586814674111,0.0385413321588031
0,75.54,0.0388026786812089,0.0389981930331681
0,75.57,0.0392536760209891,0.0394630229338022
0,75.6,0.0397106621406861,0.0399348448899532
0,75.63,0.0401725581711665,0.0404126122408293
0,75.66,0.0406382118226032,0.0408952020065282
0,75.69,0.0411063921003394,0.0413814087932134
0,75.72,0.0415757847342935,0.0418699393331886
0,75.75,0.0420449884409014,0.0423594077819162
0,75.78,0.0425125121540427,0.0428483319143763
0,75.81,0.0429767733775146,0.043335130382734
0,75.84,0.0434360978247426,0.0438181212143819
0,75.87,0.0438887205214158,0.0442955217438775
0,75.9,0.0443327885524331,0.0447654501828417
0,75.93,0.0447663656349321,0.0452259290374394
0,75.96,0.0451874386931912,0.0456748905823057
0,75.99,0.0455939265974884,0.0461101845911889
0,76.02,0.0459836912071334,0.0465295885074174
0,76.05,0.046354550826561,0.0469308202098592
0,76.08,0.0467042961418516,0.0473115534912494
0,76.11,0.0470307086544159,0.0476694363162279
0,76.14,0.0473315815669429,0.048002111863864
0,76.17,0.047604743007423,0.0483072422867646
0,76.2,0.0478480814003648,0.0485825350359366
0,76.23,0.048059572712433,0.0488257715094739
0,76.26,0.0482373092173088,0.0490348376883806
0,76.29,0.0483795293431452,0.0492077563260751
0,76.32,0.0484846480933162,0.0493427201675608
0,76.35,0.0485512874678695,0.0494381255910391
0,76.38,0.0485783062690764,0.0494926059997164
0,76.41,0.0485648286498753,0.0495050642459882
0,76.44,0.0485102707678534,0.0494747033541983
0,76.47,0.0484143649386483,0.0494010548223427
0,76.5,0.0482771807475081,0.049284003834667
0,76.53,0.0480991426756774,0.0491238108069434
0,76.56,0.0478810439265093,0.0489211288121918
0,76.59,0.0476240562985434,0.048677016601375
0,76.62,0.0473297361377253,0.0483929471291247
0,76.65,0.04700002661231,0.0480708117226463
0,76.68,0.0466372567806143,0.0477129202799911
0,76.71,0.0462441381640846,0.0473219981507507
0,76.74,0.045823759790184,0.0469011806300484
0,76.77,0.0453795829332551,0.0464540062847186
0,76.8,0.0449154370583722,0.0459844106278856
0,76.83,0.0444355187720548,0.0454967219706514
0,76.86,0.0439443959207543,0.0449956616203109
0,76.89,0.0434470193742982,0.0444863509814116
0,76.92,0.0429487455249903,0.0439743285828468
0,76.95,0.0424553731733056,0.0434655806457511
0,76.98,0.0419731993321304,0.0429665895902841
0,77.01,0.0415090996663402,0.0424844059473773
0,77.04,0.0410706409452464,0.0420267506304232
0,77.07,0.0406662352385743,0.0416021566237349
0,77.1,0.0403053489582612,0.0412201621460477
0,77.13,0.0399987847255975,0.0408915716722533
0,77.16,0.0397590611726512,0.040628807488211
0,77.19,0.0396009263361398,0.0404463837091252
0,77.22,0.039542056121835,0.040361548476454
0,77.25,0.0396040134123187,0.0403951608779229
0,77.28,0.0398135807247674,0.0405729011252004
0,77.31,0.0402046383015174,0.0409269625666565
0,77.34,0.040820854685844,0.0414984540084367
0,77.37,0.0417196140745932,0.0423408712964938
0,77.4,0.0429778713954397,0.0435252156235409
0,77.43,0.0447010914885749,0.0451477122794884
0,77.46,0.0470372675520987,0.0473417517908281
0,77.49,0.0501995802452317,0.0502969037460677
0,77.52,0.05450430114414,0.0542902000695031
0,77.55,0.0604367180806902,0.0597395633361828
0,77.58,0.068771006259022,0.0672990404056035
0,77.61,0.0807994464114455,0.0780370562414996
0,77.64,0.0987960069274367,0.093789022949185
0,77.67,0.127010661554019,0.117897900811228
0,77.7,0.173909766039614,0.156858370625792
0,77.73,0.257181579434157,0.224019567480129
0,77.76,0.411768579015839,0.346334575008659
0,77.79,0.671150299329929,0.558805278819844
0,77.82,0.90409484472893,0.8084371991161
0,77.85,0.854746787606637,0.901059258048134
0,77.88,0.602142326506405,0.729296418733056
0,77.91,0.363864122069172,0.464547662508337
0,77.94,0.223686551302347,0.286203575097179
0,77.97,0.148455211936453,0.186968411116318
0,78,0.106006294866475,0.130851152163146
10,75,0.044222852461158,0.021668491628579
10,75.03,0.0404710613624674,0.0231730361272262
10,75.06,0.0374065866485418,0.0248357765799887
10,75.09,0.0349225297422402,0.0266459871412791
10,75.12,0.0329145181435628,0.0285777267336633
10,75.15,0.0312924700692789,0.0305863475666059
10,75.18,0.0299827420587245,0.0326072978489387
