"angle [deg]","Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
0,75,0.00231844361484812,0.00231612517389346
0,75.03,0.00232821183403098,0.00232584908779121
0,75.06,0.00233836968641365,0.00233596061784269
0,75.09,0.00234878510279057,0.0023463279868764
0,75.12,0.00235937264028485,0.00235686599138862
0,75.15,0.00237008123113613,0.00236752373935423
0,75.18,0.0023808848064415,0.00237827527255441
0,75.21,0.00239177515256539,0.00238911242717266
0,75.24,0.00240275650305111,0.00240003943293066
0,75.27,0.00241384148024149,0.00241106886320275
0,75.3,0.00242504808654076,0.00242221863495884
0,75.33,0.00243639751147662,0.00243350982400647
0,75.36,0.00244791257149746,0.00244496511206782
0,75.39,0.00245961663988714,0.00245660772287615
0,75.42,0.0024715329544267,0.00246846073484686
0,75.45,0.00248368421549805,0.00248054668300535
0,75.48,0.00249609240542459,0.00249288738105979
0,75.51,0.00250877877553024,0.00250550391014148
0,75.54,0.00252176395882253,0.00251841673225028
0,75.57,0.00253506817553106,0.00253164589571697
0,75.6,0.00254871150621605,0.00254521130751051
0,75.63,0.00256271421292942,0.00255913305296362
0,75.66,0.00257709709380571,0.00257343174837066
0,75.69,0.0025918818600682,0.00258812891554228
0,75.72,0.00260709152758953,0.00260324737049111
0,75.75,0.0026227508176222,0.00261881162094457
0,75.78,0.00263888656355959,0.00263484826957572
0,75.81,0.00265552812197245,0.0026513864212343
0,75.84,0.00267270778824258,0.0026684580945211
0,75.87,0.00269046121798389,0.00268609863890168
0,75.9,0.00270882785689297,0.00270434716000967
0,75.93,0.00272785138296383,0.00272324695705961
0,75.96,0.00274758016603438,0.00274284597730101
0,75.99,0.00276806775102079,0.00276319729384322
0,76.02,0.00278937337234153,0.00278435961429679
0,76.05,0.00281156250897918,0.00280639782960135
0,76.08,0.00283470749060477,0.00282938361337237
0,76.11,0.00285888816803059,0.00285339608493385
0,76.14,0.00288419266285067,0.00287852255072318
0,76.17,0.0029107182144088,0.00290485934207108
0,76.2,0.00293857214531357,0.00293251277032425
0,76.23,0.00296787297078094,0.00296160022434777
0,76.26,0.00299875168245167,0.00299225144073445
0,76.29,0.00303135324239601,0.00302460998201914
0,76.32,0.00306583833187091,0.00305883496699766
0,76.35,0.00310238540725616,0.00309510310496353
0,76.38,0.0031411931280021,0.00313361109795818
0,76.41,0.00318248323542569,0.00317457848894964
0,76.44,0.00322650397954383,0.00321825105198281
0,76.47,0.00327353421309395,0.00326490484200681
0,76.5,0.00332388830249997,0.00331485105233364
0,76.53,0.00337792204101728,0.00336844186265117
0,76.56,0.00343603979787921,0.00342607750850388
0,76.59,0.0034987031991357,0.00348821486417283
0,76.62,0.00356644171611264,0.00355537791003691
0,76.65,0.00363986564326457,0.00362817055990572
0,76.68,0.0037196820873594,0.00370729246201551
0,76.71,0.00380671477652916,0.00379355857135222
0,76.74,0.00390192874932782,0.00388792353893652
0,76.77,0.004006461324215,0.00399151229907846
0,76.8,0.00412166121847124,0.00410565869717971
0,76.83,0.0042491383320834,0.00423195463750237
0,76.86,0.00439082761993348,0.00437231312413178
0,76.89,0.00454907175950592,0.00452904983216129
0,76.92,0.00472672916536676,0.00470498966067678
0,76.95,0.0049273165829653,0.00490360735665096
0,76.98,0.00515519945116938,0.00512921518971365
0,77.01,0.00541584915809679,0.00538721649145435
0,77.04,0.00571619536568457,0.0056844527653237
0,77.07,0.00606511565007894,0.00602968589182717
0,77.1,0.00647412702447248,0.0064342788606212
0,77.13,0.0069583801272709,0.00691317398781932
0,77.16,0.00753811708979713,0.00748632662457949
0,77.19,0.0082408570633401,0.00818085323603812
0,77.22,0.00910475487271212,0.00903433039311463
0,77.25,0.0101839093386518,0.0101000050430701
0,77.28,0.0115570256580431,0.0114552899310032
0,77.31,0.0133420806665964,0.0132161327379272
0,77.34,0.015722234816804,0.0155623773544726
0,77.37,0.0189939744023296,0.0187848233379149
0,77.4,0.0236620714322284,0.0233779112259611
0,77.43,0.0306409507945283,0.0302359148338343
0,77.46,0.0417214555748748,0.0411067293981425
0,77.49,0.0607801268965352,0.0597644715160626
0,77.52,0.0973825137707232,0.0954930560269717
0,77.55,0.17946676608156,0.175318805346911
0,77.58,0.402581852292686,0.391822932856723
0,77.61,0.922050002929821,0.909691700725686
0,77.64,0.709882550969839,0.723536195145753
0,77.67,0.290148911756601,0.294797106291232
0,77.7,0.139901520353792,0.141242576132539
0,77.73,0.0804457102013658,0.0808833133145442
0,77.76,0.0521048438845212,0.0522501395735399
0,77.79,0.0366024825687497,0.036639748491118
0,77.82,0.027240790500886,0.0272353902875305
0,77.85,0.0211548415327691,0.0211329132840488
0,77.88,0.0169652225374698,0.0169381547026853
0,77.91,0.0139444134290498,0.0139174816739046
0,77.94,0.0116801769645519,0.0116559387247896
0,77.97,0.00992502281809426,0.00990476803127527
0,78,0.00852311969683928,0.00850753271637605
10,75,0.00504734633642556,0.00226827162900423
10,75.03,0.00639931376254088,0.00228682887748966
10,75.06,0.00931210274760108,0.00229849560327089
10,75.09,0.0180248146388083,0.00230858484827245
10,75.12,0.0753789101448034,0.00232054005947535
10,75.15,0.256944145953759,0.0023369782833903
10,75.18,0.0216054540415197,0.00236168608124854
10,75.21,0.00769195351797347,0.00240391519611438
10,75.24,0.00451069541563354,0.00249569898504443
10,75.27,0.00336651665811261,0.00282872364299758
10,75.3,0.0028529956951171,0.0123256884063824
10,75.33,0.00259105913187052,0.00324335966205602
10,75.36,0.00244652431979531,0.00247109207652252
10,75.39,0.0023629475214656,0.00240064989014488
10,75.42,0.00231355830675306,0.00240341633330832
10,75.45,0.00228449583542234,0.00243674600407306
10,75.48,0.00226815536478508,0.00251675646632155
10,75.51,0.00226113164773178,0.00278642886922242
10,75.54,0.00225900550095559,0.0110903968253813
10,75.57,0.00225632941762011,0.00239853982279636
10,75.6,0.00225898631014854,0.00224723622931811
10,75.63,0.00226339813162002,0.00226181698833483
10,75.66,0.00226897160365791,0.00228009670436558
10,75.69,0.00227534536786855,0.00229565844393398
10,75.72,0.00228227275496251,0.00230884710785551
10,75.75,0.00228958080814268,0.00232033123488939
10,75.78,0.00229714663096026,0.00233060187585055
10,75.81,0.00230488211538649,0.00233999082508307
10,75.84,0.0023127237053302,0.0023487231018875
10,75.87,0.00232062539646993,0.00235695473678088
10,75.9,0.00232855387721143,0.00236479672454792
10,75.93,0.00233648511188622,0.00237233000106751
10,75.96,0.00234440190846041,0.00237961494254457
10,75.99,0.00235229216680544,0.00238669752606724
10,76.02,0.00236014760258973,0.00239361342086919
10,76.05,0.00236796280769613,0.00240039076889831
10,76.08,0.00237573455107587,0.00240705211551173
10,76.11,0.00238346125365962,0.00241361577697097
10,76.14,0.00239114259060147,0.00242009682669764
10,76.17,0.00239877918784037,0.0024265078185145
10,76.2,0.00240637238909636,0.00243285932491832
10,76.23,0.0024139240764478,0.00243916034357028
10,76.26,0.00242143653164195,0.00244541860799397
10,76.29,0.00242891232899267,0.00245164082804683
10,76.32,0.00243635425292787,0.00245783287815537
10,76.35,0.00244376523481726,0.00246399994616942
10,76.38,0.00245114830507931,0.00247014665232392
10,76.41,0.00245850655748736,0.00247627714527821
10,76.44,0.00246584312311338,0.00248239518031135
10,76.47,0.00247316115228025,0.00248850418388535
10,76.5,0.00248046380250655,0.00249460730703388
10,76.53,0.00248775423176473,0.00250070747041908
10,76.56,0.00249503559577102,0.00250680740250064
