"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
40,0.0344001783888069,0.0837834573949864
40.1,0.00962531869042338,0.0210866511337325
40.2,0.00574232968907651,0.0107417583531925
40.3,0.00457816592725557,0.00740461544146997
40.4,0.00414301599383127,0.00599546268263162
40.5,0.00398230934854882,0.00533122269705111
40.6,0.00394952104212198,0.00502544809161376
40.7,0.00398722292592368,0.0049281115441846
40.8,0.00407061369656825,0.00498118166528749
40.9,0.00418978244391732,0.00517712224023481
41,0.00434471125300262,0.00555832700237657
41.1,0.00454847852555418,0.00626173543430908
41.2,0.00484868737491617,0.00770138873678727
41.3,0.00544184621836252,0.011471547310136
41.4,0.0077324408219458,0.0283517807222257
41.5,0.0716378148796342,0.485436599693014
41.6,0.0129557145401816,0.051867677744267
41.7,0.00769971016672066,0.0162247679889915
41.8,0.0070141954766213,0.0105641721588289
41.9,0.00698597084238672,0.00885932884999718
42,0.00717190224316111,0.0082730914485406
42.1,0.0074674994133026,0.00814266348017378
42.2,0.00784032266367285,0.0082502237426354
42.3,0.00828053306381293,0.00851003596605904
42.4,0.00878767151980209,0.00888594095934347
42.5,0.00936635564793054,0.0093640824821617
42.6,0.0100248085665278,0.00994252452758093
42.7,0.010774502686673,0.0106270386217245
42.8,0.0116303640031065,0.0114295254130017
42.9,0.0126113607891333,0.0123677805894739
43,0.0137414549894675,0.0134661366785854
43.1,0.0150509858853518,0.0147568769640793
43.2,0.016578648503183,0.0162825472715343
43.3,0.0183743815398908,0.0180995429971988
43.4,0.0205038168502817,0.0202838112780221
43.5,0.0230558754865888,0.0229407000320455
43.6,0.0261583123609771,0.0262249801154949
43.7,0.0300204451589958,0.0303948296595523
43.8,0.0351163615791387,0.0360395309620122
43.9,0.0438316567187491,0.0461230075090902
44,0.160205725990281,0.192108196826638
44.1,0.0579263813921105,0.0628932950782407
44.2,0.0652502951298602,0.0712626119193671
44.3,0.0780897045560675,0.0867127491924505
44.4,0.0948426750272784,0.106890167404562
44.5,0.115765755261021,0.131376118308792
44.6,0.140270218116629,0.158182006638639
44.7,0.165443673436609,0.182671759801237
44.8,0.185817907170524,0.198810771050712
44.9,0.196128456587648,0.20285584702492
45,0.194904741048624,0.195702792622526
45.1,0.184776099411082,0.18140532295978
45.2,0.169931946630871,0.164295113807589
45.3,0.153882097633937,0.147384784723989
45.4,0.138744474602133,0.132225923976825
45.5,0.125480117826408,0.119363791111867
45.6,0.114348158756357,0.10880589229439
45.7,0.105262435644611,0.100331063202746
45.8,0.0980031027604599,0.0936543606205716
45.9,0.0923234420831122,0.0885020933455415
46,0.087996558169412,0.0846397822369106
46.1,0.084831748273791,0.0818782826700883
46.2,0.0826770971054034,0.0800710416361406
46.3,0.0814166194871078,0.0791085786109715
46.4,0.0809658398511373,0.0789128092206047
46.5,0.0812674865862014,0.079432201007425
46.6,0.0822879393504574,0.0806380357136556
46.7,0.0840146080294477,0.0825217681844821
46.8,0.0864542389375047,0.0850933813656413
46.9,0.0896320871963899,0.0883806283690279
47,0.0935918920570686,0.0924290751755247
47.1,0.098396610837565,0.0973028889692673
47.2,0.104129891194273,0.103086347287444
47.3,0.110898282759326,0.109886067373135
47.4,0.118834201878934,0.117833969109168
47.5,0.128099660713955,0.12709098305888
47.6,0.138890744269606,0.137851487990386
47.7,0.151442749539697,0.150348393828658
47.8,0.166035763530036,0.164858650448868
47.9,0.183000210557715,0.181708719899313
48,0.202721483971838,0.201279140603617
48.1,0.225642110826201,0.224006655769582
48.2,0.252258882148461,0.250381378477659
48.3,0.283110931119517,0.280935039290333
48.4,0.318752864361976,0.316214516937987
48.5,0.359705024448101,0.356732862147137
48.6,0.406371643501151,0.40288873552735
48.7,0.458918919369341,0.45484644483905
48.8,0.517112112143888,0.512375738197574
48.9,0.580127550190186,0.574667050477548
49,0.646383725249944,0.640165742761818
49.1,0.713468965529546,0.706501621270348
49.2,0.778260312167584,0.770606801578776
49.3,0.837296777039149,0.829083915946777
49.4,0.887372061303686,0.878790036575889
49.5,0.926181369178887,0.917473362625301
49.6,0.952783870586562,0.944228008100401
49.7,0.967702119203456,0.959591286838572
49.8,0.972646992424519,0.965272604121961
49.9,0.970014701172879,0.963658407352103
50,0.962352565480843,0.95728670843289
50.1,0.951932285046264,0.948427327902925
50.2,0.940472430247688,0.938808255478251
50.3,0.928978984285681,0.929456455802147
50.4,0.917645498709663,0.920594170940935
50.5,0.905765841998999,0.911542515079221
50.6,0.891652560670903,0.900623454847681
50.7,0.872620337174379,0.885118098262165
50.8,0.845180809855523,0.861429500193703
50.9,0.805655776246757,0.825667671587311
51,0.751327500017866,0.774798241684159
51.1,0.68187350194903,0.708128167820478
51.2,0.60030866492936,0.628353230375228
51.3,0.512571300904399,0.541257584740302
51.4,0.425710465707113,0.453951240463029
51.5,0.345726020437085,0.372665976602268
51.6,0.276271440055048,0.301358329189784
51.7,0.218575979396077,0.241540321069396
