"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
50,0.00435423918617228,0.00530771563940546
50.05,0.00434225191248971,0.00526606289799303
50.1,0.00433141736529641,0.0052406855089141
50.15,0.00432161728148495,0.00523032126180578
50.2,0.00431274538171345,0.00523384063625909
50.25,0.00430470663253801,0.00525024618789416
50.3,0.0042974165405153,0.00527867243240887
50.35,0.00429080047839125,0.005318386343242
50.4,0.00428479304338991,0.00536878859745182
50.45,0.00427933744772135,0.00542941572871769
50.5,0.00427438494122823,0.00549994337638138
50.55,0.00426989426648405,0.00558019085826733
50.6,0.00426583114605628,0.00567012734272332
50.65,0.00426216780237065,0.00576987995752476
50.7,0.0042588825099561,0.00587974425087612
50.75,0.0042559591805762,0.00600019752055403
50.8,0.00425338698128352,0.00613191565555482
50.85,0.00425115998561709,0.00627579430127467
50.9,0.00424927685855903,0.00643297537625465
50.95,0.00424774057566768,0.00660488025200734
51,0.0042465581768607,0.00679325128148711
51.05,0.00424574055591787,0.00700020385919331
51.1,0.00424530228648556,0.00722829186072893
51.15,0.00424526148583271,0.00748059020807035
51.2,0.00424563971783576,0.00776079953001285
51.25,0.00424646193707068,0.00807337956909338
51.3,0.00424775647602216,0.00842372032137273
51.35,0.00424955507797953,0.00881836317282847
51.4,0.00425189297895345,0.00926528894792056
51.45,0.00425480904208553,0.00977429646688333
51.5,0.00425834594908092,0.0103575049297763
51.55,0.00426255045410917,0.0110300277827305
51.6,0.00426747370626956,0.0118108871771532
51.65,0.00427317164862373,0.0127242707433135
51.7,0.00427970550239065,0.0138012827886923
51.75,0.00428714234756733,0.0150824212798764
51.8,0.00429555581290253,0.0166211389489465
51.85,0.00430502689085677,0.0184890543887202
51.9,0.00431564489645087,0.0207837251979986
51.95,0.00432750859274367,0.0236404850559134
52,0.00434072751055403,0.0272508725109899
52.05,0.00435542349560381,0.0318919974662316
52.1,0.00437173252394962,0.0379744571156702
52.15,0.00438980683541312,0.0461222812801884
52.2,0.0044098174454914,0.0573085988543239
52.25,0.0044319571113054,0.0730863331644777
52.3,0.00445644384391763,0.0959654868868475
52.35,0.00448352508221217,0.12993115898314
52.4,0.00451348267263141,0.180637098177607
52.45,0.00454663883468043,0.252738776886773
52.5,0.00458336334086462,0.336975555275676
52.55,0.0046240822001764,0.389190863576936
52.6,0.00466928821507495,0.36299987869397
52.65,0.00471955388821876,0.285002926202171
52.7,0.00477554729540453,0.207929864940354
52.75,0.00483805173002327,0.1508584492272
52.8,0.00490799017841947,0.111929513751857
52.85,0.00498645603263159,0.0855505360530352
52.9,0.00507475192421758,0.0673238755862462
52.95,0.00517443922663952,0.0543877227006
53,0.00528740170835751,0.0449529517650884
53.05,0.00541592814849534,0.037895794268991
53.1,0.00556282064512825,0.032496154843334
53.15,0.00573153815260441,0.0282810839901639
53.2,0.00592638894902253,0.0249320346709276
53.25,0.00615279202072438,0.0222292364958711
53.3,0.00641763700398867,0.0200176494143125
53.35,0.006729787436769,0.0181856438886457
53.4,0.00710079623916948,0.0166513392653259
53.45,0.00754594188319258,0.0153536531019044
53.5,0.00808576009244566,0.0142463131560855
53.55,0.00874836054739114,0.0132937726840809
53.6,0.00957302240888436,0.0124683733996451
53.65,0.0106159398855591,0.0117483419072498
53.7,0.0119597147757161,0.0111163528194709
53.75,0.0137296538276768,0.0105584835307549
53.8,0.0161230291160323,0.0100634438330636
53.85,0.0194644551724663,0.00962200114745171
53.9,0.0243174987180401,0.00922654682674473
53.95,0.0317274275468108,0.00887076544755339
54,0.0438009650529531,0.00854938015237272
54.05,0.0652610430177899,0.00825795475058455
54.1,0.108246122546185,0.00799273860381344
54.15,0.209356648065067,0.00775054406373576
54.2,0.480816466670798,0.00752864889366056
54.25,0.820744677864435,0.00732471802269585
54.3,0.457436989289121,0.00713674037434675
54.35,0.203984902258356,0.00696297753431974
54.4,0.108436786262446,0.00680192177993733
54.45,0.0668883538283548,0.00665226155888476
54.5,0.0457441060728256,0.00651285293145687
54.55,0.033655500209122,0.0063826958140244
54.6,0.0261315293130477,0.00626091410798291
54.65,0.0211408039353425,0.00614673898932472
54.7,0.0176636647764842,0.00603949478145749
54.75,0.0151448634350259,0.00593858694828564
54.8,0.0132617743746684,0.00584349183565447
54.85,0.0118167928720515,0.0057537478598052
54.9,0.0106834993021688,0.00566894789839734
54.95,0.00977800313761745,0.00558873268449112
55,0.00904287645998592,0.00551278504016173
55.05,0.00843773944911042,0.00544082481572006
55.1,0.00793353036923472,0.00537260442358245
55.15,0.00750890121440628,0.00530790487572741
55.2,0.00714788401402788,0.00524653224874494
55.25,0.00683834079307344,0.00518831451378909
55.3,0.00657091039222024,0.00513309867888623
55.35,0.00633827818360866,0.00508074820055238
55.4,0.00613466032711407,0.00503114062790344
55.45,0.00595543345260419,0.00498416544953828
55.5,0.00579686472289809,0.00493972211803817
55.55,0.00565591233931484,0.0048977182309754
55.6,0.00553007623442481,0.00485806785149157
55.65,0.00541728502096328,0.00482068995403306
55.7,0.0053158094706347,0.00478550698350799
55.75,0.00522419563766496,0.0047524435187154
55.8,0.00514121268882883,0.00472142503163309
55.85,0.0050658118576592,0.0046923767373136
55.9,0.00499709389292025,0.00466522252890811
55.95,0.0049342830522644,0.00463988399453941
56,0.00487670618162095,0.0046162795132737
56.05,0.00482377577753845,0.00459432342806598
56.1,0.00477497619282941,0.00457392529487655
56.15,0.00472985234000545,0.00455498920707387
56.2,0.00468800039346184,0.00453741319523471
56.25,0.00464906010088251,0.0045210887022914
56.3,0.00461270839903583,0.00450590013517949
56.35,0.00457865409234626,0.00449172449342816
56.4,0.00454663340297567,0.00447843107612778
56.45,0.00451640623924665,0.00446588126849112
56.5,0.00448775305927684,0.00445392840930248
56.55,0.00446047223088797,0.00444241774115506
56.6,0.00443437780673395,0.00443118644460838
56.65,0.0044092976492246,0.00442006375820025
56.7,0.00438507185124482,0.00440887118574929
56.75,0.00436155140853234,0.00439742279270361
56.8,0.00433859710672913,0.00438552559268224
56.85,0.00431607859339223,0.00437298002634356
56.9,0.00429387360885281,0.00435958053312291
56.95,0.00427186735551843,0.00434511621789035
57,0.00424995198742961,0.00432937161325131
57.05,0.00422802620526874,0.00431212753869303
57.1,0.00420599494411955,0.00429316205745267
57.15,0.0041837691433968,0.00427225153202082
57.2,0.00416126558954399,0.00424917177868023
57.25,0.00413840682401379,0.00422369932187316
57.3,0.00411512110957546,0.00419561274850488
57.35,0.0040913424492165,0.00416469416238241
57.4,0.00406701065274162,0.00413073073892156
57.45,0.00404207144662505,0.00409351637985023
57.5,0.00401647662325733,0.00405285346754447
57.55,0.00399018422649955,0.00400855471870942
57.6,0.00396315877016507,0.00396044513631599
57.65,0.00393537148734147,0.00390836405943962
57.7,0.00390680060764714,0.00385216730939897
57.75,0.00387743166090382,0.0037917294315204
57.8,0.00384725780472495,0.00372694603050794
57.85,0.00381628017476754,0.00365773619827015
57.9,0.0037845082556156,0.00358404503189103
57.95,0.00375196027133351,0.00350584624023209
58,0.00371866359360329,0.00342314483612405
58.05,0.0036846551667653,0.00333597991224077
58.1,0.00364998194808153,0.00324442749738685
58.15,0.00361470136229913,0.00314860349038626
58.2,0.0035788817690332,0.00304866666782522
58.25,0.00354260294225961,0.00294482176234556
58.3,0.00350595656022201,0.00283732260682756
58.35,0.00346904670529746,0.00272647534061832
58.4,0.00343199037211783,0.00261264167234432
58.45,0.00339491798331559,0.00249624219442501
58.5,0.0033579739114471,0.00237775974314713
58.55,0.00332131700618765,0.00225774279816737
58.6,0.00328512112547208,0.0021368089143442
58.65,0.00324957566964867,0.00201564817859312
58.7,0.00321488611736032,0.00189502668348562
58.75,0.00318127456173412,0.00177579000845118
58.8,0.00314898024606247,0.00165886669935333
58.85,0.0031182600974039,0.0015452717356208
58.9,0.00308938925680968,0.00143610997358168
58.95,0.00306266160495683,0.00133257955378041
59,0.00303839028186359,0.00123597525905039
59.05,0.00301690819888134,0.00114769180855867
59.1,0.00299856854203673,0.00106922707289869
59.15,0.00298374526485712,0.00100218519321171
59.2,0.00297283356917843,0.000948279586543532
59.25,0.00296625037230946,0.000909335818253698
59.3,0.00296443475927943,0.000887294321456622
59.35,0.00296784841773612,0.000884212940940099
59.4,0.00297697605463021,0.000902269279344114
59.45,0.00299232579206288,0.000943762820223126
59.5,0.00301442954119646,0.0010111168028335
59.55,0.00304384335186336,0.0011068798209023
59.6,0.00308114773607537,0.0012337271168783
59.65,0.00312694796366753,0.00139446154196454
59.7,0.00318187432786221,0.00159201415057808
59.75,0.00324658237861042,0.00182944439684918
59.8,0.00332175312219307,0.00210993990040498
59.85,0.00340809318416835,0.00243681574642596
59.9,0.00350633493431973,0.00281351328584645
59.95,0.00361723657088198,0.00324359839968358
60,0.00374158216223797,0.00373075919214749
