"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
50,0.00157701272489197,0.0014855237335335
50.1,0.00158762370959631,0.00149728602159616
50.2,0.00159872578843001,0.00150967753537312
50.3,0.00161033748924633,0.00152270210861372
50.4,0.001622478776098,0.0015363707611743
50.5,0.00163517114183398,0.00155070016976844
50.6,0.00164843771458567,0.00156571175214992
50.7,0.00166230337799833,0.00158143114163922
50.8,0.00167679490698824,0.00159788792526083
50.9,0.00169194111968307,0.00161511557087124
51,0.00170777304808889,0.00163315150430121
51.1,0.00172432412858514,0.00165203731792052
51.2,0.00174163041598341,0.00167181911183256
51.3,0.00175973082300274,0.00169254798567064
51.4,0.00177866738978816,0.00171428072348734
51.5,0.00179848558828799,0.00173708074898382
51.6,0.00181923466742961,0.00176101948940632
51.7,0.00184096804847389,0.00178617839909079
51.8,0.00186374378360421,0.0018126521129973
51.9,0.00188762509971208,0.00184055365716562
52,0.00191268106639142,0.00187002365237143
52.1,0.00193898746829113,0.00190124785402679
52.2,0.00196662806528447,0.00193449364305498
52.3,0.00199569671702204,0.00197019434048795
52.4,0.00202630182952523,0.00200917152010693
52.5,0.00205857851603175,0.00205333490105941
52.6,0.00209273482852768,0.00210854089640888
52.7,0.00212933548274463,0.0022027500293319
52.8,0.0021743359412586,0.00271570061649651
52.9,0.00222432888698698,0.0035012093014114
53,0.00224936677237075,0.00237215081096831
53.1,0.00229311910304608,0.00235086019488429
53.2,0.00234039901719973,0.0023885438190191
53.3,0.00239082059896045,0.00244166004487389
53.4,0.00244454454245091,0.00250285954883411
53.5,0.00250184174820467,0.00257034874147577
53.6,0.00256304014932718,0.00264377992317422
53.7,0.00262851778720807,0.00272333393275292
53.8,0.00269870611097134,0.00280945338637129
53.9,0.00277409712276067,0.00290275561795617
54,0.00285525304786038,0.00300400755151187
54.1,0.00294281844182642,0.00311412685062418
54.2,0.00303753508076721,0.00323419733226726
54.3,0.00314026024516512,0.00336549470514969
54.4,0.00325198924229009,0.00350952198259347
54.5,0.00337388329783839,0.00366805562242045
54.6,0.00350730431984447,0.00384320466610533
54.7,0.00365385853101674,0.00403748633584311
54.8,0.00381545165160158,0.00425392297961158
54.9,0.00399435926088409,0.00449616712097767
55,0.00419331729673555,0.00476866395526065
55.1,0.00441563953720081,0.00507686423809817
55.2,0.00466537162640823,0.00542750566538308
55.3,0.00494749513741777,0.00582898820910527
55.4,0.00526820095525959,0.00629187952878407
55.5,0.0056352598516588,0.00682960200883997
55.6,0.00605853101236731,0.00745937530228979
55.7,0.00655066878838295,0.00820352033740535
55.8,0.00712811755612608,0.00909127578589708
55.9,0.00781252952834022,0.0101613382226765
56,0.00863280739895045,0.0114654087973702
56.1,0.00962806952130946,0.0130730877903594
56.2,0.0108519574368955,0.0150784185465521
56.3,0.0123788114231203,0.0176079924749994
56.4,0.0143121496426566,0.0208291102220257
56.5,0.0167950088309945,0.024952386872278
56.6,0.0200183578050224,0.0302128645455829
56.7,0.0242140333154625,0.0367921179111422
56.8,0.0295966357275044,0.0446144778261599
56.9,0.0361901526626874,0.0529675049320857
57,0.043504209967942,0.0601239838516522
57.1,0.050247233675781,0.0636241010724116
57.2,0.0545543831722867,0.0617277883718613
57.3,0.0548983979962983,0.0548685526271121
57.4,0.0510375102278052,0.0453218600934236
57.5,0.0442017713687264,0.035596481761952
57.6,0.0363088449008948,0.0272607804708594
57.7,0.0289058965755774,0.0207940173136101
57.8,0.0227276461568604,0.0160215575134379
57.9,0.0178841739147514,0.0125581920269644
58,0.0141962414242703,0.0100380740032385
58.1,0.0114146009345097,0.00818129950082147
58.2,0.00931333188617389,0.00679072072702491
58.3,0.00771447478725973,0.00573137517965883
58.4,0.00648577995883992,0.0049111359947821
58.5,0.00553122937472472,0.00426652200813338
58.6,0.00478153533507031,0.00375313060591986
58.7,0.00418655605956786,0.00333936777892574
58.8,0.00370972696939997,0.00300235550060735
58.9,0.00332411103653329,0.00272523983901407
59,0.00300963239966245,0.00249539665987353
59.1,0.00275114098472573,0.00230321643893305
59.2,0.00253705114126879,0.00214126737085851
59.3,0.00235837473331557,0.00200370993091736
59.4,0.00220802546132737,0.00188588355458597
59.5,0.00208031082277171,0.00178402026791968
59.6,0.00197055719764561,0.00169507596937635
59.7,0.00187484163169493,0.00161674664086231
59.8,0.00178986190987096,0.00154804087855154
59.9,0.0017132697097656,0.00149275962004936
60,0.00164857851466849,0.00149749779389374
