"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.0111171031869703,0.0126826429957291
70.1,0.010785337784109,0.0120783714600134
70.2,0.0105436381591748,0.0116104012287304
70.3,0.0103855001892881,0.0112617552466623
70.4,0.0103178143665272,0.0110295615082726
70.5,0.010379944178099,0.0109330486962911
70.6,0.0115375363923288,0.0112428360501831
70.7,0.0111634037841384,0.0116429259042526
70.8,0.0123759981326611,0.0125664913822581
70.9,0.0191251413614477,0.0189333162042234
71,0.00805307273613998,0.00794977103168937
71.1,0.0199538702524705,0.0177017174867271
71.2,0.515201284607919,0.567469147354586
71.3,0.0135181906433492,0.0129529008534267
71.4,0.00706494254006806,0.0071486784221505
71.5,0.00653171950914666,0.00651986248389225
71.6,0.00642707502652529,0.0063815214294991
71.7,0.00640910605662126,0.00633996828927708
71.8,0.00641117730761331,0.00632175085063114
71.9,0.00641771704441818,0.00630984170458171
72,0.00642497679141496,0.00630009491899464
72.1,0.00643286682849131,0.00629220242968453
72.2,0.00644231534876594,0.00628691575481
72.3,0.00645450848144291,0.00628525451216633
72.4,0.00647066501913662,0.00628827503761986
72.5,0.0064919866032167,0.00629701951147132
72.6,0.00651966774638491,0.00631252531479454
72.7,0.00655492639570776,0.0063358543908496
72.8,0.00659904183118698,0.0063681293315061
72.9,0.00665339617407679,0.00641057252963817
73,0.0067195194242412,0.00646454835737886
73.1,0.00679913949467603,0.00653160982111223
73.2,0.00689423955255941,0.00661355192602597
73.3,0.00700712566644712,0.00671247461466862
73.4,0.00714050855674409,0.0068308588781183
73.5,0.00729760431204352,0.00697166062929744
73.6,0.00748226041744293,0.00713842831635414
73.7,0.00769911552469693,0.00733545221209431
73.8,0.00795380433949744,0.00756795608949912
73.9,0.0082532231861967,0.00784234594085398
74,0.00860587780989908,0.00816653606420359
74.1,0.00902234365612764,0.00855038104702865
74.2,0.00951588157701233,0.00900625420415535
74.3,0.0101032707425173,0.00954983086485028
74.4,0.0108059488192711,0.010201161727634
74.5,0.0116515925705463,0.0109861624140819
74.6,0.0126763386890653,0.0119387087192386
74.7,0.0139279494538339,0.0131036267931168
74.8,0.0154703953002246,0.014541027154457
74.9,0.0173905988586992,0.0163326915763802
75,0.0198085362166763,0.0185916534285623
75.1,0.0228926516909579,0.0214768409217548
75.2,0.0268838459357816,0.0252159048637151
75.3,0.0321335628929571,0.0301415350253894
75.4,0.0391654702111647,0.0367504061747291
75.5,0.0487771443575168,0.0458006136296641
75.6,0.062209805283361,0.0584748448148876
75.7,0.0814315529080596,0.0766538303031199
75.8,0.109595735586287,0.103361680262552
75.9,0.15170381087223,0.143417532810707
76,0.215218410649923,0.2040637597335
76.1,0.30919976005834,0.294224933613275
76.2,0.437626528848151,0.418227284105764
76.3,0.582449360530921,0.559504350993841
76.4,0.695014350795369,0.671759190576641
76.5,0.737449482411866,0.718050775713177
76.6,0.726793469304385,0.713972667191456
76.7,0.705462020884127,0.700458961539881
76.8,0.700756116100937,0.704827070758956
76.9,0.712221886483135,0.727623748153306
77,0.691990962833426,0.720335889830054
77.1,0.552366094154815,0.587897426808133
77.2,0.332261847123097,0.362764860747868
77.3,0.170409795662117,0.191282712558483
77.4,0.0872298862220591,0.100640036899275
77.5,0.0481378888487791,0.0568431533776125
77.6,0.0293986006818384,0.0352224328293105
77.7,0.0199462510325946,0.0239657445879848
77.8,0.0149036772362777,0.0177540233146707
77.9,0.0120635741821873,0.0141300106819415
78,0.0103791191394407,0.0119034547058283
78.1,0.00932924022702186,0.010468409296251
78.2,0.00864281476112938,0.00950180091260755
78.3,0.00817326101687366,0.00882419940058499
78.4,0.00783888893715778,0.00833251296204918
78.5,0.0075934620413608,0.00796616606371303
78.6,0.00741156286674916,0.0076898331792582
78.7,0.00728262355930354,0.00748552915396361
78.8,0.00722184703855666,0.00735515985577218
78.9,0.00726615263582298,0.00733248166169609
79,0.00753645875598308,0.00760002553147776
79.1,0.0114348050522298,0.0116011090626501
79.2,0.00970772870038272,0.0096441848350779
79.3,0.00662627837029706,0.00659347740609251
79.4,0.00642373729146317,0.00637010767858304
79.5,0.00636110862327766,0.00628783085708617
79.6,0.00632921317906476,0.00623756335528758
79.7,0.00631265895608024,0.00620335945193085
79.8,0.00630886995750635,0.00618209373816125
79.9,0.00631823096554074,0.00617361888460888
80,0.00634220073838931,0.00617885725649281
