"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
50,0.0119635846679224,0.00780998937900423
50.05,0.012190510075844,0.00792579421800743
50.1,0.012445036200066,0.0080234317132476
50.15,0.012728159100389,0.0081070171391856
50.2,0.0130410956542933,0.00818032102513766
50.25,0.0133853082663726,0.0082468007351264
50.3,0.0137625330754236,0.00830963001873253
50.35,0.0141748122430491,0.00837172676660147
50.4,0.0146245310071919,0.00843577918998895
50.45,0.0151144603008851,0.0085042706324896
50.5,0.0156478058724745,0.00857950321319279
50.55,0.0162282650020938,0.00866362049508229
50.6,0.0168600920904752,0.00875862936850436
50.65,0.0175481746049213,0.00886642134037785
50.7,0.0182981210992897,0.00898879342144843
50.75,0.0191163632820288,0.00912746881106286
50.8,0.0200102743776487,0.00928411758808811
50.85,0.0209883063002205,0.00946037763066887
50.9,0.0220601484053006,0.00965787600656975
50.95,0.0232369107618678,0.00987825109984142
51,0.0245313349118511,0.0101231757700002
51.05,0.0259580348381859,0.0103943818788655
51.1,0.0275337701428219,0.0106936865671391
51.15,0.0292777519363304,0.011023020721495
51.2,0.0312119791820132,0.0113844601447179
51.25,0.0333615984927506,0.0117802600292256
51.3,0.0357552725575336,0.0122128934416457
51.35,0.0384255298708746,0.012685094657533
51.4,0.0414090489430343,0.0131999083464988
51.45,0.044746800473882,0.0137607458042834
51.5,0.0484839268533027,0.014371449670022
51.55,0.052669174715174,0.0150363688626337
51.6,0.0573536080245033,0.0157604458327437
51.65,0.0625882136066018,0.0165493186721482
51.7,0.0684198731368766,0.0174094411673074
51.75,0.0748850385112054,0.0183482245516585
51.8,0.0820003700224033,0.0193742055251989
51.85,0.0897496980758471,0.0204972460981683
51.9,0.0980671517417593,0.0217287720059607
51.95,0.10681743859835,0.0230820578577837
52,0.115776309759948,0.0245725688347919
52.05,0.124617141516414,0.0262183706229464
52.1,0.132912460734601,0.0280406212785304
52.15,0.14016008343888,0.030064160686466
52.2,0.145839472137429,0.0323182147889115
52.25,0.149493353664049,0.0348372320725788
52.3,0.15081542308695,0.0376618674972257
52.35,0.14971539321345,0.0408401216083428
52.4,0.146336594455106,0.0444286255893445
52.45,0.141019549008552,0.0484940288953664
52.5,0.134227013283029,0.0531143821287797
52.55,0.126458338320619,0.058380293079427
52.6,0.118178283158998,0.0643954353847647
52.65,0.109773063365886,0.0712756579988323
52.7,0.101533684872023,0.079145414063517
52.75,0.0936592023755096,0.0881294315802603
52.8,0.0862708989147442,0.098336467300256
52.85,0.0794301668160986,0.109830793397042
52.9,0.0731556436192905,0.122586435929016
52.95,0.0674375263851739,0.13642079135676
53,0.0622485290274422,0.150911217945254
53.05,0.0575517509269345,0.165314348660228
53.1,0.0533060360916868,0.178533292805583
53.15,0.0494694428841927,0.189199379542686
53.2,0.046001364824903,0.19591957586712
53.25,0.042863727548571,0.197656507239472
53.3,0.0400215757965228,0.194084539758583
53.35,0.0374432723868067,0.18571845272944
53.4,0.0351004610177772,0.173729990431256
53.45,0.0329678939685233,0.159566696117116
53.5,0.0310231902095314,0.144581749978796
53.55,0.0292465651942306,0.129814821129177
53.6,0.0276205574191651,0.115938064463235
