"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.0494613575548549,0.00506697523742972
70.05,0.0447649065166277,0.00491814869127827
70.1,0.0408289399970568,0.00480481204058503
70.15,0.037553832381922,0.00472921628884204
70.2,0.0348955596122802,0.00469688606681007
70.25,0.0328873707795981,0.00471934120076889
70.3,0.031704996569319,0.00482028336973528
70.35,0.0318587828165372,0.00505150247864172
70.4,0.0348409695149164,0.00554133215599939
70.45,0.0459148961105672,0.00668392608604218
70.5,0.0923612086995524,0.010242296317304
70.55,0.458817969872785,0.0309654494867986
70.6,0.437287480310118,0.019348479436488
70.65,0.117082829805813,0.00526565883289931
70.7,0.0620231746112073,0.0035605578483151
70.75,0.0434722513683153,0.00316090687756543
70.8,0.0346693107071971,0.00303610932450349
70.85,0.0295944973429826,0.00299367448708787
70.9,0.0262844185295107,0.00298149223233857
70.95,0.0239376916138907,0.00298215980614991
71,0.0221740065982323,0.0029891095035367
71.05,0.0207921534095705,0.00299972507114388
71.1,0.0196765687277956,0.00301300384880454
71.15,0.0187565111706951,0.00302866528724488
71.2,0.0179864591637597,0.00304678159516836
71.25,0.0173359700484217,0.00306761607713424
71.3,0.0167841119701653,0.00309155100605663
71.35,0.0163162603171599,0.00311905720977479
71.4,0.0159221917568402,0.00315068505592386
71.45,0.0155949321546498,0.00318706814190328
71.5,0.0153300708592607,0.00322893633442412
71.55,0.0151253878805262,0.00327713756571535
71.6,0.0149807167304457,0.00333266954075639
71.65,0.0148980152426174,0.00339672398372282
71.7,0.0148816567677617,0.00347074768903177
71.75,0.0149389972545749,0.00355652681341911
71.8,0.0150813333966505,0.0036563039858335
71.85,0.0153254640850355,0.00377294255814087
71.9,0.0156962407236275,0.00391015968238984
71.95,0.0162308214587432,0.0040728615600778
72,0.0169860051888138,0.00426763302117972
72.05,0.0180514199005791,0.00450346451996086
72.1,0.0195744772620422,0.00479285142681307
72.15,0.021810499150101,0.00515348878758315
72.2,0.0252305046944253,0.00561093762298914
72.25,0.0307702068828273,0.00620290651701716
72.3,0.0404356272046555,0.00698626085584875
72.35,0.0586385141109633,0.0080486723131078
72.4,0.0918127341573041,0.00952806947923301
72.45,0.117445849285186,0.011644428305206
72.5,0.0792305253559016,0.0147471623236946
72.55,0.0401102170793874,0.0193638836982599
72.6,0.0225461724964602,0.0261515476108889
72.65,0.0150530774607831,0.0353785848211956
72.7,0.0119119508745055,0.0452572397165639
72.75,0.011588900666095,0.0502880655933683
72.8,0.0130994780448518,0.0458007716388127
72.85,0.0116478408237486,0.0356874776169921
72.9,0.00976977990173389,0.0268559563110418
72.95,0.00877675670180855,0.0212151282541642
73,0.00827370527067051,0.0177843519651941
73.05,0.00802645040134387,0.0155951545911233
73.1,0.00793250522951172,0.0141301553421648
73.15,0.00794618150374982,0.0131328114520993
73.2,0.00804826986356832,0.0124701233416566
73.25,0.00823424657589877,0.0120715286769368
73.3,0.00850978511588785,0.0119034855056348
73.35,0.00888960415976381,0.0119593508790331
73.4,0.00939825096777702,0.0122568226978229
73.45,0.0100723418018964,0.0128403136526303
73.5,0.0109639948810003,0.0137874419000992
73.55,0.0121447015427801,0.0152185713627365
73.6,0.0137068888085753,0.0173042945491253
73.65,0.0157548336934373,0.0202514552098233
73.7,0.0183639672389072,0.0242109565808476
73.75,0.0214698379691953,0.0289959462000732
73.8,0.0246646731087556,0.0335910221203304
73.85,0.0270508905260226,0.0360832087328783
73.9,0.0275898434486874,0.0350840949641547
73.95,0.0259884545617773,0.0312852084711643
74,0.0230072136826699,0.0265367457255881
74.05,0.0196998906661862,0.0221469398561052
74.1,0.0167231667767007,0.0185590803874831
74.15,0.0142905662779111,0.0157573462450058
74.2,0.0123822400032887,0.0135893538009965
74.25,0.0109035817367834,0.0118990569869721
74.3,0.00975569141301735,0.010562153528679
74.35,0.00885694676839355,0.00948755776733179
74.4,0.00814541596118534,0.008610530174468
74.45,0.00757561355399194,0.00788550464123883
74.5,0.00711447793629927,0.0072804767586393
74.55,0.00673797762917294,0.00677299094972017
74.6,0.00642856084025334,0.00634736173338624
74.65,0.00617332285697447,0.00599276616507483
74.7,0.00596271092426959,0.00570193131173125
74.75,0.00578961190988958,0.0054702241584742
74.8,0.00564870726769773,0.00529501395599918
74.85,0.00553601364507328,0.00517522018429972
74.9,0.00544855267520616,0.00511098811461086
74.95,0.00538411119751725,0.00510345296431092
75,0.00534106528634359,0.00515456618182086
75.05,0.00513593362100595,0.00497286534393215
75.1,0.00501177829230837,0.0048466255456362
75.15,0.00494167116749522,0.00475820487565815
75.2,0.00490641965540173,0.00469501109466186
75.25,0.00489256439689967,0.0046481817814783
75.3,0.00489088390493864,0.00461160005839867
75.35,0.00489527600217887,0.0045811592551489
75.4,0.00490192055575756,0.0045542130458478
75.45,0.00490865329946266,0.00452916438070061
75.5,0.00491449906380481,0.00450515874598845
75.55,0.00491932641573878,0.0044818562212483
75.6,0.00492359594653691,0.00445926338799063
75.65,0.00492818229793668,0.0044376110503993
75.7,0.00493425632704725,0.00441726744978232
75.75,0.00494321933133923,0.00439867957184781
75.8,0.00495668679233408,0.00438233758010231
75.85,0.00497652573557861,0.00436875968316874
75.9,0.00500495931647582,0.00435849726724746
75.95,0.00504476794214814,0.00435216356061208
76,0.00509964489165926,0.0043504947016193
76.05,0.0051748208028336,0.00435446253797933
76.1,0.0052781901318204,0.00436547999910586
76.15,0.00542244050049467,0.00438578797352862
76.2,0.00562933905532426,0.00441922954792473
76.25,0.00593907967381024,0.00447293039423069
76.3,0.00643286120164499,0.00456134606772984
76.35,0.00729529802223861,0.00471743559044546
76.4,0.00902247011192092,0.00502990814392978
76.45,0.0133417734140593,0.005808035433579
76.5,0.0298597638037824,0.00877437423406213
76.55,0.217962466381495,0.0424744456919424
76.6,0.104842533322435,0.0222691684939708
76.65,0.0243513377830601,0.00791059106275571
76.7,0.0133011153601645,0.00596336320890001
76.75,0.0100170078520401,0.00543375783425382
76.8,0.00879742477588663,0.00531394483579173
76.85,0.00848604420321597,0.00542901318898603
76.9,0.00888611737849043,0.00582158652913178
76.95,0.0103876264962455,0.00677993433356527
77,0.0149055426646358,0.00944944346036292
77.05,0.0343806986558014,0.0208580735031109
77.1,0.275823004725129,0.16408082542345
77.15,0.0719614749278376,0.0448533005348343
77.2,0.0206557831446774,0.0137562267082815
77.25,0.0119876952290615,0.00844282020601372
77.3,0.00908784137678065,0.00664322936265804
77.35,0.00777915725070699,0.00581527696567807
77.4,0.00709924854244959,0.00536706441196177
77.45,0.00675051005878713,0.00510935518281863
77.5,0.00665939437921748,0.00498295900152823
77.55,0.00692401740790882,0.00501319311485504
77.6,0.00807876063540525,0.00541492500420016
77.65,0.0132638561902232,0.00753668731406076
77.7,0.073735796062685,0.0343568552727309
77.75,0.0515490023060479,0.0272879980634743
77.8,0.0141881342387936,0.00914159441268669
77.85,0.00905852547869024,0.00654369919772324
77.9,0.0073922196771401,0.00567023941334821
77.95,0.00662059195786546,0.00525388192543996
78,0.00618965276727912,0.0050152206087597
78.05,0.00592182805703156,0.00486277459184115
78.1,0.00574567109696233,0.00475890004710156
78.15,0.00562787220523642,0.0046855836355717
78.2,0.00555122976403744,0.00463321624728119
78.25,0.00550617088882477,0.00459622121411074
78.3,0.00548704668601152,0.00457112495680301
78.35,0.00549034581056562,0.00455561965775186
78.4,0.00551376082274657,0.00454807177917793
78.45,0.00555566562464327,0.0045472479329155
78.5,0.00561480475784426,0.00455215412374166
78.55,0.00569009834781598,0.00456193768249047
78.6,0.00578051357142151,0.00457582573603021
78.65,0.00588497645089658,0.0045930860650919
78.7,0.00600230958727022,0.0046130023928006
78.75,0.00613118786647437,0.00463485948989717
78.8,0.00627010787345339,0.0046579353655678
78.85,0.00641736904175905,0.00468149891316194
78.9,0.00657106612970526,0.00470481204786655
78.95,0.00672909382527298,0.00472713579479989
79,0.00688916536597683,0.00474774006263223
79.05,0.00704884817169893,0.00476591702817608
79.1,0.00720562075444864,0.00478099819672817
79.15,0.00735695670986025,0.00479237531143395
79.2,0.00750044354590229,0.00479952537433903
79.25,0.00763394663422301,0.00480204012233176
79.3,0.00775583189439488,0.00479966037787249
79.35,0.00786526522727304,0.0047923157691977
79.4,0.00796261258981534,0.00478017039255707
79.45,0.00804997247237005,0.00476367507036313
79.5,0.00813188311306179,0.00474362694690533
79.55,0.00821626102015205,0.004721237254115
79.6,0.00831564657606143,0.00469820818129207
79.65,0.00844885838898712,0.00467681988600055
79.7,0.00864319292403803,0.00466002879638527
79.75,0.00893735268905826,0.0046515784676453
79.8,0.00938534844222028,0.00465612437431262
79.85,0.0100617025139156,0.00467937413183717
79.9,0.0110683850853204,0.00472824474760192
79.95,0.0125440446054244,0.00481103859219101
80,0.0146762424383314,0.00493763984384943
