"Freq [GHz]","AbsorbanceTM []"
30,0.000485582652919203
30.1,0.000421133764778592
30.2,0.000378913598344521
30.3,0.000356132535745401
30.4,0.00035015630468116
30.5,0.00035850759765288
30.6,0.00037886686249522
30.7,0.00040907230751841
30.8,0.000447119166282928
30.9,0.000491158268536185
31,0.000539493964308635
31.1,0.000590581448806082
31.2,0.000643023535701226
31.3,0.000695566925955626
31.4,0.000747098018869963
31.5,0.000796638311265641
31.6,0.000843339429464129
31.7,0.00088647783771012
31.8,0.00092544926528626
31.9,0.000959762893135707
32,0.000989035339422739
32.1,0.00101298448163345
32.2,0.00103142315155602
32.3,0.00104425273769093
32.4,0.00105145672802376
32.5,0.00105309422462752
32.6,0.00104929345989047
32.7,0.00104024534254099
32.8,0.00102619706037477
32.9,0.00100744576472866
33,0.000984332360522977
33.1,0.000957235424271952
33.2,0.000926565270803925
33.3,0.000892758188272058
33.4,0.00085627085954243
33.5,0.00081757498682411
33.6,0.000777152134793124
33.7,0.000735488806444917
33.8,0.000693071764380382
33.9,0.000650383609008487
34,0.000607898623768532
34.1,0.000566078896230948
34.2,0.000525370722477936
34.3,0.000486201301194922
34.4,0.000448975721959677
34.5,0.000414074251775975
34.6,0.000381849921588628
34.7,0.000352626414177992
34.8,0.000326696252773817
34.9,0.000304319288854882
35,0.000285721486308677
35.1,0.000271093997623484
35.2,0.000260592526887149
35.3,0.00025433697297228
35.4,0.000252411345148751
35.5,0.000254863942426908
35.6,0.000261707786558762
35.7,0.000272921298000162
35.8,0.00028844920291593
35.9,0.000308203658398121
36,0.000332065582596686
36.1,0.000359886175347768
36.2,0.000391488614360225
36.3,0.000426669911567146
36.4,0.000465202913557894
36.5,0.000506838429681244
36.6,0.000551307471206575
36.7,0.000598323584389826
36.8,0.000647585260564743
36.9,0.000698778405981426
37,0.000751578854218282
37.1,0.000805654904324382
37.2,0.000860669867847164
37.3,0.000916284608023066
37.4,0.000972160055342286
37.5,0.00102795968352654
37.6,0.00108335193068909
37.7,0.00113801255127044
37.8,0.00119162688450736
37.9,0.00124389202631081
38,0.00129451889192489
38.1,0.00134323415760174
38.2,0.00138978207051665
38.3,0.00143392611664339
38.4,0.00147545053781328
38.5,0.00151416168946883
38.6,0.00154988923223798
38.7,0.00158248715074538
38.8,0.00161183459498815
38.9,0.001637836539639
39,0.00166042425850099
39.1,0.00167955561191613
39.2,0.00169521514598359
39.3,0.00170741400403107
39.4,0.00171618965099984
39.5,0.00172160541297983
39.6,0.00172374983528722
39.7,0.00172273586305305
39.8,0.00171869984954043
39.9,0.00171180039858443
40,0.00170221704811579
40.1,0.00169014880314322
40.2,0.00167581252714921
40.3,0.00165944120204853
40.4,0.00164128206741565
40.5,0.00162159465103984
40.6,0.00160064870319365
40.7,0.00157872204813359
40.8,0.0015560983668147
40.9,0.00153306492591787
41,0.00150991026857594
41.1,0.00148692188278654
41.2,0.00146438386456971
41.3,0.0014425745925738
41.4,0.00142176443223563
41.5,0.00140221348697245
41.6,0.0013841694148865
41.7,0.00136786532934763
41.8,0.00135351780191029
41.9,0.00134132498587014
42,0.00133146487908853
42.1,0.00132409374363229
42.2,0.00131934470045492
42.3,0.00131732651544014
42.4,0.00131812259381114
42.5,0.00132179019776479
42.6,0.0013283599018985
42.7,0.00133783529912401
42.8,0.00135019296876515
42.9,0.00136538271599029
43,0.00138332809042974
43.1,0.00140392718876292
43.2,0.00142705374424446
43.3,0.00145255850218795
43.4,0.00148027087834324
43.5,0.00151000089252529
43.6,0.00154154136695117
43.7,0.00157467037396941
43.8,0.00160915391420913
43.9,0.00164474880094789
44,0.00168120572293462
44.1,0.00171827245180889
44.2,0.00175569715726076
44.3,0.00179323178710844
44.4,0.00183063546599604
44.5,0.00186767786272712
44.6,0.00190414247230342
44.7,0.00193982975673979
44.8,0.00197456008701347
44.9,0.0020081764278449
45,0.00204054670777976
45.1,0.00207156581932277
45.2,0.00210115719736548
45.3,0.00212927392973961
45.4,0.00215589936068428
45.5,0.00218104715675937
45.6,0.00220476081531507
45.7,0.00222711260721187
45.8,0.00224820195894382
45.9,0.00226815329316343
46,0.00228711336126253
46.1,0.00230524811642074
46.2,0.0023227391899221
46.3,0.00233978004657909
46.4,0.00235657190735605
46.5,0.00237331953692943
46.6,0.00239022700092095
46.7,0.00240749350253433
46.8,0.00242530940879604
46.9,0.0024438525746564
47,0.00246328506757876
47.1,0.0024837503856695
47.2,0.00250537125100025
47.3,0.00252824804443963
47.4,0.00255245793186698
47.5,0.00257805471330452
47.6,0.00260506940752248
47.7,0.00263351156574632
47.8,0.00266337129041749
47.9,0.00269462191724035
48,0.00272722330585262
48.1,0.0027611256709158
48.2,0.00279627387823578
48.3,0.0028326121239145
48.4,0.00287008891372453
48.5,0.00290866226146513
48.6,0.00294830503088794
48.7,0.00298901035506605
48.8,0.00303079708009435
48.9,0.00307371519674138
49,0.00311785124327302
49.1,0.00316333368745858
49.2,0.0032103383226485
49.3,0.00325909374681321
49.4,0.00330988703136725
49.5,0.00336306973291911
49.6,0.00341906445739371
49.7,0.00347837225469338
49.8,0.00354158120998949
49.9,0.00360937670951866
50,0.00368255400644202
50.1,0.00376203390866614
50.2,0.00384888267711514
50.3,0.00394433758890678
50.4,0.00404984013313126
50.5,0.00416707953110207
50.6,0.00429805031691111
50.7,0.00444512923633711
50.8,0.00461117897943575
50.9,0.00479968966922595
51,0.00501497426155773
51.1,0.00526244221900951
51.2,0.00554898897277023
51.3,0.00588356028441184
51.4,0.00627798705150662
51.5,0.0067482494253932
51.6,0.00731644294850509
51.7,0.00801393200119727
51.8,0.00888659042631545
51.9,0.0100038791068459
52,0.0114753568881998
52.1,0.0134825180256082
52.2,0.0163447023883736
52.3,0.020668123782192
52.4,0.0277228893867237
52.5,0.0405482783016309
52.6,0.0679068934689134
52.7,0.142675390122364
52.8,0.412518191321042
52.9,0.502873183633068
53,0.149943721610823
53.1,0.0583666500246379
53.2,0.0298950381277558
53.3,0.0182238044860399
53.4,0.0125245790293878
53.5,0.00940836298830239
53.6,0.0075694350928508
