"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
70,0.447184565068014,0.404545668041544
70.05,0.384149406065847,0.330916378266467
70.1,0.319265944531726,0.267148092359989
70.15,0.260889969971402,0.215266330303992
70.2,0.212219234787801,0.174381383801807
70.25,0.173238465667623,0.142586675604983
70.3,0.142581823780327,0.117916098270383
70.35,0.118595349276349,0.0986951227396538
70.4,0.0997827394774046,0.08360678288124
70.45,0.0849306750191817,0.0716521319541799
70.5,0.0731023932607342,0.0620849188452302
70.55,0.0635902458086087,0.0543499944985196
70.6,0.0558638158650252,0.0480335783230611
70.65,0.0495255934666115,0.0428256087879926
70.7,0.0442764435888886,0.0384920652493205
70.75,0.039889792107598,0.0348548714737268
70.8,0.0361926842362952,0.0317773538301354
70.85,0.0330519815939749,0.0291537013160296
70.9,0.0303643083355607,0.0269012909397871
70.95,0.028048704014666,0.024955064288141
71,0.0260412251837556,0.0232633772452359
71.05,0.0242909523057158,0.0217849133596392
71.1,0.0227570144168135,0.0204863702036653
71.15,0.0214063551587635,0.0193407115365976
71.2,0.0202120424847911,0.0183258367301987
71.25,0.0191519799355999,0.017423560256329
71.3,0.0182079167226928,0.016618823322511
71.35,0.017364681809834,0.0158990806131526
71.4,0.0166095871496214,0.015253820067138
71.45,0.0159319595810756,0.0146741844386188
71.5,0.0153227712743135,0.0141526712565931
71.55,0.0147743461687196,0.0136828935639355
71.6,0.0142801253966602,0.0132593880709292
71.65,0.0138344787790876,0.0128774605179761
71.7,0.0134325525250448,0.0125330604067272
71.75,0.0130701455458667,0.0122226790381919
71.8,0.0127436085123793,0.0119432661449551
71.85,0.0124497610855758,0.0116921614327746
71.9,0.0121858237445052,0.0114670381349756
71.95,0.0119493613980706,0.0112658562917383
72,0.0117382365552455,0.0110868239372335
72.05,0.0115505702858936,0.0109283647462275
72.1,0.0113847095605949,0.0107890909796312
72.15,0.0112391998375001,0.0106677807955681
72.2,0.011112761985593,0.0105633591729635
72.25,0.0110042728076847,0.0104748818369027
72.3,0.0109127485667205,0.0104015216902448
72.35,0.0108373310295115,0.0103425573469161
72.4,0.0107772756327869,0.0102973634374871
72.45,0.0107319414478145,0.0102654024165986
72.5,0.0107007826795306,0.0102462176515753
72.55,0.0106833414841159,0.0102394276115128
72.6,0.0106792419278227,0.0102447210085305
72.65,0.0106881849439399,0.0102618527716515
72.7,0.0107099441702436,0.0102906407548357
72.75,0.0107443625739826,0.0103309631018149
72.8,0.0107913497893932,0.0103827562051876
72.85,0.0108508801107242,0.0104460132127046
72.9,0.0109229910974131,0.0105207830449959
72.95,0.0110077827615322,0.0106071699005187
73,0.011105417319532,0.010705333233563
73.05,0.0112161195007989,0.0108154881999819
73.1,0.0113401774163139,0.0109379065743903
73.15,0.011477944001241,0.011072918151543
73.2,0.0116298390550562,0.0112209126526479
73.25,0.011796351914426,0.0113823421671831
73.3,0.0119780448048282,0.0115577241695541
73.35,0.0121755569307795,0.0117476451615545
73.4,0.0123896093775334,0.0119527650019244
73.45,0.0126210109148376,0.0121738219988835
73.5,0.0128706648115033,0.0124116388558949
73.55,0.0131395767927778,0.0126671295793795
73.6,0.0134288642995971,0.0129413074783281
73.65,0.0137397672424218,0.0132352944117858
73.7,0.0140736604832467,0.013550331471303
73.75,0.0144320683325105,0.0138877913256253
73.8,0.0148166814131602,0.0142491925031443
73.85,0.0152293763325995,0.0146362159522828
73.9,0.0156722387191838,0.0150507243029395
73.95,0.0161475903380126,0.0154947843629091
74,0.0166580212233038,0.0159706935369245
74.05,0.0172064280817947,0.0164810110702015
74.1,0.0177960606928832,0.0170285953316529
74.15,0.0184305787486119,0.017616648820221
74.2,0.0191141227103613,0.0182487733067419
74.25,0.0198514041127515,0.0189290386988784
74.3,0.020647823895095,0.0196620711899779
74.35,0.0215096329127773,0.0204531697090571
74.4,0.0224441590769023,0.0213084660245247
74.45,0.0234601455212374,0.0222351560545478
74.5,0.0245682849545781,0.0232418547473312
74.55,0.0257821237752076,0.0243391805508039
74.6,0.0271197151612573,0.0255408000861288
74.65,0.0286069198585308,0.0268654784281942
74.7,0.0302847054348854,0.0283415620410079
74.75,0.0322274054990176,0.0300181341987943
74.8,0.0345962184610096,0.0319977419278722
74.85,0.037834498377719,0.0345570641184686
74.9,0.0436731656025531,0.0387850475497574
74.95,0.0652210131495539,0.0535550864391012
75,0.732537449575187,0.795928718933842
75.05,0.079029120490074,0.0575044383642661
75.1,0.0577057600624238,0.0490321323221421
75.15,0.0566539234310917,0.0500271217072277
75.2,0.0590730175919961,0.0528315954006425
75.25,0.0628919340881162,0.0564907886960985
75.3,0.0676531544651496,0.0608131894319618
75.35,0.0732613078538034,0.0657844986076693
75.4,0.0797428853971068,0.0714540487336137
75.45,0.0871814631773332,0.0779045340344521
75.5,0.0956965675883099,0.0852424980011885
75.55,0.105436282817814,0.0935949232515617
75.6,0.116576257004391,0.103107299272683
75.65,0.129328765745645,0.113941155264396
75.7,0.143995169897957,0.126270057721
75.75,0.161318432924382,0.140274422640421
75.8,0.18811623360379,0.15613860465617
75.85,0.191514902061033,0.174057934831584
75.9,0.21463669248951,0.194256156396452
75.95,0.237992066915833,0.216968848928236
76,0.262012105230628,0.242324771534068
76.05,0.286530891902769,0.270238227428814
76.1,0.311464461144263,0.300558452623479
76.15,0.33722277927822,0.33343176259402
76.2,0.365102847923263,0.369710947729095
76.25,0.397668578015252,0.411417458691601
76.3,0.439092030556369,0.462268120231117
76.35,0.495356558227502,0.528103059134347
76.4,0.573731301697039,0.616527119620513
76.45,0.679211025218987,0.733350577526221
76.5,0.802359083754334,0.869883235272647
76.55,0.897891807299726,0.979037047770486
76.6,0.895094123952157,0.981155707465607
76.65,0.784067300682887,0.854440105794404
76.7,0.641780408317955,0.673049452198135
76.75,0.545333584442068,0.508150981617861
76.8,0.559247378133862,0.378454477146513
76.85,0.812764385372928,0.273948686098448
76.9,0.921539033738538,0.207537492625452
76.95,0.50506660798506,0.180750639223943
77,0.299477465862237,0.157685317283831
77.05,0.209061509587969,0.137045228895907
77.1,0.160598106601094,0.119788520144241
77.15,0.130440000278407,0.105596337339865
77.2,0.109747311062238,0.0938958608705128
77.25,0.0945943408547814,0.084168434363626
77.3,0.0829836688777602,0.0760008415463632
77.35,0.0737887816528111,0.0690749952956315
77.4,0.0663226776968305,0.063147465437819
77.45,0.060140369239956,0.0580310805522881
