"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
60,0.00782353579366646,0.0082096913778642
60.05,0.00764850998242961,0.00805159604921735
60.1,0.00747851191644111,0.00792330843866651
60.15,0.00732115406788303,0.00784395475497612
60.2,0.00719588591344578,0.00786091815821954
60.25,0.00716152028639527,0.00811233865953609
60.3,0.00746132831066915,0.00915158816666906
60.35,0.0102325253735787,0.0156979154415064
60.4,0.0422497079745742,0.0796839814619094
60.45,0.00662944887293815,0.00689402750832435
60.5,0.00781764488509828,0.00756407073692766
60.55,0.0298111662882032,0.0288706316542727
60.6,0.0428666091949612,0.0492859595175602
60.65,0.0183468071356282,0.0206428923651434
60.7,0.0126843985823369,0.0138131815240217
60.75,0.010476099997896,0.0111971020934197
60.8,0.0093201600219458,0.00984891752154315
60.85,0.0086041307848892,0.00902258640159537
60.9,0.00811113195038504,0.00845667318202081
60.95,0.00774726654113922,0.00803919457372637
61,0.00746617212507117,0.00771551521487246
61.05,0.00724287635868548,0.00745663478348313
61.1,0.00706321777618213,0.0072463950332825
61.15,0.00691906551209154,0.00707566301018525
61.2,0.00680599741908672,0.00693940863159126
61.25,0.0067221674452016,0.00683510508998364
61.3,0.00666792256431836,0.00676187174531495
61.35,0.00664631611471755,0.00672048621253896
61.4,0.00666576098354388,0.00671576111471439
61.45,0.00674935392246401,0.00676683951118839
61.5,0.00696569581295781,0.00694289143171889
61.55,0.00752306842215855,0.00746888224907349
61.6,0.00899390228014829,0.00895319640089376
61.65,0.0124696504329274,0.0124727181497426
61.7,0.0182918185827385,0.0182536527306288
61.75,0.0234341547635194,0.0233915062780096
61.8,0.0243604588009131,0.0245240580023515
61.85,0.0218602255716394,0.0221517761511902
61.9,0.0184686726201841,0.0186297512574848
61.95,0.015535894250356,0.0154247124963938
62,0.013338164873228,0.01295481647076
62.05,0.0117678868330316,0.0111781874137763
62.1,0.0106598065439316,0.00994359023576441
62.15,0.00987953464840841,0.00911070830199479
62.2,0.00933242331784312,0.00857465165047289
62.25,0.00895460356624012,0.00826242437986613
62.3,0.00870330413265308,0.00812445547246121
62.35,0.0085497073820926,0.00812728378243477
62.4,0.00847418194440575,0.00824830243472885
62.45,0.0084631952003339,0.00847220403842108
62.5,0.00850732008509536,0.00878862023536231
62.55,0.00796305337978354,0.00836435162152349
62.6,0.00753878456748369,0.00802028098817675
62.65,0.00721775136286162,0.0077464096173665
62.7,0.00698438109369548,0.00753324256258925
62.75,0.00682431669078798,0.00737183894904614
62.8,0.0067244165280218,0.00725384497185888
62.85,0.00667273417268688,0.0071715124649947
62.9,0.00665848333204111,0.00711770575577364
62.95,0.0066719925060158,0.00708589929960124
63,0.00670465312164226,0.00707016833838336
63.05,0.00674886425644539,0.00706517456482381
63.1,0.00679797647128721,0.007066148521363
63.15,0.00684623677621476,0.00706887023123581
63.2,0.00688873634356868,0.00706964935561749
63.25,0.00692136226537754,0.00706530600811606
63.3,0.00694075442055608,0.00705315323793532
63.35,0.00694426837378004,0.00703098212618725
63.4,0.00692994517473111,0.00699705043586152
63.45,0.00689648897125161,0.00695007582967067
63.5,0.00684325351043236,0.00688923484618797
63.55,0.00677023890502215,0.00681416913949962
63.6,0.00667810053872364,0.00672500100344886
63.65,0.00656817274499089,0.00662236101076374
63.7,0.00644251104145155,0.0065074318575965
63.75,0.00630395841812159,0.00638201446347553
63.8,0.00615624375288859,0.00624862545081717
