"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
60,0.00708456511403166,0.00727867730940945
60.05,0.00694880059137282,0.00713765284763979
60.1,0.00680399029971712,0.00698668651977852
60.15,0.0066463163845033,0.00682146836374375
60.2,0.00647224686921932,0.00663794302916387
60.25,0.00627893323654072,0.00643260678028146
60.3,0.006066277074812,0.0062044211755119
60.35,0.00584547076001185,0.00596315328345276
60.4,0.00567666288453617,0.00576706241732783
60.45,0.00587510063720809,0.00593139837181844
60.5,0.00870674992299214,0.00873169722119216
60.55,0.0393849179900537,0.038789147881643
60.6,0.037547810839164,0.0405688634585454
60.65,0.0184407864687786,0.0206261493129527
60.7,0.0137740388341666,0.0164348568168177
60.75,0.0133686874663939,0.020190716244449
60.8,0.138711917446278,0.574000158293458
60.85,0.00939007551226023,0.0146873084543558
60.9,0.00819975972199571,0.00942317685556282
60.95,0.00780697012916498,0.00835748333138819
61,0.00754398727253558,0.00787292169465525
61.05,0.00733563233048007,0.00756377616614345
61.1,0.00715944515835443,0.00733131977049861
61.15,0.00700468122253273,0.0071400019596386
61.2,0.00686521827302877,0.00697372052019751
61.25,0.00673793959378099,0.00682469016879717
61.3,0.00662287630137659,0.00669049641018349
61.35,0.00652469181169002,0.00657441238592571
61.4,0.00645608008459553,0.00648828150462055
61.45,0.00644442020243385,0.0064588149394561
61.5,0.00654347324470228,0.00653870784941202
61.55,0.00684909411079904,0.00682114570767611
61.6,0.00750045434587343,0.00744008670189145
61.65,0.00859941970037514,0.00849647878369719
61.7,0.00998282664018035,0.00985479826014724
61.75,0.0111273206138146,0.0110430336215288
61.8,0.0116191901147304,0.0116419378919685
61.85,0.0115300931605664,0.0116603263013705
61.9,0.0111429705366844,0.0113440692209229
61.95,0.0106642979864993,0.0109002079472895
62,0.0101900212963504,0.0104367650798484
62.05,0.0097535894313111,0.00999754661516128
62.1,0.00936240029048541,0.00959657609753461
62.15,0.00901521519154991,0.00923654399890506
62.2,0.00870918034816126,0.00891696126541064
62.25,0.00844236080519811,0.00863742814732937
62.3,0.0082145157372987,0.00839882789556057
62.35,0.00802723256268012,0.00820368986689801
62.4,0.00788385333145925,0.00805624048727149
62.45,0.00778935372120271,0.00796235045128835
62.5,0.00775022891028454,0.00792945819456292
62.55,0.00764677218152765,0.00781757513040582
62.6,0.00755457122083458,0.00772227492880173
62.65,0.0074718810419645,0.0076398673493816
62.7,0.00739730621841961,0.0075677986787358
62.75,0.00732975602832875,0.00750440642762651
62.8,0.00726841791645771,0.00744877567657309
62.85,0.0072127529437116,0.007400691488607
62.9,0.00716252228927328,0.0073607049032367
62.95,0.00711786523248004,0.00733036984181323
63,0.00707947486698046,0.00731279295758447
63.05,0.00704898210891491,0.00731384636726651
