"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
60,0.00232986910565747,0.00253136381773167
60.05,0.0022182907681958,0.00231257505706439
60.1,0.00213645299941045,0.00217098376054226
60.15,0.00207847154653817,0.00208987877244271
60.2,0.00203984023864912,0.00205525674428364
60.25,0.0020177480010426,0.00205605393610231
60.3,0.00201181227113079,0.00208476086789944
60.35,0.00202574710740122,0.00213886663553309
60.4,0.00207131299279406,0.00222423096733615
60.45,0.00217843459294864,0.00236333263328137
60.5,0.00242428890691593,0.00261719937335403
60.55,0.00303145924233983,0.00315089381786982
60.6,0.00478016904228262,0.00445944780997698
60.65,0.0112342393284947,0.00824820253984881
60.7,0.0340376627620215,0.0195333930043835
60.75,0.0264648051533019,0.0285025975867632
60.8,0.0126627143664607,0.0181369668300669
60.85,0.00795053507547117,0.0113621455934997
60.9,0.00595508831929525,0.00822240939586405
60.95,0.00491463612083376,0.00657635166526493
61,0.00428923174747353,0.00559283149590573
61.05,0.00387401294017942,0.00494359719434057
61.1,0.00357788681547444,0.00448329596477715
61.15,0.00335554940853278,0.00414100202623002
61.2,0.00318273774559008,0.00387976248108068
61.25,0.00304606353085701,0.00367996112566638
61.3,0.00293862295109926,0.00353222198963488
61.35,0.00285846979095616,0.00343508775924417
61.4,0.00280943078719387,0.0033967046453508
61.45,0.00280607304599056,0.00344382128434828
61.5,0.00289146202040225,0.00365384539949831
61.55,0.00321050010250068,0.00429035388602683
61.6,0.00443712585874145,0.00662848816638939
61.65,0.0114898657112171,0.0185073514007211
61.7,0.0122375029191906,0.0112616120045436
61.75,0.00837883149834262,0.00473961705204984
61.8,0.00364270941929856,0.00348620356691653
61.85,0.00303210449509339,0.0030566933557985
61.9,0.00276630443974779,0.00286032669088154
61.95,0.00262143176380814,0.00275217160204988
62,0.00253198098837448,0.00268378059804864
62.05,0.00247216839935971,0.00263533501560154
62.1,0.0024299022185349,0.00259755783208815
62.15,0.00239875823252067,0.00256571819466855
62.2,0.00237498372071643,0.0025373002059218
62.25,0.00235622150028103,0.00251097436719561
62.3,0.0023409105438551,0.00248609212102224
62.35,0.0023279816341506,0.00246241226532073
62.4,0.00231669212555363,0.00243993942300802
62.45,0.0023065302451466,0.00241882129081306
62.5,0.00229715564683264,0.00239927937580897
62.55,0.00228835940101757,0.00238156047742999
62.6,0.00228003459697779,0.00236590210363341
62.65,0.00227215284821369,0.00235250793509534
62.7,0.00226474421988587,0.0023415309539333
62.75,0.00225787935192701,0.00233306265476318
62.8,0.0022516532736524,0.00232712720411987
62.85,0.00224617081739498,0.00232367967958969
62.9,0.00224153375891012,0.00232260768893544
62.95,0.00223782990792731,0.00232373578509748
63,0.002235124385779,0.00232683217873586
63.05,0.00223345328749447,0.00233161731754228
63.1,0.00223281985247492,0.0023377739556153
63.15,0.00223319317982451,0.00234495838235271
63.2,0.00223450943000414,0.002352812516211
63.25,0.00223667536811278,0.002360976600145
63.3,0.00223957402715946,0.00236910225801179
63.35,0.00224307220994802,0.00237686568892848
63.4,0.00224702950449573,0.00238398078687108
63.45,0.00225130846214727,0.00239021197809564
63.5,0.00225578557593276,0.00239538656691496
63.55,0.0022603626982467,0.00239940637271285
63.6,0.00226497854814101,0.00240225842691832
63.65,0.00226961997566477,0.00240402447736987
63.7,0.00227433267169685,0.00240488901926328
63.75,0.00227923103419192,0.00240514553659121
63.8,0.00228450692281512,0.00240520059383609
63.85,0.00229043705543952,0.00240557536746977
63.9,0.00229738881854646,0.00240690414687827
63.95,0.00230582428658388,0.00240992927151373
64,0.00231630227086888,0.0024154919019691
64.05,0.00232947826242702,0.00242451796131748
64.1,0.00234610220140774,0.00243799853343174
64.15,0.00236701412966978,0.00245696399616246
64.2,0.00239313799676477,0.00248245123128565
64.25,0.00242547426523609,0.00251546346150477
64.3,0.0024650926117914,0.00255692273100472
64.35,0.00251312715105689,0.00260761597857884
64.4,0.0025707785698581,0.00266813740955019
64.45,0.00263933098895941,0.00273883310136602
64.5,0.0027201974190606,0.00281975963500203
64.55,0.00281501849781729,0.00291067914967391
64.6,0.00292585887448971,0.00301113251004193
64.65,0.00305558213664903,0.00312066771656183
64.7,0.00320855460405844,0.00323936673959169
64.75,0.00339196394380381,0.00336893930746196
64.8,0.00361831186137507,0.00351489529050875
64.85,0.00391021032217642,0.00369079072052592
64.9,0.00430984685232783,0.00392653066731885
64.95,0.00489827597485737,0.00428479296349393
65,0.00583626078232469,0.00489414986027437
65.05,0.00678441414161035,0.0054962290318411
65.1,0.00863143608515859,0.00658147297990053
65.15,0.0120844742773968,0.00843704988549399
65.2,0.0184998223132242,0.0115871243202474
65.25,0.029720136237256,0.0169435652455279
65.3,0.0437330652261838,0.0256972594051788
65.35,0.0472449672216028,0.0374272108930334
65.4,0.0370348414513626,0.0455034486176414
65.45,0.0259985528996932,0.0426552844910828
65.5,0.0186424049659246,0.0339583332562932
65.55,0.0141247239221692,0.0261796895107295
65.6,0.0113047584072481,0.0208172304150128
65.65,0.00948369092077883,0.0173538584353111
65.7,0.00827291234776661,0.0151483642589865
65.75,0.00745432843306582,0.0137637426990739
65.8,0.00690181740591278,0.0129330836970989
65.85,0.00654067087186683,0.0124972107158968
65.9,0.00632666507011981,0.012362849057604
65.95,0.00623520692702262,0.0124787761810639
66,0.00625595660913014,0.0128233244183581
66.05,0.00639082994624185,0.0133989484911243
66.1,0.00665463258345611,0.0142316360455144
66.15,0.00707848434682379,0.0153739619207616
66.2,0.00771702409085429,0.0169099327066649
66.25,0.00866116454982102,0.0189544621585527
66.3,0.0100576463701572,0.0216204717176494
66.35,0.0121275414125114,0.0248713514534106
66.4,0.0151260575328869,0.0281144720078668
66.45,0.0190054563601131,0.0297590533935228
66.5,0.0223787835819877,0.02827636187049
66.55,0.0222497449414014,0.0245808388459613
66.6,0.0181711688422924,0.0208935802715531
66.65,0.0133739607574686,0.018026150478856
66.7,0.00980337327863723,0.0154030833047269
66.75,0.00750187408938008,0.0122272503529288
66.8,0.00605706786836735,0.00863167751608163
66.85,0.00513808061069021,0.00563637730450295
66.9,0.00454028662699146,0.0037977591648618
66.95,0.00414341125977757,0.00290886936680201
67,0.00387622592326797,0.00258261053502529
67.05,0.00369540507130928,0.00254514149275376
67.1,0.00357372004402101,0.0026452321667344
67.15,0.0034934735794675,0.00280618093362484
67.2,0.00344278489378047,0.00299032265448507
67.25,0.00341343679401429,0.00317964157190453
67.3,0.00339959695609071,0.00336600415273414
67.35,0.00339704094849902,0.00354631851372278
67.4,0.00340267059546806,0.00372012758408702
67.45,0.0034142101145973,0.00388841539848572
67.5,0.00343001106150065,0.00405304596399236
67.55,0.00344892430925714,0.00421657580137269
67.6,0.00347021284308224,0.00438237080423187
67.65,0.00349348823749662,0.00455514563606496
67.7,0.00351865913989291,0.0047424307968279
67.75,0.00354588354594532,0.00495873519882417
67.8,0.00357551912713527,0.00523966564518741
67.85,0.00360806804278291,0.00570685776029334
67.9,0.00364411500842421,0.00709664861606774
67.95,0.00368426016824763,0.0383182071053937
68,0.00372905151627789,0.00971672687238689
68.05,0.00377892481656628,0.00659350472202358
68.1,0.00383416134351078,0.00640435128374151
68.15,0.00389487415936651,0.00654876966990758
68.2,0.00396103108831702,0.00679982244936739
68.25,0.00403251685955019,0.007112917473722
68.3,0.00410922926056045,0.00747843325920372
68.35,0.0041911971238966,0.00789748030566051
68.4,0.00427870470404668,0.00837622944279492
68.45,0.004372409967207,0.00892463770432983
68.5,0.0044734545089592,0.00955674558977249
68.55,0.00458358025897965,0.0102919892212499
68.6,0.00470529434463596,0.0111577214460613
68.65,0.00484216658556169,0.0121937400882668
68.7,0.00499942998959146,0.0134606711229864
68.75,0.00518525821095162,0.0150564974858116
68.8,0.0054136443270848,0.0171520449202622
68.85,0.00571149784581571,0.0200760646491696
68.9,0.00613869342386186,0.0245515568301887
68.95,0.00685747473865739,0.032503407340387
69,0.00846363293374797,0.0508628615953043
69.05,0.0148365736471454,0.123754341201113
69.1,0.0821000262024592,0.860850589928613
69.15,0.0137880217142377,0.0987945013135677
69.2,0.00790370208215185,0.0363602104019252
69.25,0.0070878614718467,0.0287563029366241
69.3,0.00703696008240406,0.0295197590948514
69.35,0.00721794227397543,0.0332264644099199
69.4,0.00751260258428099,0.0389280909689612
69.45,0.00789202077134832,0.0467260371212105
69.5,0.00835724916822356,0.0572311282261776
69.55,0.00892598121087507,0.0715657887501771
69.6,0.00963226655267757,0.091605827669165
69.65,0.0105344820616454,0.120489578009162
69.7,0.0117361933735989,0.163542090480997
69.75,0.0134353963137763,0.229715043337133
69.8,0.0160301287793926,0.332543357196267
69.85,0.0202115448354887,0.483366156915572
69.9,0.0260606670775957,0.653149817119033
69.95,0.0302869854678993,0.721353699049375
70,0.0312676555306695,0.614924268806097
