"Freq [GHz]","AbsorbanceTM []"
30,0.00368325661824898
30.1,0.0037296718617299
30.2,0.00376860818714375
30.3,0.00380164962574148
30.4,0.00383019259965622
30.5,0.00385545483837091
30.6,0.00387848483077924
30.7,0.00390017172015378
30.8,0.00392125554997502
30.9,0.00394233777065289
31,0.00396389191952129
31.1,0.00398627438963195
31.2,0.00400973520684411
31.3,0.00403442873847959
31.4,0.00406042426210373
31.5,0.00408771632722393
31.6,0.00411623484837831
31.7,0.00414585487321706
31.8,0.00417640597478297
31.9,0.00420768122262272
32,0.00423944569287904
32.1,0.00427144448307093
32.2,0.00430341020267699
32.3,0.00433506991593346
32.4,0.00436615151817976
32.5,0.00439638953254573
32.6,0.00442553031802251
32.7,0.00445333668495629
32.8,0.0044795919182713
32.9,0.00450410321264727
33,0.00452670452836734
33.1,0.00454725887945773
33.2,0.00456566006991777
33.3,0.00458183389656053
33.4,0.00459573884011311
33.5,0.00460736626875113
33.6,0.00461674018097391
33.7,0.00462391651643534
33.8,0.00462898206573503
33.9,0.00463205301133229
34,0.0046332731334594
34.1,0.00463281171598084
34.2,0.00463086118756262
34.3,0.00462763453482762
34.4,0.00462336252366469
34.5,0.0046182907656479
34.6,0.00461267666552845
34.7,0.00460678628611932
34.8,0.00460089116553841
34.9,0.00459526512107788
35,0.00459018107292775
35.1,0.00458590791925162
35.2,0.00458270749294598
35.3,0.00458083162835987
35.4,0.00458051936429926
35.5,0.00458199430792805
35.6,0.00458546218159606
35.7,0.00459110857233913
35.8,0.00459909690182592
35.9,0.0046095666313869
36,0.00462263171492527
36.1,0.00463837930958233
36.2,0.00465686875164073
36.3,0.00467813080251844
36.4,0.00470216716762817
36.5,0.0047289502879192
36.6,0.00475842340210475
36.7,0.00479050087493482
36.8,0.00482506878530053
36.9,0.00486198576518593
37,0.00490108407940582
37.1,0.00494217093382809
37.2,0.00498502999854122
37.3,0.00502942313053856
37.4,0.00507509228004133
37.5,0.00512176156252631
37.6,0.005169139478437
37.7,0.00521692126122342
37.8,0.00526479133409663
37.9,0.00531242585526048
38,0.00535949533110125
38.1,0.0054056672767856
38.2,0.00545060890364213
38.3,0.00549398981270555
38.4,0.00553548467444198
38.5,0.00557477587453259
38.6,0.00561155610670283
38.7,0.00564553089341202
38.8,0.0056764210169914
38.9,0.00570396484342928
39,0.00572792052287074
39.1,0.00574806805132566
39.2,0.00576421117908865
39.3,0.00577617915315032
39.4,0.00578382828102797
39.5,0.0057870433053695
39.6,0.0057857385799045
39.7,0.00577985903835143
39.8,0.00576938094928203
39.9,0.00575431245166791
40,0.00573469386673042
40.1,0.00571059778345517
40.2,0.00568212891658204
40.3,0.00564942373713606
40.4,0.00561264987700638
40.5,0.00557200531087765
40.6,0.00552771731972024
40.7,0.00548004124183876
40.8,0.0054292590185423
40.9,0.00537567754329371
41,0.00531962682395681
41.1,0.00526145796925426
41.2,0.00520154101202974
41.3,0.00514026258222477
41.4,0.00507802344464803
41.5,0.00501523591635578
41.6,0.00495232118030531
41.7,0.0048897065121698
41.8,0.00482782243818114
41.9,0.00476709984187229
42,0.00470796703902876
42.1,0.00465084683913519
42.2,0.00459615361311938
42.3,0.00454429038608573
42.4,0.00449564597470276
42.5,0.0044505921876784
42.6,0.00440948110836858
42.7,0.00437264247720781
42.8,0.00434038119204572
42.9,0.00431297494258376
43,0.00429067199549349
43.1,0.00427368914472503
43.2,0.00426220984166037
43.3,0.00425638251724214
43.4,0.00425631910856017
43.5,0.00426209379957887
43.6,0.00427374198560737
43.7,0.00429125946883291
43.8,0.00431460189143906
43.9,0.00434368441077715
44,0.00437838162037452
44.1,0.00441852771804707
44.2,0.00446391692222758
44.3,0.00451430413495946
44.4,0.00456940584918897
44.5,0.00462890129699822
44.6,0.00469243383317608
44.7,0.0047596125479793
44.8,0.0048300141016514
44.9,0.00490318477183682
45,0.00497864270427051
45.1,0.00505588035606419
45.2,0.00513436711991477
45.3,0.00521355211687546
45.4,0.0052928671445841
45.5,0.00537172976705103
45.6,0.005449546531752
45.7,0.00552571629901299
45.8,0.00559963366848992
