"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.0078571326865291,0.0115175908060808
75.03,0.00812453912421063,0.0120467090146622
75.06,0.00841561036622374,0.012630474655305
75.09,0.00873329355909425,0.0132766778964876
75.12,0.00908104578406577,0.0139946608052435
75.15,0.00946294316257901,0.0147957001806879
75.18,0.00988381833452301,0.0156935054705499
75.21,0.0103494350793475,0.0167048730236976
75.24,0.0108667120184454,0.0178505552883599
75.27,0.0114440118284247,0.0191564293950688
75.3,0.0120915188352432,0.0206550886133035
75.33,0.0128217372190018,0.0223880402331168
75.36,0.0136501558455185,0.0244087875226678
75.39,0.0145961463451134,0.0267872238109225
75.42,0.0156841923250148,0.029616012357203
75.45,0.0169455958150133,0.0330200362062835
75.48,0.0184208826937379,0.0371707058185821
75.51,0.0201632500170499,0.0423081508310803
75.54,0.0222435985539108,0.0487765652083287
75.57,0.0247580501200302,0.0570821570255834
75.6,0.0278396187967573,0.0679911770730738
75.63,0.0316781158126014,0.0827012680047354
75.66,0.0365612454237628,0.103150693944122
75.69,0.0429527675526351,0.13259044686096
75.72,0.0515276799970041,0.176642752400951
75.75,0.0632886239815466,0.245099256432163
75.78,0.0800196555933924,0.353701678107556
75.81,0.104950260076431,0.517642073722566
75.84,0.144178423144885,0.703060961680498
75.87,0.209853941054213,0.753869965749258
75.9,0.326359716503138,0.59862652688746
75.93,0.531762762127342,0.403458682220502
75.96,0.792686867202739,0.265087699908572
75.99,0.7989580743561,0.179525697207786
76.02,0.528725962910748,0.12679272807955
76.05,0.310997704405819,0.0931760108398422
76.08,0.190426632751791,0.0708649833603773
76.11,0.124729310143557,0.0554877472970031
76.14,0.086796870874053,0.0445333083448236
76.17,0.0634573252996589,0.0365055703289747
76.2,0.0482789231001571,0.0304790436924687
76.23,0.0379443997613764,0.0258607718681105
76.26,0.0306372395295422,0.0222586007063498
76.29,0.0253067850523758,0.0194057322225851
76.32,0.021315653055234,0.0171160417474544
76.35,0.0182609533872536,0.0152567707325952
76.38,0.0158788433530357,0.0137313478318762
76.41,0.013991165273268,0.0124682909529231
76.44,0.0124743688463721,0.0114138621323803
76.47,0.0112407477293527,0.010527098216578
76.5,0.0102267440706847,0.00977638138041781
76.53,0.0093854493870581,0.00913702945362582
76.56,0.00868167327590286,0.00858957511556935
76.59,0.00808862655796105,0.00811851886001513
76.62,0.00758564445295029,0.00771141316893031
76.65,0.00715659465799834,0.00735818170217339
76.68,0.00678874555172626,0.00705060752338404
76.71,0.00647194918274852,0.00678194442125268
76.74,0.0061980432161296,0.00654661889690966
76.77,0.00596040752054583,0.00633999963731913
76.8,0.00575363151091113,0.00615821771048564
76.83,0.00557326184916074,0.00599802523128001
76.86,0.0054156091498786,0.00585668345353663
76.89,0.00527759849582621,0.00573187355049043
76.92,0.00515665281921596,0.0056216250198784
76.95,0.00505060117748413,0.00552425787755417
76.98,0.00495760605649431,0.00543833571105501
77.01,0.00487610533993588,0.00536262734089488
77.04,0.00480476567324661,0.0052960753457415
77.07,0.00474244474662677,0.00523777009263193
77.1,0.00468816060851318,0.00518692820642974
77.13,0.00464106655745777,0.00514287463759133
77.16,0.00460043048859726,0.00510502766170606
77.19,0.00456561781772202,0.00507288627835911
77.22,0.00453607729532945,0.00504601958304607
77.25,0.00451132916749519,0.00502405776845649
77.28,0.00449095525209697,0.00500668447682173
77.31,0.00447459058567756,0.0049936302768997
77.34,0.004461916364638,0.0049846670810918
77.37,0.00445265395731587,0.00497960335091485
77.4,0.00444655980575004,0.00497827996578726
77.43,0.00444342106990991,0.00498056665216218
77.46,0.00444305189369454,0.0049863588873178
77.49,0.00444529019312812,0.00499557520603355
77.52,0.00444999488550279,0.00500815485107098
77.55,0.00445704349140663,0.00502405571716158
77.58,0.00446633005327823,0.00504325254637805
77.61,0.00447776332349281,0.00506573533940535
77.64,0.00449126518269538,0.00509150795269864
77.67,0.00450676925560656,0.0051205868562908
77.7,0.00452421969563133,0.00515300002971231
77.73,0.00454357011551854,0.00518878597825356
77.76,0.0045647826442029,0.00522799285379205
77.79,0.0045878270917713,0.00527067766545664
77.82,0.00461268020939387,0.00531690556973308
77.85,0.00463932503129993,0.00536674922933955
77.88,0.00466775028765976,0.00542028823158691
77.91,0.00469794988065431,0.00547760856006352
77.94,0.00472992241426695,0.00553880211143598
77.97,0.00476367077231821,0.00560396625295057
78,0.00479920173825732,0.00567320341501609
