"Freq [GHz]","AbsorbanceTM []","AbsorbanceTE []"
75,0.0565111382355478,0.028266194012316
75.03,0.0621800453405981,0.0292300240875424
75.06,0.0694208262017795,0.0304746126068941
75.09,0.0787747338752672,0.0321008420720768
75.12,0.0909839864656697,0.0342559689798714
75.15,0.10703585320575,0.0371567393589127
75.18,0.128140402533746,0.0411194172791209
75.21,0.155475176222886,0.0465852487075472
75.24,0.1893309935558,0.0540972067976364
75.27,0.227207775534194,0.0641258640081702
75.3,0.261464855088504,0.0766652777992436
75.33,0.280394703293963,0.0909464426711021
75.36,0.276578896750731,0.106208573347799
75.39,0.254520849934034,0.123441861683087
75.42,0.226101697305343,0.146350939940384
75.45,0.201452102973857,0.181529707403304
75.48,0.186187011134566,0.239564607855434
75.51,0.182712974526039,0.335385470116202
75.54,0.187527464205348,0.469567467046994
75.57,0.179217007258976,0.551970673679738
75.6,0.13990575695285,0.458861601823122
75.63,0.0981005143108598,0.301224334921286
75.66,0.0713604139000603,0.190513397430857
75.69,0.0557222050732458,0.126304992119103
75.72,0.0460642036704501,0.0890794669639242
75.75,0.0396100149431121,0.0664588220239315
75.78,0.0349877088042961,0.0519655138046448
75.81,0.0314931689706772,0.042219337845729
75.84,0.0287402562950437,0.0353848918905189
75.87,0.026502449027211,0.0304170456768628
75.9,0.0246385616156655,0.0266928974838309
75.93,0.0230559015738601,0.0238256169170623
75.96,0.0216908969755391,0.0215661002671059
75.99,0.020498331804123,0.0197487421767275
76.02,0.0194450561026595,0.0182603223554587
76.05,0.0185061420992757,0.017021500572117
76.08,0.0176624401310795,0.0159754489753593
76.11,0.0168989695792915,0.0150806634745969
76.14,0.016203826792853,0.0143062979658179
76.17,0.0155674239182809,0.0136290642225534
76.2,0.0149819458949697,0.0130311280325951
76.23,0.0144409551223906,0.0124986537989377
76.26,0.0139390984504288,0.0120207800344124
76.29,0.0134718865600443,0.0115888866211181
76.32,0.0130355255168906,0.0111960630650852
76.35,0.0126267865531012,0.0108367174239286
76.38,0.012242904277767,0.0105062851347815
76.41,0.0118814963115652,0.010201009748624
76.44,0.011540499261368,0.00991777607036304
76.47,0.0112181172926448,0.00965398193633793
76.5,0.0109127805105973,0.00940743878640637
76.53,0.0106231110475685,0.0091762939118637
76.56,0.0103478952533133,0.00895896917257133
76.59,0.0100860607567523,0.00875411233944723
76.62,0.00983665744114748,0.00856055819344759
76.65,0.0095988415847007,0.00837729722395542
76.68,0.00937186257602018,0.00820345028893454
76.71,0.00915505173540032,0.0080382479840021
76.74,0.00894781286762913,0.00788101375550121
76.77,0.00874961424473353,0.00773115000798086
76.8,0.00855998177543271,0.00758812662103314
76.83,0.00837849316276362,0.00745147141461089
76.86,0.00820477288830035,0.00732076219885636
76.89,0.00803848789021588,0.007195620118716
76.92,0.00787934382527544,0.00707570406112712
76.95,0.0077270818243721,0.00696070593865328
76.98,0.00758147566577128,0.00685034669845297
77.01,0.00744232930343669,0.00674437293456498
77.04,0.00730947469765142,0.00664255400364488
77.07,0.00718276990311451,0.00654467956191407
77.1,0.00706209737762098,0.00645055745655898
77.13,0.00694736247946581,0.00636001191584679
77.16,0.00683849212653365,0.00627288199173437
77.19,0.00673543359441853,0.00618902021687784
77.22,0.00663815343360463,0.00610829144364577
77.25,0.00654663648953979,0.00603057183890165
77.28,0.00646088501073905,0.00595574801153509
77.31,0.00638091783241568,0.00588371625365447
77.34,0.00630676962563403,0.00581438188003947
77.37,0.00623849020173783,0.00574765865125548
77.4,0.00617614386471543,0.00568346826952237
77.43,0.00611980880440333,0.00562173993734538
77.46,0.00606957652390805,0.0055624099699122
77.49,0.00602555129658344,0.00550542145464972
77.52,0.00598784964751198,0.00545072395131618
77.55,0.00595659985517838,0.00539827322700559
77.58,0.0059319414704686,0.00534803102211023
77.61,0.00591402484884584,0.00529996484223438
77.64,0.00590301069378674,0.00525404777336202
77.67,0.00589906960847997,0.00521025831668542
77.7,0.00590238165371149,0.00516858024046496
77.73,0.0059131359101946,0.00512900244671943
77.76,0.0059315300436148,0.00509151885059989
77.79,0.00595776987070529,0.00505612827039237
77.82,0.00599206892539428,0.00502283432682749
77.85,0.00603464802369447,0.00499164535002861
77.88,0.00608573482629826,0.0049625742927345
77.91,0.00614556339839312,0.0049356386489533
77.94,0.00621437376574441,0.00491086037675126
77.97,0.00629241146630088,0.00488826582407142
78,0.00637992709747992,0.00486788565732577
